,Date,High,Low,Open,Close,Volume,Adj Close
0,26/04/2023,3700,3600,3700,3600,1200,3600
1,27/04/2023,3700,3600,3600,3700,12500,3700
2,28/04/2023,3700,3700,3700,3700,5452,3700
3,04/05/2023,3800,3600,3800,3700,14700,3700
4,05/05/2023,3800,3700,3800,3700,15201,3700
5,08/05/2023,3700,3600,3700,3600,6556,3600
6,09/05/2023,3700,3700,3700,3700,452,3700
7,10/05/2023,3700,3600,3600,3600,9238,3600
8,11/05/2023,3700,3500,3700,3600,77800,3600
9,12/05/2023,3700,3500,3600,3700,59500,3700
10,15/05/2023,3700,3600,3600,3600,18947,3600
11,16/05/2023,3700,3600,3700,3600,22500,3600
12,17/05/2023,3700,3600,3600,3700,29600,3700
13,18/05/2023,4100,3700,3700,4100,120000,4100
14,19/05/2023,4500,3900,4100,4100,12500,4100
15,22/05/2023,4300,3800,3900,4000,44105,4000
16,23/05/2023,4100,3800,4100,3900,34000,3900
17,24/05/2023,4000,3700,4000,3900,41205,3900
18,25/05/2023,3900,3600,3800,3900,36045,3900
19,26/05/2023,3900,3600,3900,3700,11400,3700
20,29/05/2023,4000,3800,3800,4000,40400,4000
21,30/05/2023,4000,3900,3900,4000,29900,4000
22,31/05/2023,4100,4000,4000,4100,11453,4100
23,01/06/2023,4200,3900,4100,4000,18700,4000
24,02/06/2023,4300,4000,4000,4100,28646,4100
25,05/06/2023,4100,4000,4100,4000,43216,4000
26,06/06/2023,4100,3900,4100,4100,60324,4100
27,07/06/2023,4400,4100,4100,4300,43891,4300
28,08/06/2023,4500,4200,4300,4200,84741,4200
29,09/06/2023,4200,4100,4200,4200,40200,4200
30,12/06/2023,4500,4200,4200,4500,67202,4500
31,13/06/2023,4500,4300,4300,4500,37534,4500
32,14/06/2023,4600,4400,4500,4400,58507,4400
33,15/06/2023,4400,4200,4400,4200,28100,4200
34,16/06/2023,4300,4200,4200,4200,28221,4200
35,19/06/2023,4300,4000,4300,4100,29912,4100
36,20/06/2023,4200,4000,4100,4200,41600,4200
37,21/06/2023,4300,4100,4100,4300,29701,4300
38,22/06/2023,4400,4300,4300,4300,37321,4300
39,23/06/2023,4500,4400,4400,4400,49419,4400
40,26/06/2023,4500,4300,4400,4300,21200,4300
41,27/06/2023,4300,4300,4300,4300,45501,4300
42,28/06/2023,4400,4200,4300,4400,286701,4400
43,29/06/2023,4300,4300,4300,4300,17700,4300
44,30/06/2023,4300,4100,4300,4100,29100,4100
45,03/07/2023,4800,4100,4100,4800,92600,4800
46,04/07/2023,5000,4400,4400,5000,209089,5000
47,05/07/2023,5300,4800,5300,5000,49227,5000
48,06/07/2023,4900,4400,4700,4500,79200,4500
49,07/07/2023,4700,4500,4500,4700,50500,4700
50,10/07/2023,4700,4500,4600,4700,9600,4700
51,11/07/2023,4700,4400,4500,4500,26600,4500
52,12/07/2023,4600,4500,4500,4600,21101,4600
53,13/07/2023,4900,4600,4600,4700,64100,4700
54,14/07/2023,4800,4600,4800,4600,9700,4600
55,17/07/2023,4700,4600,4700,4600,33240,4600
56,18/07/2023,4800,4700,4700,4700,17075,4700
57,19/07/2023,4800,4700,4800,4700,3530,4700
58,20/07/2023,4700,4600,4700,4700,25805,4700
59,21/07/2023,4800,4600,4700,4800,37500,4800
60,24/07/2023,4900,4800,4800,4900,8038,4900
61,25/07/2023,4900,4800,4800,4800,27408,4800
62,26/07/2023,4800,4700,4800,4800,3700,4800
