,Date,High,Low,Open,Close,Volume,Adj Close
0,09/08/2023,11500,11000,11000,11500,929000,11500
1,10/08/2023,11500,11300,11400,11500,310310,11500
2,11/08/2023,11600,11200,11400,11500,298000,11500
3,14/08/2023,11500,11200,11400,11400,167809,11400
4,15/08/2023,11700,11300,11300,11600,436706,11600
5,16/08/2023,12200,11600,11600,12200,1427005,12200
6,17/08/2023,12500,11900,12200,12500,728705,12500
7,18/08/2023,12700,10600,12400,11300,857333,11300
8,21/08/2023,11500,10800,11500,11300,214800,11300
9,22/08/2023,11500,10700,11300,11500,454295,11500
10,23/08/2023,11800,11200,11500,11300,274900,11300
11,24/08/2023,11600,11000,11300,11500,325240,11500
12,25/08/2023,11500,11100,11500,11300,123969,11300
13,28/08/2023,11500,11100,11300,11400,202705,11400
14,29/08/2023,11400,11000,11300,11200,529667,11200
15,30/08/2023,11300,11000,11200,11300,244501,11300
16,31/08/2023,11800,11000,11200,11400,707500,11400
17,05/09/2023,11800,11100,11300,11300,314900,11300
18,06/09/2023,11300,10900,11200,11100,368701,11100
19,07/09/2023,11100,10900,11100,11000,134835,11000
20,08/09/2023,11200,10900,11100,11000,253801,11000
21,11/09/2023,10900,10600,10900,10700,230514,10700
22,12/09/2023,10700,10500,10600,10600,133111,10600
23,13/09/2023,10800,10200,10200,10700,323731,10700
24,14/09/2023,10700,10400,10700,10500,93234,10500
25,15/09/2023,10700,10400,10500,10500,97900,10500
26,18/09/2023,10700,10100,10600,10200,94169,10200
27,19/09/2023,10500,10200,10200,10400,102903,10400
28,20/09/2023,10500,10200,10400,10500,248336,10500
29,21/09/2023,10500,10200,10400,10400,341192,10400
30,22/09/2023,10300,10000,10300,10200,264308,10200
31,25/09/2023,10200,9000,10200,9400,231220,9400
32,26/09/2023,9700,9000,9400,9500,155310,9500
33,27/09/2023,9800,9100,9400,9800,125600,9800
34,28/09/2023,9900,9500,9500,9900,121402,9900
35,29/09/2023,10100,9700,9800,10100,271700,10100
36,02/10/2023,10300,10000,10000,10200,155100,10200
37,03/10/2023,10000,9600,10000,9900,111300,9900
38,04/10/2023,10200,9800,10000,10200,193000,10200
39,05/10/2023,10800,10100,10200,10300,189000,10300
40,06/10/2023,10700,10200,10300,10400,184900,10400
41,09/10/2023,10600,10200,10400,10600,255100,10600
42,10/10/2023,10800,10300,10600,10600,123001,10600
43,11/10/2023,11200,10400,10800,10600,68505,10600
44,12/10/2023,10800,10300,10400,10600,65200,10600
45,13/10/2023,11000,10300,10400,10600,42200,10600
46,16/10/2023,10800,10300,10600,10500,49810,10500
47,17/10/2023,10900,10300,10500,10400,61911,10400
48,18/10/2023,10500,9900,10300,10400,65200,10400
49,19/10/2023,10200,9900,10100,10200,9900,10200
50,20/10/2023,10300,9900,10200,10200,43000,10200
51,23/10/2023,10500,10000,10200,10300,55700,10300
52,24/10/2023,10500,10100,10300,10300,61400,10300
53,25/10/2023,10800,10100,10300,10300,59100,10300
54,26/10/2023,10600,9700,10300,10100,140700,10100
55,27/10/2023,10500,9900,9900,10300,98900,10300
56,30/10/2023,10500,10000,10100,10000,54300,10000
57,31/10/2023,10200,9800,10000,10000,91000,10000
58,01/11/2023,10100,9800,9900,10000,31800,10000
59,02/11/2023,10500,10000,10000,10400,421200,10400
60,03/11/2023,10800,10000,10200,10200,101410,10200
61,06/11/2023,10300,10000,10100,10200,75801,10200
62,07/11/2023,10300,10000,10000,10200,94110,10200
63,08/11/2023,10400,9800,10100,10300,278902,10300
64,09/11/2023,10300,10000,10200,10300,273100,10300
65,10/11/2023,10300,10000,10100,10200,266817,10200
66,13/11/2023,10300,10000,10200,10300,250700,10300
67,14/11/2023,10300,10100,10300,10300,197100,10300
68,15/11/2023,10300,10100,10100,10300,462701,10300
69,16/11/2023,10300,10100,10200,10300,174100,10300
70,17/11/2023,10400,10000,10200,10300,182817,10300
71,20/11/2023,10400,10000,10000,10300,102500,10300
72,21/11/2023,10300,10100,10100,10300,44802,10300
73,22/11/2023,10300,10100,10300,10200,24287,10200
74,23/11/2023,10300,10000,10000,10000,41500,10000
75,24/11/2023,10200,10000,10100,10100,36668,10100
76,27/11/2023,10100,9900,10100,10000,18035,10000
77,28/11/2023,10200,9900,10000,10100,98902,10100
78,29/11/2023,10300,9900,10000,10100,108300,10100
79,30/11/2023,10200,10000,10000,10100,99122,10100
80,01/12/2023,10200,10000,10000,10200,139600,10200
81,04/12/2023,10500,10100,10100,10500,363203,10500
82,05/12/2023,10600,10200,10200,10400,110926,10400
83,06/12/2023,10700,10200,10300,10500,254932,10500
84,07/12/2023,10800,10200,10400,10400,239800,10400
85,08/12/2023,10600,10100,10300,10500,322926,10500
86,11/12/2023,10500,10200,10400,10400,87001,10400
87,12/12/2023,10500,10200,10200,10500,68302,10500
88,13/12/2023,10400,10100,10300,10300,96908,10300
89,14/12/2023,10500,10100,10200,10300,108812,10300
90,15/12/2023,10400,10100,10200,10300,14301,10300
91,18/12/2023,10500,10000,10200,10200,16100,10200
92,19/12/2023,10400,10000,10000,10300,16000,10300
93,20/12/2023,10400,10100,10100,10100,6400,10100
94,21/12/2023,10300,10100,10100,10200,14902,10200
95,22/12/2023,10300,10100,10100,10200,136100,10200
96,25/12/2023,10300,10100,10100,10300,74311,10300
97,26/12/2023,10400,10100,10200,10200,30500,10200
98,27/12/2023,10500,10000,10200,10200,203401,10200
99,28/12/2023,10400,10000,10100,10300,139918,10300
100,29/12/2023,10500,10000,10100,10300,126000,10300
101,02/01/2024,10400,10100,10200,10300,54500,10300
102,03/01/2024,10500,10000,10100,10300,67100,10300
103,04/01/2024,10800,10000,10100,10200,123000,10200
104,05/01/2024,10200,10000,10200,10200,92401,10200
105,08/01/2024,10500,10100,10100,10200,30806,10200
106,09/01/2024,10600,10100,10200,10100,51900,10100
107,10/01/2024,10400,9900,10100,10100,85002,10100
108,11/01/2024,10100,9900,10100,10100,22700,10100
109,12/01/2024,10000,9800,9900,10000,36700,10000
110,15/01/2024,10100,9900,10000,10000,23173,10000
111,16/01/2024,10300,9900,10000,10100,104600,10100
112,17/01/2024,10400,9800,10100,10000,152600,10000
113,18/01/2024,10200,9800,9900,10200,183300,10200
114,19/01/2024,10300,9900,10000,10200,142501,10200
115,22/01/2024,10300,9900,10100,10200,182443,10200
116,23/01/2024,10400,9900,10100,10100,43300,10100
117,24/01/2024,10500,9800,10100,10100,303000,10100
118,25/01/2024,10300,9700,10100,10000,210100,10000
119,26/01/2024,10500,9900,10000,10100,288600,10100
120,29/01/2024,10400,9900,10100,10000,133301,10000
121,30/01/2024,10200,9800,10000,10100,211700,10100
122,31/01/2024,10100,9800,10100,10100,156306,10100
123,01/02/2024,10200,10000,10000,10100,185100,10100
124,02/02/2024,10200,9900,10000,10100,122400,10100
125,05/02/2024,10200,9900,10000,10100,97606,10100
126,06/02/2024,10100,9900,9900,10100,249700,10100
127,07/02/2024,10900,10000,10000,10900,857710,10900
128,15/02/2024,10900,10300,10300,10700,203013,10700
129,16/02/2024,10900,10400,10500,10800,417224,10800
130,19/02/2024,10800,10400,10800,10600,63900,10600
131,20/02/2024,10800,10400,10500,10600,54122,10600
132,21/02/2024,10900,10400,10500,10600,17700,10600
133,22/02/2024,10800,10100,10600,10500,162400,10500
134,23/02/2024,10800,10200,10300,10400,30700,10400
135,26/02/2024,10500,10200,10300,10500,30200,10500
136,27/02/2024,10600,10200,10300,10500,42300,10500
137,28/02/2024,11000,10100,10400,10600,207000,10600
138,29/02/2024,11000,10300,10600,10500,48701,10500
139,01/03/2024,10600,10200,10500,10500,108600,10500
140,04/03/2024,10800,10300,10500,10400,53079,10400
141,05/03/2024,10600,10200,10400,10400,47008,10400
142,06/03/2024,10500,10100,10300,10400,210920,10400
143,07/03/2024,10300,10100,10200,10300,78705,10300
144,08/03/2024,10400,10200,10200,10400,130310,10400
145,11/03/2024,10500,10100,10300,10300,69300,10300
146,12/03/2024,10500,10100,10300,10500,78204,10500
147,13/03/2024,10400,10100,10400,10400,54700,10400
148,14/03/2024,10600,10000,10400,10300,65310,10300
149,15/03/2024,10300,10000,10100,10200,34800,10200
150,18/03/2024,10500,9900,10100,10200,82000,10200
151,19/03/2024,10300,10000,10000,10200,80500,10200
152,20/03/2024,10400,9900,10100,10400,151300,10400
153,21/03/2024,10500,10100,10200,10200,318812,10200
