,Date,High,Low,Open,Close,Volume,Adj Close
0,19/04/2022,16100,16100,16100,16100,1300,16100
1,20/04/2022,16100,16000,16100,16000,2300,16000
2,21/04/2022,16800,15000,16800,16600,1009,16600
3,22/04/2022,15000,15000,15000,15000,800,15000
4,25/04/2022,15000,15000,15000,15000,-,15000
5,26/04/2022,15400,15000,15000,15400,5100,15400
6,27/04/2022,17000,17000,17000,17000,100,17000
7,28/04/2022,18000,17000,17000,17500,9000,17500
8,29/04/2022,18000,18000,18000,18000,100,18000
9,04/05/2022,17500,17000,17500,17500,2800,17500
10,05/05/2022,17400,16000,17300,16000,1302,16000
11,06/05/2022,16800,15100,16800,15100,1800,15100
12,09/05/2022,15200,15200,15200,15200,-,15200
13,10/05/2022,15000,15000,15000,15000,18600,15000
14,11/05/2022,15200,15000,15200,15100,3911,15100
15,12/05/2022,15100,15000,15100,15000,2300,15000
16,13/05/2022,15000,15000,15000,15000,900,15000
17,16/05/2022,16500,15500,16200,15500,3300,15500
18,17/05/2022,15900,13600,13600,15900,886,15900
19,18/05/2022,15000,15000,15000,15000,1100,15000
20,19/05/2022,15000,15000,15000,15000,-,15000
21,20/05/2022,15100,15000,15000,15000,510,15000
22,23/05/2022,15200,14000,15000,15000,5227,15000
23,24/05/2022,13500,13500,13500,13500,300,13500
24,25/05/2022,15300,15100,15300,15100,330,15100
25,26/05/2022,14000,13100,14000,14000,54128,14000
26,27/05/2022,14000,13500,14000,13500,700,13500
27,30/05/2022,14500,14000,14000,14500,300,14500
28,31/05/2022,13500,13000,13100,13500,3300,13500
29,01/06/2022,13200,13200,13200,13200,100,13200
30,02/06/2022,14200,12200,14200,13400,500,13400
31,03/06/2022,13300,13300,13300,13300,700,13300
32,06/06/2022,12200,12200,12200,12200,500,12200
33,07/06/2022,13200,12300,12400,13000,6000,13000
34,08/06/2022,14800,13000,13500,14800,16500,14800
35,09/06/2022,14400,13500,14400,13500,21700,13500
36,10/06/2022,14000,12600,14000,12600,600,12600
37,13/06/2022,13800,13800,13800,13800,-,13800
38,14/06/2022,14000,12400,14000,12400,200,12400
39,15/06/2022,13200,13200,13200,13200,-,13200
40,16/06/2022,12300,12200,12200,12300,800,12300
41,17/06/2022,12500,12200,12300,12500,2500,12500
42,20/06/2022,12000,12000,12000,12000,400,12000
43,21/06/2022,12500,12000,12000,12500,1100,12500
44,22/06/2022,12000,12000,12000,12000,300,12000
45,23/06/2022,13000,12800,12800,13000,1500,13000
46,24/06/2022,13900,13000,13000,13600,300,13600
47,27/06/2022,14000,13800,14000,13900,500,13900
48,28/06/2022,15500,13500,15500,13800,78000,13800
49,29/06/2022,14500,14400,14400,14400,41800,14400
50,30/06/2022,13900,13000,13000,13900,1200,13900
51,01/07/2022,13900,13900,13900,13900,100,13900
52,04/07/2022,12600,12600,12600,12600,1000,12600
53,05/07/2022,12200,12100,12100,12100,1000,12100
54,06/07/2022,12200,12200,12200,12200,-,12200
55,07/07/2022,13000,12900,12900,13000,400,13000
56,08/07/2022,13300,12400,12400,13200,1100,13200
57,11/07/2022,13200,13200,13200,13200,3200,13200
58,12/07/2022,13700,12500,13700,13500,800,13500
59,13/07/2022,13200,13200,13200,13200,-,13200
60,14/07/2022,13500,13300,13300,13500,7100,13500
61,15/07/2022,13600,13000,13000,13500,2430,13500
62,18/07/2022,13200,13000,13200,13000,600,13000
63,19/07/2022,12600,12500,12600,12500,1100,12500
64,20/07/2022,13100,12500,12900,13100,3400,13100
65,21/07/2022,12500,12500,12500,12500,1100,12500
66,22/07/2022,13200,12400,12500,12400,1300,12400
67,25/07/2022,12600,12600,12600,12600,-,12600
68,26/07/2022,12600,12600,12600,12600,-,12600
69,27/07/2022,13000,11800,12100,11800,7900,11800
70,28/07/2022,13000,12500,13000,13000,1500,13000
71,29/07/2022,12900,12800,12800,12900,1000,12900
72,01/08/2022,12600,12100,12100,12300,1300,12300
73,02/08/2022,12400,12300,12300,12400,1200,12400
74,03/08/2022,12300,12300,12300,12300,1200,12300
75,04/08/2022,12400,12000,12300,12000,6500,12000
76,05/08/2022,12700,12300,12500,12700,10400,12700
77,08/08/2022,12500,12300,12500,12300,2300,12300
78,09/08/2022,12900,12900,12900,12900,100,12900
79,10/08/2022,13400,12500,12900,12500,5400,12500
80,11/08/2022,13000,12600,12700,12600,2600,12600
81,12/08/2022,12500,12300,12500,12300,8400,12300
82,15/08/2022,12500,12500,12500,12500,102,12500
83,16/08/2022,12500,12500,12500,12500,200,12500
84,17/08/2022,12900,12000,12900,12200,2400,12200
85,18/08/2022,12300,12000,12000,12300,5200,12300
86,19/08/2022,12800,12100,12100,12800,200,12800
87,22/08/2022,12700,12500,12500,12700,1100,12700
88,23/08/2022,12500,11800,12500,12100,5600,12100
89,24/08/2022,12300,12200,12300,12200,1000,12200
90,25/08/2022,12500,12200,12200,12500,1700,12500
91,26/08/2022,12500,12300,12300,12500,900,12500
92,29/08/2022,12300,11800,12300,11800,4300,11800
93,30/08/2022,12000,11800,11800,12000,7800,12000
94,31/08/2022,11800,11600,11600,11700,2410,11700
95,05/09/2022,11800,11800,11800,11800,700,11800
96,06/09/2022,12200,12100,12100,12200,700,12200
97,07/09/2022,12000,11900,12000,11900,900,11900
98,08/09/2022,12500,12200,12400,12200,15600,12200
99,09/09/2022,12500,12500,12500,12500,500,12500
100,12/09/2022,12600,12500,12500,12600,6500,12600
101,13/09/2022,12000,12000,12000,12000,300,12000
102,14/09/2022,12100,12100,12100,12100,200,12100
103,15/09/2022,12200,12200,12200,12200,1700,12200
104,16/09/2022,12400,12200,12300,12400,1500,12400
105,19/09/2022,12500,12500,12500,12500,917,12500
106,20/09/2022,12500,12500,12500,12500,200,12500
107,21/09/2022,12500,12500,12500,12500,-,12500
108,22/09/2022,12700,11700,11700,12700,13500,12700
109,23/09/2022,12400,12400,12400,12400,-,12400
110,26/09/2022,12400,12400,12400,12700,4,12400
111,27/09/2022,11800,11800,11800,11800,1300,11800
112,28/09/2022,11900,11000,11700,11900,5100,11900
113,29/09/2022,11600,11500,11600,11500,8100,11500
114,30/09/2022,11300,11300,11300,11300,500,11300
115,03/10/2022,11300,11300,11300,11300,1000,11300
116,04/10/2022,11300,11300,11300,11300,1000,11300
117,05/10/2022,11300,11300,11300,11300,1600,11300
118,06/10/2022,11400,11300,11400,11300,2500,11300
119,07/10/2022,11300,10700,11000,10700,8300,10700
120,10/10/2022,10900,10900,10900,10900,-,10900
121,11/10/2022,10600,10300,10300,10600,300,10600
122,12/10/2022,10600,10500,10500,10600,3200,10600
123,13/10/2022,10600,10600,10600,10600,1900,10600
124,14/10/2022,10900,10600,10600,10900,5400,10900
125,17/10/2022,10600,10600,10600,10600,-,10600
126,18/10/2022,11100,9600,10600,9600,1600,9600
127,19/10/2022,10300,10300,10300,10300,-,10300
128,20/10/2022,10300,10300,10300,10300,-,10300
129,21/10/2022,11400,10200,10300,10200,2300,10200
130,24/10/2022,10300,10300,10300,10300,-,10300
131,25/10/2022,10600,9500,9500,10000,5700,10000
132,26/10/2022,9500,8500,9500,8900,3300,8900
133,27/10/2022,10300,9300,9300,10300,3400,10300
134,28/10/2022,11200,9200,9800,10800,2400,10800
135,31/10/2022,10500,9300,9300,10000,1300,10000
136,01/11/2022,10700,9800,9800,10700,200,10700
137,02/11/2022,10900,9500,9500,10800,300,10800
138,03/11/2022,10400,10000,10400,10000,2100,10000
139,04/11/2022,10300,9000,9000,10300,3500,10300
140,07/11/2022,9900,9500,9900,9900,6100,9900
141,08/11/2022,10200,8700,8700,10000,800,10000
142,09/11/2022,11300,8700,8700,9900,400,9900
143,10/11/2022,11300,9200,11300,9400,7400,9400
144,11/11/2022,10200,8200,8200,10200,300,10200
145,14/11/2022,9700,8700,9000,8800,4800,8800
146,15/11/2022,8400,7700,8000,7700,7200,7700
147,16/11/2022,9000,7900,7900,9000,2400,9000
148,17/11/2022,9500,9400,9400,9400,500,9400
149,18/11/2022,10500,9300,9300,10500,1000,10500
150,21/11/2022,10100,8800,10100,9500,7500,9500
151,22/11/2022,10300,9000,10300,9000,400,9000
152,23/11/2022,9300,9300,9300,9300,1000,9300
153,24/11/2022,10300,10300,10300,10300,100,10300
154,25/11/2022,10300,10300,10300,10300,-,10300
155,28/11/2022,9700,8800,9700,8900,32500,8900
156,29/11/2022,10200,8800,10200,9300,15800,9300
157,30/11/2022,10200,8800,10200,9000,36600,9000
158,01/12/2022,9900,7700,9900,8900,25600,8900
159,02/12/2022,8500,8000,8500,8500,2300,8500
160,05/12/2022,8500,8000,8500,8000,1400,8000
161,06/12/2022,8100,8000,8000,8100,10800,8100
162,07/12/2022,8800,7900,8800,7900,4700,7900
163,08/12/2022,8100,7900,7900,8100,1900,8100
164,09/12/2022,7900,7900,7900,7900,1400,7900
165,12/12/2022,8000,7800,7900,8000,14600,8000
166,13/12/2022,7900,7800,7900,7800,1600,7800
167,14/12/2022,7900,7700,7800,7900,6204,7900
168,15/12/2022,8000,8000,8000,8000,100,8000
169,16/12/2022,8000,8000,8000,8000,-,8000
170,19/12/2022,8300,8100,8300,8100,2200,8100
171,20/12/2022,8100,7900,8100,7900,1200,7900
172,21/12/2022,8000,7900,8000,7900,3100,7900
173,22/12/2022,8000,7700,8000,7800,13800,7800
174,23/12/2022,8000,8000,8000,8000,100,8000
175,26/12/2022,7800,7500,7800,7500,7200,7500
176,27/12/2022,7600,7600,7600,7600,2900,7600
177,28/12/2022,7600,7500,7600,7500,3200,7500
178,29/12/2022,7500,7400,7500,7400,11200,7400
179,30/12/2022,7400,6500,7400,6500,28100,6500
180,03/01/2023,7100,7100,7100,7100,2600,7100
181,04/01/2023,7100,6800,7100,6800,1101,6800
182,05/01/2023,7000,7000,7000,7000,900,7000
183,06/01/2023,7400,7000,7400,7000,900,7000
