,Date,High,Low,Open,Close,Volume,Adj Close
0,23/01/2024,9480,8850,8900,9480,52900,9500
1,24/01/2024,9010,8820,9010,8860,64100,8900
2,25/01/2024,8800,8240,8550,8500,50300,8500
3,26/01/2024,8500,8050,8490,8200,26400,8200
4,29/01/2024,8590,7760,8200,7820,10300,7800
5,30/01/2024,8000,7850,7850,8000,17200,8000
6,31/01/2024,8050,7520,8010,7710,4100,7700
7,01/02/2024,7910,7600,7700,7600,19000,7600
8,02/02/2024,7750,7550,7610,7600,9300,7600
9,05/02/2024,7600,7510,7550,7510,6400,7500
10,06/02/2024,7620,7450,7450,7620,2900,7600
11,07/02/2024,7770,7620,7620,7730,6200,7700
12,15/02/2024,7730,7730,7730,7730,300,7700
13,16/02/2024,7750,7270,7730,7700,1900,7700
14,19/02/2024,8030,7550,8030,7900,1400,7900
15,20/02/2024,7920,7800,7820,7920,4100,7900
16,21/02/2024,7950,7910,7920,7950,4900,8000
17,22/02/2024,8000,7900,7950,7950,3500,8000
18,23/02/2024,8100,8000,8000,8000,10100,8000
19,26/02/2024,8200,7760,8200,7760,5800,7800
20,27/02/2024,8300,7780,8000,7980,13200,8000
21,28/02/2024,8200,7500,7700,8100,13800,8100
22,29/02/2024,8100,7900,8100,8000,2500,8000
23,01/03/2024,7980,7780,7780,7980,500,8000
24,04/03/2024,7980,7830,7840,7980,2200,8000
25,05/03/2024,8250,7970,7990,8250,13900,8300
26,06/03/2024,8240,8000,8240,8100,4100,8100
27,07/03/2024,8100,8100,8100,8100,2000,8100
28,08/03/2024,8200,8000,8200,8100,1700,8100
29,11/03/2024,8100,8080,8100,8080,1800,8100
30,12/03/2024,8190,7600,7600,8180,1100,8200
31,13/03/2024,8100,7700,7750,7760,2500,7800
32,14/03/2024,7980,7770,7980,7780,7500,7800
33,15/03/2024,7910,7750,7770,7890,3200,7900
34,18/03/2024,7890,7340,7890,7860,5900,7900
35,19/03/2024,7860,7650,7670,7860,2800,7900
36,20/03/2024,7970,7900,7970,7900,1000,7900
37,21/03/2024,7900,7670,7800,7890,7600,7900
38,22/03/2024,7870,7520,7850,7870,11800,7900
39,25/03/2024,7800,7440,7440,7580,16400,7600
40,26/03/2024,7500,7300,7300,7400,6300,7400
41,27/03/2024,7600,7000,7600,7110,39100,7100
42,28/03/2024,7200,7090,7120,7090,13600,7100
43,29/03/2024,7090,6900,7000,7000,11300,7000
44,01/04/2024,6970,6720,6900,6720,35700,6700
45,02/04/2024,6600,6250,6600,6250,66000,6300
46,03/04/2024,6300,6100,6100,6260,28800,6300
47,04/04/2024,6300,6150,6260,6150,34300,6200
48,05/04/2024,6300,6150,6150,6220,65200,6200
49,08/04/2024,6430,6210,6230,6380,29800,6400
50,09/04/2024,6680,6310,6310,6400,15500,6400
51,10/04/2024,6840,6400,6400,6840,50400,6800
52,11/04/2024,7310,6900,6900,7310,33300,7300
53,12/04/2024,7820,7810,7820,7820,37100,7800
54,15/04/2024,8360,7280,8360,7300,78300,7300
55,16/04/2024,7200,6810,7200,6810,18600,6800
56,17/04/2024,7110,6450,6500,7110,14900,7100
57,19/04/2024,7000,6620,7000,6790,25500,6800
58,22/04/2024,6900,6460,6460,6900,31500,6900
59,23/04/2024,7380,6800,6800,7050,34800,7100
60,24/04/2024,7100,7000,7050,7000,17200,7000
61,25/04/2024,7000,6860,7000,6860,22800,6900
62,26/04/2024,7100,6800,6860,7100,23100,7100
63,15/05/2024,9900,7500,9900,7900,46500,7900
64,16/05/2024,7900,7500,7900,7800,11701,7800
65,17/05/2024,8300,7800,7800,7800,23597,7800
66,20/05/2024,7900,7800,7900,7900,5710,7900
67,21/05/2024,7900,7600,7600,7800,11644,7800
68,22/05/2024,7700,7500,7500,7700,11002,7700
69,23/05/2024,7600,7500,7600,7500,1032,7500
70,24/05/2024,7700,7400,7700,7500,5914,7500
71,27/05/2024,7900,7500,7700,7500,9711,7500
72,28/05/2024,7800,7500,7700,7600,7600,7600
73,29/05/2024,7700,7500,7600,7600,12040,7600
74,30/05/2024,7700,7500,7600,7500,7709,7500
75,31/05/2024,7700,7500,7500,7600,4920,7600
76,03/06/2024,7700,7400,7700,7400,2700,7400
77,04/06/2024,7500,7300,7500,7300,9925,7300
78,05/06/2024,7500,7300,7400,7300,26261,7300
79,06/06/2024,7500,7200,7400,7300,3841,7300
80,07/06/2024,7300,7300,7300,7300,4003,7300
81,10/06/2024,7400,7300,7400,7400,3003,7400
82,11/06/2024,7400,7200,7400,7300,5000,7300
83,12/06/2024,7200,7200,7200,7200,2801,7200
84,13/06/2024,7300,7200,7200,7300,7210,7300
85,14/06/2024,7500,7300,7300,7500,3437,7500
86,17/06/2024,7600,7300,7300,7400,9451,7400
87,18/06/2024,7900,7400,7500,7600,3305,7600
88,19/06/2024,7600,7000,7600,7600,1600,7600
