,Date,High,Low,Open,Close,Volume,Adj Close
0,26/04/2023,78300,76600,76700,78200,19351,63100
1,27/04/2023,78800,77000,77200,78800,33706,63600
2,28/04/2023,76000,72500,73000,73900,109451,59700
3,04/05/2023,73900,71900,73900,72000,37701,58100
4,05/05/2023,73000,72100,72500,72500,2487,58500
5,08/05/2023,73900,73000,73000,73100,3902,59000
6,09/05/2023,73300,72900,73200,73100,14201,59000
7,10/05/2023,74800,73300,73300,74800,9904,60400
8,11/05/2023,74900,74300,74300,74500,2300,60100
9,12/05/2023,74500,74100,74300,74400,4627,60100
10,15/05/2023,74600,73700,74400,74000,12103,59700
11,16/05/2023,74800,74000,74000,74800,13434,60400
12,17/05/2023,74900,74000,74800,74400,4920,60100
13,18/05/2023,74100,73800,74000,74100,6200,59800
14,19/05/2023,74500,73500,73900,74500,17434,60100
15,22/05/2023,73800,73500,73700,73500,14600,59300
16,23/05/2023,75000,73500,75000,73500,10720,59300
17,24/05/2023,74500,73400,73500,74500,40911,60100
18,25/05/2023,70600,70600,70600,70600,903,59400
19,26/05/2023,70600,70500,70600,70500,500,59300
20,29/05/2023,70500,69500,70500,70500,2300,59300
21,30/05/2023,70600,70300,70300,70600,4100,59400
22,31/05/2023,70500,70400,70500,70400,1800,59200
23,01/06/2023,70700,70400,70400,70600,3310,59400
24,02/06/2023,70500,69000,70500,69000,6650,58100
25,05/06/2023,70000,69000,70000,69300,17322,58300
26,06/06/2023,69900,66700,67000,69900,1730,58800
27,07/06/2023,69500,69400,69500,69500,6976,58500
28,08/06/2023,70000,69500,69500,69600,1941,58600
29,09/06/2023,70000,69800,69800,70000,644,58900
30,12/06/2023,70900,69800,70300,69800,3346,58700
31,13/06/2023,71400,71000,71000,71300,1606,60000
32,14/06/2023,71300,70600,71300,71300,1315,60000
33,15/06/2023,72000,70000,71200,72000,7900,60600
34,16/06/2023,73000,72000,72000,72000,7015,60600
35,19/06/2023,69000,62800,69000,65000,3900,62900
36,20/06/2023,65100,63000,65000,64000,15010,61900
37,21/06/2023,64000,63500,63800,63500,13100,61400
38,22/06/2023,63900,63700,63900,63700,1410,61600
39,23/06/2023,63700,63000,63000,63600,9008,61500
40,26/06/2023,62800,61800,62300,62000,54502,60000
41,27/06/2023,62500,62200,62500,62200,13700,60200
42,28/06/2023,62600,62500,62500,62500,1400,60500
43,29/06/2023,62500,62200,62200,62200,1600,60200
44,30/06/2023,62400,62300,62400,62300,4672,60300
45,03/07/2023,62500,62200,62200,62300,17800,60300
46,04/07/2023,63200,62200,63200,62200,1500,60200
47,05/07/2023,62700,62200,62700,62500,6073,60500
48,06/07/2023,62400,61800,62200,62000,37700,60000
49,07/07/2023,62000,61700,62000,61900,25000,59900
50,10/07/2023,61900,61500,61800,61500,22500,59500
51,11/07/2023,61500,60800,60800,61000,25220,59000
52,12/07/2023,60700,60200,60700,60500,25070,58500
53,13/07/2023,61000,60500,60500,61000,10934,59000
54,14/07/2023,61900,61000,61900,61000,2900,59000
55,17/07/2023,61500,60600,61500,60800,23900,58800
