,Date,High,Low,Open,Close,Volume,Adj Close
0,07/06/2023,20100,20100,20100,20100,100,19000
1,08/06/2023,20100,20100,20100,20100,-,19000
2,09/06/2023,20100,20100,20100,20100,-,19000
3,12/06/2023,20100,20100,20100,20100,-,19000
4,13/06/2023,20100,20100,20100,20100,-,19000
5,14/06/2023,20100,20100,20100,20100,-,19000
6,15/06/2023,20100,20100,20100,20100,-,19000
7,16/06/2023,20100,20100,20100,20100,-,19000
8,19/06/2023,20100,20100,20100,20100,-,19000
9,20/06/2023,20100,20100,20100,20100,-,19000
10,21/06/2023,20100,20100,20100,20100,-,19000
11,22/06/2023,20100,20100,20100,20100,-,19000
12,23/06/2023,20100,20100,20100,20100,-,19000
13,26/06/2023,20100,20100,20100,20100,-,19000
14,27/06/2023,20100,20100,20100,20100,-,19000
15,28/06/2023,20100,20100,20100,20100,-,19000
16,29/06/2023,20100,20100,20100,20100,-,19000
17,30/06/2023,20100,20100,20100,20100,-,19000
18,03/07/2023,20100,20100,20100,20100,-,19000
19,04/07/2023,20100,20100,20100,20100,-,19000
20,05/07/2023,20100,20100,20100,20100,-,19000
21,06/07/2023,20100,20100,20100,20100,-,19000
22,07/07/2023,20100,20100,20100,20100,-,19000
23,10/07/2023,20100,20100,20100,20100,-,19000
24,11/07/2023,20100,20100,20100,20100,-,19000
25,12/07/2023,20100,20100,20100,20100,-,19000
26,13/07/2023,20100,20100,20100,20100,-,19000
27,14/07/2023,20100,20100,20100,20100,-,19000
28,17/07/2023,20100,20100,20100,20100,-,19000
29,18/07/2023,20100,20100,20100,20100,-,19000
30,19/07/2023,20100,20100,20100,20100,-,19000
31,20/07/2023,20100,20100,20100,20100,-,19000
32,21/07/2023,20100,20100,20100,20100,-,19000
33,24/07/2023,20100,20100,20100,20100,-,19000
34,25/07/2023,20100,20100,20100,20100,-,19000
35,26/07/2023,28100,28100,28100,28100,100,26500
36,27/07/2023,28100,28100,28100,28100,-,26500
37,28/07/2023,28100,28100,28100,28100,-,26500
38,31/07/2023,28100,28100,28100,28100,-,26500
39,01/08/2023,28100,28100,28100,28100,-,26500
40,02/08/2023,28100,28100,28100,28100,-,26500
41,03/08/2023,28100,28100,28100,28100,-,26500
42,04/08/2023,28100,28100,28100,28100,-,26500
43,07/08/2023,28100,28100,28100,28100,-,26500
44,08/08/2023,28100,28100,28100,28100,-,26500
45,09/08/2023,28100,28100,28100,28100,-,26500
46,10/08/2023,28100,28100,28100,28100,-,26500
47,11/08/2023,28100,28100,28100,28100,-,26500
48,14/08/2023,28100,28100,28100,28100,-,26500
49,15/08/2023,28100,28100,28100,28100,-,26500
50,16/08/2023,28100,28100,28100,28100,-,26500
