,Date,High,Low,Open,Close,Volume,Adj Close
0,12/06/2023,5100,4600,4800,4900,8141,4900
1,13/06/2023,5000,4800,5000,4900,15055,4900
2,14/06/2023,5500,5000,5000,5300,59444,5300
3,15/06/2023,5500,5100,5500,5100,3641,5100
4,16/06/2023,5400,4900,5100,5200,2623,5200
5,19/06/2023,5200,4700,5200,5000,5302,5000
6,20/06/2023,4800,4800,4800,4800,200,4800
7,21/06/2023,4800,4400,4600,4800,16724,4800
8,22/06/2023,5200,4700,4700,5100,2051,5100
9,23/06/2023,5100,4800,5100,4800,6900,4800
10,26/06/2023,5000,4700,4800,5000,9605,5000
11,27/06/2023,5000,4800,4800,5000,4205,5000
12,28/06/2023,5000,4700,5000,5000,300,5000
13,29/06/2023,4900,4900,4900,4900,201,4900
14,30/06/2023,4800,4500,4500,4800,200,4800
15,03/07/2023,4700,4700,4700,4800,51,4700
16,04/07/2023,4500,4400,4400,4500,428,4500
17,05/07/2023,5100,4500,4500,4500,12005,4500
18,06/07/2023,4700,4600,4600,4700,508,4700
19,07/07/2023,4700,4600,4600,4700,2200,4700
20,10/07/2023,4800,4700,4700,4700,2787,4700
21,11/07/2023,4700,4500,4700,4600,2800,4600
22,12/07/2023,4700,4500,4700,4500,4100,4500
23,13/07/2023,4700,4500,4500,4700,5200,4700
24,14/07/2023,4700,4500,4700,4500,1700,4500
25,17/07/2023,4800,4600,4700,4600,9400,4600
26,18/07/2023,4700,4500,4700,4500,24400,4500
27,19/07/2023,4700,4400,4500,4500,6601,4500
28,20/07/2023,4500,4500,4500,4500,-,4500
29,21/07/2023,4600,4500,4500,4600,2700,4600
30,24/07/2023,4600,4400,4600,4600,4702,4600
31,25/07/2023,4600,4500,4600,4600,10701,4600
32,26/07/2023,4700,4600,4700,4600,12064,4600
33,27/07/2023,4700,4600,4600,4700,3600,4700
34,28/07/2023,4700,4700,4700,4700,614,4700
35,31/07/2023,4700,4700,4700,4700,4228,4700
36,01/08/2023,4800,4600,4700,4800,5000,4800
37,02/08/2023,4900,4700,4900,4700,200,4700
38,03/08/2023,4800,4600,4600,4600,2900,4600
39,04/08/2023,4800,4600,4700,4600,2900,4600
40,07/08/2023,4800,4700,4700,4800,12931,4800
41,08/08/2023,4900,4800,4800,4900,18400,4900
42,09/08/2023,5500,4800,4800,5200,64150,5200
43,10/08/2023,5300,5000,5300,5000,21626,5000
44,11/08/2023,5100,4900,5100,4900,3700,4900
45,14/08/2023,4900,4900,4900,4900,16720,4900
46,15/08/2023,4900,4700,4900,4900,35671,4900
47,16/08/2023,5300,4900,4900,5200,34861,5200
48,17/08/2023,5200,5000,5200,5000,16354,5000
49,18/08/2023,5000,4600,4700,4600,8821,4600
50,21/08/2023,4900,4600,4800,4900,14803,4900
51,22/08/2023,5100,4700,4700,5100,18913,5100
52,23/08/2023,5100,4800,5100,5000,12205,5000
53,24/08/2023,5200,4800,4800,5100,12112,5100
54,25/08/2023,5000,4900,5000,4900,6505,4900
55,28/08/2023,5200,5000,5000,5200,2893,5200
56,29/08/2023,5200,5100,5100,5200,1025,5200
57,30/08/2023,5200,5200,5200,5200,409,5200
58,31/08/2023,5500,4700,5500,5000,11943,5000
59,05/09/2023,5000,4800,5000,4800,7408,4800
60,06/09/2023,5500,4900,4900,5300,80638,5300
61,07/09/2023,5500,5300,5300,5400,33044,5400
62,08/09/2023,6200,5400,5900,5700,50955,5700
63,11/09/2023,6700,5700,5700,6600,129197,6600
64,12/09/2023,7500,6800,6800,6900,85004,6900
65,13/09/2023,7700,6300,7700,6300,21622,6300
66,14/09/2023,6000,5500,6000,5600,21386,5600
67,15/09/2023,6400,5600,5600,6400,15129,6400
68,18/09/2023,6800,5800,6300,6800,35625,6800
69,19/09/2023,6900,6000,6100,6800,8955,6800
70,20/09/2023,6800,6200,6500,6200,19101,6200
71,21/09/2023,6600,5900,6200,5900,13619,5900
72,22/09/2023,6200,5900,6000,5900,9320,5900
73,25/09/2023,6000,5700,5900,5700,9700,5700
74,26/09/2023,5500,5300,5500,5300,6100,5300
75,27/09/2023,5400,5300,5400,5300,700,5300
76,28/09/2023,5300,5300,5300,5300,3810,5300
77,29/09/2023,5400,5400,5400,5400,300,5400
78,02/10/2023,5300,4900,5300,4900,32200,4900
79,03/10/2023,4900,4900,4900,4900,-,4900
80,04/10/2023,4900,4800,4900,4900,10200,4900
81,05/10/2023,4900,4800,4900,4800,3500,4800
82,06/10/2023,5000,4700,4800,5000,14101,5000
83,09/10/2023,4900,4900,4900,4900,8130,4900
84,10/10/2023,4900,4800,4900,4900,3101,4900
85,11/10/2023,4900,4800,4800,4900,10927,4900
86,12/10/2023,5500,4900,5500,4900,10130,4900
87,13/10/2023,5000,4900,5000,4900,2925,4900
88,16/10/2023,5100,4900,4900,5100,7622,5100
89,17/10/2023,5200,5000,5200,5000,1503,5000
90,18/10/2023,5100,5100,5100,5100,200,5100
91,19/10/2023,5100,5100,5100,5100,-,5100
92,20/10/2023,4800,4500,4500,4800,6205,4800
93,23/10/2023,4700,4500,4700,4500,1000,4500
94,24/10/2023,4600,4500,4500,4600,576,4600
95,25/10/2023,4600,4600,4600,4600,300,4600
96,26/10/2023,4500,4400,4500,4500,4103,4500
97,27/10/2023,4500,4500,4500,4500,3,4500
98,30/10/2023,4500,4500,4500,4500,1300,4500
99,31/10/2023,4700,3900,4500,4700,967,4700
100,01/11/2023,4300,4300,4300,4700,16,4300
101,02/11/2023,4800,4500,4800,4700,7600,4700
102,03/11/2023,4800,4700,4700,4800,1002,4800
103,06/11/2023,4800,4800,4800,4800,317,4800
104,07/11/2023,4800,4800,4800,4800,-,4800
105,08/11/2023,4800,4300,4500,4800,800,4800
106,09/11/2023,4500,4500,4500,4500,1100,4500
107,10/11/2023,4600,4500,4500,4600,910,4600
108,13/11/2023,4900,4600,4900,4600,1000,4600
109,14/11/2023,4800,4800,4800,4800,100,4800
110,15/11/2023,5400,4900,4900,5100,20210,5100
111,16/11/2023,4700,4500,4500,4700,14125,4700
112,17/11/2023,4700,4400,4700,4500,22500,4500
113,20/11/2023,4500,4500,4500,4500,200,4500
114,21/11/2023,5100,4500,4500,5000,1707,5000
115,22/11/2023,4800,4600,4800,4600,3400,4600
116,23/11/2023,4800,4800,4800,4800,400,4800
117,24/11/2023,4600,4500,4600,4500,1200,4500
118,27/11/2023,4900,4600,4900,4800,1700,4800
119,28/11/2023,4700,4700,4700,4700,1300,4700
120,29/11/2023,4600,4600,4600,4600,102,4600
121,30/11/2023,4600,4600,4600,4600,-,4600
122,01/12/2023,4600,4600,4600,4600,-,4600
123,04/12/2023,4600,4600,4600,4600,2000,4600
124,05/12/2023,4700,4600,4600,4700,6000,4700
125,06/12/2023,4600,4600,4600,4600,500,4600
126,07/12/2023,4600,4500,4600,4500,4000,4500
127,08/12/2023,4700,4500,4700,4500,1720,4500
128,11/12/2023,4600,4500,4500,4500,944,4500
129,12/12/2023,4700,4500,4600,4500,700,4500
130,13/12/2023,4600,4600,4600,4600,100,4600
131,14/12/2023,4700,4600,4700,4600,401,4600
132,15/12/2023,4700,4600,4600,4700,200,4700
133,18/12/2023,4700,4700,4700,4700,200,4700
134,19/12/2023,4500,4500,4500,4500,400,4500
135,20/12/2023,4500,4500,4500,4500,-,4500
136,21/12/2023,4700,4600,4600,4700,400,4700
137,22/12/2023,4700,4600,4600,4600,1500,4600
138,25/12/2023,4700,4100,4500,4300,1200,4300
139,26/12/2023,4300,4300,4300,4300,400,4300
140,27/12/2023,4400,4400,4400,4400,600,4400
141,28/12/2023,4600,4500,4500,4600,1605,4600
142,29/12/2023,4700,4400,4400,4700,1000,4700
143,02/01/2024,4700,4000,4000,4600,2400,4600
144,03/01/2024,4700,4500,4600,4500,1400,4500
145,04/01/2024,4700,4500,4600,4500,1200,4500
146,05/01/2024,4500,4500,4500,4500,500,4500
147,08/01/2024,4500,4500,4500,4500,800,4500
148,09/01/2024,4500,4400,4500,4400,1922,4400
149,10/01/2024,4600,4500,4500,4600,1005,4600
150,11/01/2024,4600,4600,4600,4600,1458,4600
151,12/01/2024,4600,4600,4600,4600,1220,4600
152,15/01/2024,4600,4600,4600,4600,100,4600
153,16/01/2024,4600,4300,4600,4400,6319,4400
154,17/01/2024,4400,4400,4400,4400,-,4400
155,18/01/2024,4400,4400,4400,4400,203,4400
156,19/01/2024,4500,4400,4400,4500,400,4500
157,22/01/2024,4400,4400,4400,4400,322,4400
158,23/01/2024,4400,4400,4400,4400,2003,4400
159,24/01/2024,4400,4300,4400,4300,3200,4300
160,25/01/2024,4300,4300,4300,4300,27,4300
161,26/01/2024,4500,4300,4300,4300,6800,4300
162,29/01/2024,4700,4400,4400,4700,2200,4700
163,30/01/2024,4500,4300,4400,4500,4301,4500
164,31/01/2024,4300,4300,4300,4300,4800,4300
