,Date,High,Low,Open,Close,Volume,Adj Close
0,20/06/2023,12600,12600,12600,12600,-,12600
1,21/06/2023,12600,12600,12600,12600,-,12600
2,22/06/2023,12600,12600,12600,12600,-,12600
3,23/06/2023,12600,12600,12600,12600,-,12600
4,26/06/2023,12600,12600,12600,12600,-,12600
5,27/06/2023,12600,12600,12600,12600,-,12600
6,28/06/2023,12600,12600,12600,12600,-,12600
7,29/06/2023,12600,12600,12600,12600,-,12600
8,30/06/2023,12600,12600,12600,12600,-,12600
9,03/07/2023,12600,12600,12600,12600,-,12600
10,04/07/2023,12600,12600,12600,12600,-,12600
11,05/07/2023,12600,12600,12600,12600,-,12600
12,06/07/2023,12600,12600,12600,12600,-,12600
13,07/07/2023,12600,12600,12600,12600,-,12600
14,10/07/2023,12600,12600,12600,12600,-,12600
15,11/07/2023,12600,12600,12600,12600,-,12600
16,12/07/2023,12600,12600,12600,12600,-,12600
17,13/07/2023,12600,12600,12600,12600,-,12600
18,14/07/2023,12600,12600,12600,12600,-,12600
19,17/07/2023,12600,12600,12600,12600,-,12600
20,18/07/2023,12600,12600,12600,12600,-,12600
21,19/07/2023,12600,12600,12600,12600,-,12600
22,20/07/2023,12600,12600,12600,12600,-,12600
23,21/07/2023,12600,12600,12600,12600,-,12600
24,24/07/2023,12600,12600,12600,12600,-,12600
25,25/07/2023,12600,12600,12600,12600,-,12600
26,26/07/2023,12600,12600,12600,12600,-,12600
27,27/07/2023,12600,12600,12600,12600,-,12600
28,28/07/2023,12600,12600,12600,12600,-,12600
29,31/07/2023,12600,12600,12600,12600,-,12600
30,01/08/2023,12600,12600,12600,12600,-,12600
31,02/08/2023,12600,12600,12600,12600,-,12600
32,03/08/2023,12600,12600,12600,12600,-,12600
33,04/08/2023,12600,12600,12600,12600,-,12600
34,07/08/2023,12600,12600,12600,12600,-,12600
35,08/08/2023,12600,12600,12600,12600,-,12600
36,09/08/2023,12600,12600,12600,12600,-,12600
37,10/08/2023,12600,12600,12600,12600,-,12600
38,11/08/2023,12600,12600,12600,12600,-,12600
39,14/08/2023,12600,12600,12600,12600,-,12600
40,15/08/2023,12600,12600,12600,12600,-,12600
41,16/08/2023,12600,12600,12600,12600,-,12600
42,17/08/2023,12600,12600,12600,12600,-,12600
43,18/08/2023,12600,12600,12600,12600,-,12600
44,21/08/2023,12600,12600,12600,12600,-,12600
45,22/08/2023,12600,12600,12600,12600,-,12600
46,23/08/2023,12600,12600,12600,12600,-,12600
47,24/08/2023,12600,12600,12600,12600,-,12600
48,25/08/2023,12600,12600,12600,12600,-,12600
49,28/08/2023,12600,12600,12600,12600,-,12600
50,29/08/2023,12600,12600,12600,12600,-,12600
51,30/08/2023,12600,12600,12600,12600,-,12600
52,31/08/2023,12600,12600,12600,12600,-,12600
53,05/09/2023,12600,12600,12600,12600,-,12600
54,06/09/2023,12600,12600,12600,12600,-,12600
55,07/09/2023,12600,12600,12600,12600,-,12600
56,08/09/2023,12600,12600,12600,12600,-,12600
57,11/09/2023,12600,12600,12600,12600,-,12600
58,12/09/2023,12600,12600,12600,12600,-,12600
59,13/09/2023,12600,12600,12600,12600,-,12600
60,14/09/2023,12600,12600,12600,12600,-,12600
61,15/09/2023,12600,12600,12600,12600,-,12600
62,18/09/2023,12600,12600,12600,12600,-,12600
63,19/09/2023,12600,12600,12600,12600,-,12600
64,20/09/2023,12600,12600,12600,12600,-,12600
65,21/09/2023,12600,12600,12600,12600,-,12600
66,22/09/2023,12600,12600,12600,12600,-,12600
67,25/09/2023,12600,12600,12600,12600,-,12600
68,26/09/2023,12600,12600,12600,12600,-,12600
69,27/09/2023,12600,12600,12600,12600,-,12600
70,28/09/2023,12600,12600,12600,12600,-,12600
71,29/09/2023,12600,12600,12600,12600,-,12600
72,02/10/2023,12600,12600,12600,12600,-,12600
73,03/10/2023,12600,12600,12600,12600,-,12600
74,04/10/2023,12600,12600,12600,12600,-,12600
75,05/10/2023,12600,12600,12600,12600,-,12600
76,06/10/2023,12600,12600,12600,12600,-,12600
77,09/10/2023,12600,12600,12600,12600,-,12600
78,10/10/2023,12600,12600,12600,12600,-,12600
79,11/10/2023,12600,12600,12600,12600,-,12600
80,12/10/2023,12600,12600,12600,12600,-,12600
81,13/10/2023,12600,12600,12600,12600,-,12600
82,16/10/2023,12600,12600,12600,12600,-,12600
83,17/10/2023,12600,12600,12600,12600,-,12600
84,18/10/2023,12600,12600,12600,12600,-,12600
85,19/10/2023,12600,12600,12600,12600,-,12600
86,20/10/2023,12600,12600,12600,12600,-,12600
87,23/10/2023,12600,12600,12600,12600,-,12600
88,24/10/2023,12600,12600,12600,12600,-,12600
89,25/10/2023,12600,12600,12600,12600,-,12600
90,26/10/2023,12600,12600,12600,12600,-,12600
91,27/10/2023,12600,12600,12600,12600,-,12600
92,30/10/2023,12600,12600,12600,12600,-,12600
93,31/10/2023,12600,12600,12600,12600,-,12600
94,01/11/2023,12600,12600,12600,12600,-,12600
95,02/11/2023,12600,12600,12600,12600,-,12600
96,03/11/2023,12600,12600,12600,12600,-,12600
97,06/11/2023,12600,12600,12600,12600,-,12600
98,07/11/2023,12600,12600,12600,12600,-,12600
99,08/11/2023,12600,12600,12600,12600,-,12600
100,09/11/2023,12600,12600,12600,12600,-,12600
101,10/11/2023,12600,12600,12600,12600,-,12600
102,13/11/2023,12600,12600,12600,12600,-,12600
103,14/11/2023,12600,12600,12600,12600,-,12600
104,15/11/2023,12600,12600,12600,12600,-,12600
105,16/11/2023,12600,12600,12600,12600,-,12600
106,17/11/2023,12600,12600,12600,12600,-,12600
107,20/11/2023,12600,12600,12600,12600,-,12600
108,21/11/2023,12600,12600,12600,12600,-,12600
109,22/11/2023,12600,12600,12600,12600,-,12600
110,23/11/2023,12600,12600,12600,12600,-,12600
111,24/11/2023,12600,12600,12600,12600,-,12600
112,27/11/2023,12600,12600,12600,12600,-,12600
113,28/11/2023,12600,12600,12600,12600,-,12600
114,29/11/2023,12600,12600,12600,12600,-,12600
115,30/11/2023,12600,12600,12600,12600,-,12600
116,01/12/2023,12600,12600,12600,12600,-,12600
117,04/12/2023,12600,12600,12600,12600,-,12600
118,05/12/2023,12600,12600,12600,12600,-,12600
119,06/12/2023,12600,12600,12600,12600,-,12600
120,07/12/2023,12600,12600,12600,12600,-,12600
121,08/12/2023,12600,12600,12600,12600,-,12600
122,11/12/2023,12600,12600,12600,12600,-,12600
123,12/12/2023,12600,12600,12600,12600,-,12600
124,13/12/2023,12600,12600,12600,12600,-,12600
125,14/12/2023,12600,12600,12600,12600,-,12600
126,15/12/2023,12600,12600,12600,12600,-,12600
127,18/12/2023,12600,12600,12600,12600,-,12600
128,19/12/2023,12600,12600,12600,12600,-,12600
129,20/12/2023,12600,12600,12600,12600,-,12600
130,21/12/2023,12600,12600,12600,12600,-,12600
131,22/12/2023,12600,12600,12600,12600,-,12600
132,25/12/2023,12600,12600,12600,12600,-,12600
133,26/12/2023,12600,12600,12600,12600,-,12600
134,27/12/2023,12600,12600,12600,12600,-,12600
135,28/12/2023,12600,12600,12600,12600,-,12600
136,29/12/2023,12600,12600,12600,12600,-,12600
137,02/01/2024,12600,12600,12600,12600,-,12600
138,03/01/2024,12600,12600,12600,12600,-,12600
139,04/01/2024,12600,12600,12600,12600,-,12600
140,05/01/2024,12600,12600,12600,12600,-,12600
141,08/01/2024,12600,12600,12600,12600,-,12600
142,09/01/2024,12600,12600,12600,12600,-,12600
143,10/01/2024,12600,12600,12600,12600,-,12600
144,11/01/2024,12600,12600,12600,12600,-,12600
145,12/01/2024,12600,12600,12600,12600,-,12600
146,15/01/2024,12600,12600,12600,12600,-,12600
147,16/01/2024,12600,12600,12600,12600,-,12600
148,17/01/2024,12600,12600,12600,12600,-,12600
149,18/01/2024,12600,12600,12600,12600,-,12600
150,19/01/2024,12600,12600,12600,12600,-,12600
151,22/01/2024,12600,12600,12600,12600,-,12600
152,23/01/2024,12600,12600,12600,12600,-,12600
153,24/01/2024,12600,12600,12600,12600,-,12600
154,25/01/2024,12600,12600,12600,12600,-,12600
155,26/01/2024,12600,12600,12600,12600,-,12600
156,29/01/2024,12600,12600,12600,12600,-,12600
157,30/01/2024,12600,12600,12600,12600,-,12600
158,31/01/2024,12600,12600,12600,12600,-,12600
159,01/02/2024,12600,12600,12600,12600,-,12600
160,02/02/2024,12600,12600,12600,12600,-,12600
161,05/02/2024,12600,12600,12600,12600,-,12600
162,06/02/2024,12600,12600,12600,12600,-,12600
163,07/02/2024,12600,12600,12600,12600,-,12600
164,15/02/2024,12600,12600,12600,12600,-,12600
165,16/02/2024,12600,12600,12600,12600,-,12600
166,19/02/2024,12600,12600,12600,12600,-,12600
167,20/02/2024,12600,12600,12600,12600,-,12600
168,21/02/2024,12600,12600,12600,12600,-,12600
169,22/02/2024,12600,12600,12600,12600,-,12600
170,23/02/2024,12600,12600,12600,12600,-,12600
171,26/02/2024,12600,12600,12600,12600,-,12600
172,27/02/2024,12600,12600,12600,12600,-,12600
173,28/02/2024,12600,12600,12600,12600,-,12600
174,29/02/2024,12600,12600,12600,12600,-,12600
175,01/03/2024,12600,12600,12600,12600,-,12600
176,04/03/2024,12600,12600,12600,12600,-,12600
177,05/03/2024,12600,12600,12600,12600,-,12600
178,06/03/2024,12600,12600,12600,12600,-,12600
179,07/03/2024,12600,12600,12600,12600,-,12600
180,08/03/2024,12600,12600,12600,12600,-,12600
181,11/03/2024,12600,12600,12600,12600,-,12600
182,12/03/2024,12600,12600,12600,12600,-,12600
183,13/03/2024,12600,12600,12600,12600,-,12600
184,14/03/2024,12600,12600,12600,12600,-,12600
185,15/03/2024,12600,12600,12600,12600,-,12600
186,18/03/2024,12600,12600,12600,12600,-,12600
187,19/03/2024,12600,12600,12600,12600,-,12600
188,20/03/2024,12600,12600,12600,12600,-,12600
189,21/03/2024,12600,12600,12600,12600,-,12600
190,22/03/2024,12600,12600,12600,12600,-,12600
191,25/03/2024,12600,12600,12600,12600,-,12600
192,26/03/2024,12600,12600,12600,12600,-,12600
193,27/03/2024,12600,12600,12600,12600,-,12600
194,28/03/2024,12600,12600,12600,12600,-,12600
195,29/03/2024,12600,12600,12600,12600,-,12600
196,01/04/2024,12600,12600,12600,12600,-,12600
197,02/04/2024,12600,12600,12600,12600,-,12600
198,03/04/2024,12600,12600,12600,12600,-,12600
199,04/04/2024,12600,12600,12600,12600,-,12600
200,05/04/2024,12600,12600,12600,12600,-,12600
201,08/04/2024,12600,12600,12600,12600,-,12600
202,09/04/2024,12600,12600,12600,12600,-,12600
203,10/04/2024,12600,12600,12600,12600,-,12600
204,11/04/2024,12600,12600,12600,12600,-,12600
205,12/04/2024,12600,12600,12600,12600,-,12600
206,15/04/2024,12600,12600,12600,12600,-,12600
207,16/04/2024,12600,12600,12600,12600,-,12600
208,17/04/2024,12600,12600,12600,12600,-,12600
209,19/04/2024,12600,12600,12600,12600,-,12600
210,22/04/2024,12600,12600,12600,12600,-,12600
211,23/04/2024,12600,12600,12600,12600,-,12600
212,24/04/2024,12600,12600,12600,12600,-,12600
213,25/04/2024,12600,12600,12600,12600,-,12600
214,26/04/2024,12600,12600,12600,12600,-,12600
215,02/05/2024,12600,12600,12600,12600,-,12600
216,03/05/2024,12600,12600,12600,12600,-,12600
217,06/05/2024,12600,12600,12600,12600,-,12600
218,07/05/2024,12600,12600,12600,12600,-,12600
219,08/05/2024,12600,12600,12600,12600,-,12600
220,09/05/2024,12600,12600,12600,12600,-,12600
221,10/05/2024,12600,12600,12600,12600,-,12600
222,13/05/2024,12600,12600,12600,12600,-,12600
223,14/05/2024,12600,12600,12600,12600,-,12600
224,15/05/2024,12600,12600,12600,12600,-,12600
225,16/05/2024,12600,12600,12600,12600,-,12600
226,17/05/2024,12600,12600,12600,12600,-,12600
227,20/05/2024,12600,12600,12600,12600,-,12600
228,21/05/2024,12600,12600,12600,12600,-,12600
229,22/05/2024,12600,12600,12600,12600,-,12600
230,23/05/2024,12600,12600,12600,12600,-,12600
231,24/05/2024,12600,12600,12600,12600,-,12600
232,27/05/2024,12600,12600,12600,12600,-,12600
233,28/05/2024,12600,12600,12600,12600,-,12600
234,29/05/2024,12600,12600,12600,12600,-,12600
235,30/05/2024,12600,12600,12600,12600,-,12600
236,31/05/2024,12600,12600,12600,12600,-,12600
237,03/06/2024,12600,12600,12600,12600,-,12600
