,Date,High,Low,Open,Close,Volume,Adj Close
0,01/11/2021,5400,5400,5400,5400,-,5400
1,02/11/2021,5400,5400,5400,5400,-,5400
2,03/11/2021,5400,5400,5400,5400,-,5400
3,04/11/2021,5400,5400,5400,5400,-,5400
4,05/11/2021,5400,4600,5400,4600,566092,4600
5,08/11/2021,4600,4600,4600,4600,-,4600
6,09/11/2021,4600,4600,4600,4600,-,4600
7,10/11/2021,4600,4600,4600,4600,-,4600
8,11/11/2021,4600,4600,4600,4600,-,4600
9,12/11/2021,4000,4000,4000,4000,620106,4000
10,15/11/2021,4000,4000,4000,4000,-,4000
11,16/11/2021,4000,4000,4000,4000,-,4000
12,17/11/2021,4000,4000,4000,4000,-,4000
13,18/11/2021,4000,4000,4000,4000,-,4000
14,19/11/2021,4600,3400,4000,4600,2281713,4600
15,22/11/2021,4400,4400,4400,4400,-,4400
16,23/11/2021,4400,4400,4400,4400,-,4400
17,24/11/2021,4400,4400,4400,4400,-,4400
18,25/11/2021,4400,4400,4400,4400,-,4400
19,26/11/2021,4800,4100,4700,4400,1340936,4400
20,29/11/2021,4300,4300,4300,4300,-,4300
21,30/11/2021,4300,4300,4300,4300,-,4300
22,01/12/2021,4300,4300,4300,4300,-,4300
23,02/12/2021,4300,4300,4300,4300,-,4300
24,03/12/2021,4900,4600,4700,4900,1065000,4900
25,06/12/2021,4900,4900,4900,4900,-,4900
26,07/12/2021,4900,4900,4900,4900,-,4900
27,08/12/2021,4900,4900,4900,4900,-,4900
28,09/12/2021,4900,4900,4900,4900,-,4900
29,10/12/2021,5500,4200,5400,4800,650756,4800
30,13/12/2021,4500,4500,4500,4500,-,4500
31,14/12/2021,4500,4500,4500,4500,-,4500
32,15/12/2021,4500,4500,4500,4500,-,4500
33,16/12/2021,4500,4500,4500,4500,-,4500
34,17/12/2021,4800,3900,4800,4300,619381,4300
35,20/12/2021,4200,4200,4200,4200,-,4200
36,21/12/2021,4200,4200,4200,4200,-,4200
37,22/12/2021,4200,4200,4200,4200,-,4200
38,23/12/2021,4200,4200,4200,4200,-,4200
39,24/12/2021,4700,4000,4300,4100,503988,4100
40,27/12/2021,4300,4300,4300,4300,-,4300
41,28/12/2021,4300,4300,4300,4300,-,4300
42,29/12/2021,4300,4300,4300,4300,-,4300
43,30/12/2021,4300,4300,4300,4300,-,4300
44,31/12/2021,4400,4000,4000,4300,423803,4300
45,04/01/2022,4100,4100,4100,4100,-,4100
46,05/01/2022,4100,4100,4100,4100,-,4100
47,06/01/2022,4100,4100,4100,4100,-,4100
48,07/01/2022,4700,4100,4300,4700,982117,4700
49,10/01/2022,4600,4600,4600,4600,-,4600
50,11/01/2022,4600,4600,4600,4600,-,4600
51,12/01/2022,4600,4600,4600,4600,-,4600
52,13/01/2022,4600,4600,4600,4600,-,4600
53,14/01/2022,4800,4000,4800,4200,724052,4200
54,17/01/2022,4100,4100,4100,4100,-,4100
55,18/01/2022,4100,4100,4100,4100,-,4100
56,19/01/2022,4100,4100,4100,4100,-,4100
57,20/01/2022,4100,4100,4100,4100,-,4100
58,21/01/2022,4600,3600,4100,3700,300448,3700
59,24/01/2022,3700,3700,3700,3700,-,3700
60,25/01/2022,3700,3700,3700,3700,-,3700
61,26/01/2022,3700,3700,3700,3700,-,3700
62,27/01/2022,3700,3700,3700,3700,-,3700
63,28/01/2022,4200,3600,3600,4000,157312,4000
64,07/02/2022,3800,3800,3800,3800,-,3800
65,08/02/2022,3800,3800,3800,3800,-,3800
66,09/02/2022,3800,3800,3800,3800,-,3800
67,10/02/2022,3800,3800,3800,3800,-,3800
68,11/02/2022,4300,3700,3700,3900,214862,3900
69,14/02/2022,4100,4100,4100,4100,-,4100
