,Date,High,Low,Open,Close,Volume,Adj Close
0,30/08/2023,700,700,700,700,-,700
1,31/08/2023,700,700,700,700,-,700
2,05/09/2023,700,700,700,700,-,700
3,06/09/2023,700,700,700,700,-,700
4,07/09/2023,700,700,700,700,-,700
5,08/09/2023,800,700,700,700,65656,700
6,11/09/2023,700,700,700,700,-,700
7,12/09/2023,700,700,700,700,-,700
8,13/09/2023,700,700,700,700,-,700
9,14/09/2023,700,700,700,700,-,700
10,15/09/2023,700,600,600,700,136843,700
11,18/09/2023,700,700,700,700,-,700
12,19/09/2023,700,700,700,700,-,700
13,20/09/2023,700,700,700,700,-,700
14,21/09/2023,700,700,700,700,-,700
15,22/09/2023,700,600,600,700,34100,700
16,25/09/2023,700,700,700,700,-,700
17,26/09/2023,700,700,700,700,-,700
18,27/09/2023,700,700,700,700,-,700
19,28/09/2023,700,700,700,700,-,700
20,29/09/2023,700,600,600,600,31400,600
21,02/10/2023,600,600,600,600,-,600
22,03/10/2023,600,600,600,600,-,600
23,04/10/2023,600,600,600,600,-,600
24,05/10/2023,600,600,600,600,-,600
25,06/10/2023,700,600,600,600,30213,600
26,09/10/2023,600,600,600,600,-,600
27,10/10/2023,600,600,600,600,-,600
28,11/10/2023,600,600,600,600,-,600
29,12/10/2023,600,600,600,600,-,600
30,13/10/2023,700,600,600,600,39413,600
31,16/10/2023,600,600,600,600,-,600
32,17/10/2023,600,600,600,600,-,600
33,18/10/2023,600,600,600,600,-,600
34,19/10/2023,600,600,600,600,-,600
35,20/10/2023,600,500,500,600,53200,600
36,23/10/2023,500,500,500,500,-,500
37,24/10/2023,500,500,500,500,-,500
38,25/10/2023,500,500,500,500,-,500
39,26/10/2023,500,500,500,500,-,500
40,27/10/2023,600,500,500,600,45300,600
41,30/10/2023,500,500,500,500,-,500
42,31/10/2023,500,500,500,500,-,500
43,01/11/2023,500,500,500,500,-,500
44,02/11/2023,500,500,500,500,-,500
45,03/11/2023,600,500,500,500,6400,500
46,06/11/2023,500,500,500,500,-,500
47,07/11/2023,500,500,500,500,-,500
48,08/11/2023,500,500,500,500,-,500
49,09/11/2023,500,500,500,500,-,500
50,10/11/2023,600,500,500,600,17000,600
51,13/11/2023,500,500,500,500,-,500
52,14/11/2023,500,500,500,500,-,500
53,15/11/2023,500,500,500,500,-,500
54,16/11/2023,500,500,500,500,-,500
55,17/11/2023,600,500,600,500,8543,500
56,20/11/2023,500,500,500,500,-,500
57,21/11/2023,500,500,500,500,-,500
58,22/11/2023,500,500,500,500,-,500
59,23/11/2023,500,500,500,500,-,500
60,24/11/2023,500,500,500,500,27500,500
61,27/11/2023,500,500,500,500,-,500
62,28/11/2023,500,500,500,500,-,500
63,29/11/2023,500,500,500,500,-,500
64,30/11/2023,500,500,500,500,-,500
65,01/12/2023,500,400,500,500,19543,500
66,04/12/2023,500,500,500,500,-,500
67,05/12/2023,500,500,500,500,-,500
68,06/12/2023,500,500,500,500,-,500
69,07/12/2023,500,500,500,500,-,500
70,08/12/2023,600,400,500,400,46600,400
71,11/12/2023,500,500,500,500,-,500
72,12/12/2023,500,500,500,500,-,500
73,13/12/2023,500,500,500,500,-,500
74,14/12/2023,500,500,500,500,-,500
75,15/12/2023,500,400,400,500,64713,500
76,18/12/2023,500,500,500,500,-,500
77,19/12/2023,500,500,500,500,-,500
78,20/12/2023,500,500,500,500,-,500
79,21/12/2023,500,500,500,500,-,500
80,22/12/2023,600,500,600,600,3275,600
81,25/12/2023,600,600,600,600,-,600
82,26/12/2023,600,600,600,600,-,600
83,27/12/2023,600,600,600,600,-,600
84,28/12/2023,600,600,600,600,-,600
85,29/12/2023,600,600,600,600,-,600
86,02/01/2024,600,600,600,600,-,600
87,03/01/2024,600,600,600,600,-,600
88,04/01/2024,600,600,600,600,-,600
89,05/01/2024,600,500,600,500,65200,500
90,08/01/2024,500,500,500,500,-,500
91,09/01/2024,500,500,500,500,-,500
92,10/01/2024,500,500,500,500,-,500
93,11/01/2024,500,500,500,500,-,500
94,12/01/2024,600,500,600,500,111243,500
95,15/01/2024,500,500,500,500,-,500
96,16/01/2024,500,500,500,500,-,500
97,17/01/2024,500,500,500,500,-,500
98,18/01/2024,500,500,500,500,-,500
99,19/01/2024,600,500,500,600,2400,600
100,22/01/2024,600,600,600,600,-,600
101,23/01/2024,600,600,600,600,-,600
102,24/01/2024,600,600,600,600,-,600
103,25/01/2024,600,600,600,600,-,600
104,26/01/2024,600,500,600,600,5200,600
105,29/01/2024,500,500,500,500,-,500
106,30/01/2024,500,500,500,500,-,500
107,31/01/2024,500,500,500,500,-,500
108,01/02/2024,500,500,500,500,-,500
109,02/02/2024,600,500,600,600,69300,600
110,05/02/2024,600,600,600,600,-,600
111,06/02/2024,600,600,600,600,-,600
112,07/02/2024,600,600,600,600,-,600
113,15/02/2024,600,600,600,600,-,600
114,16/02/2024,600,500,500,600,44200,600
115,19/02/2024,500,500,500,500,-,500
116,20/02/2024,500,500,500,500,-,500
117,21/02/2024,500,500,500,500,-,500
118,22/02/2024,500,500,500,500,-,500
119,23/02/2024,600,500,600,600,26320,600
120,26/02/2024,600,600,600,600,-,600
121,27/02/2024,600,600,600,600,-,600
122,28/02/2024,600,600,600,600,-,600
123,29/02/2024,600,600,600,600,-,600
124,01/03/2024,700,500,600,700,53700,700
125,04/03/2024,600,600,600,600,-,600
126,05/03/2024,600,600,600,600,-,600
127,06/03/2024,600,600,600,600,-,600
128,07/03/2024,600,600,600,600,-,600
129,08/03/2024,600,500,500,500,54000,500
130,11/03/2024,600,600,600,600,-,600
131,12/03/2024,600,600,600,600,-,600
132,13/03/2024,600,600,600,600,-,600
133,14/03/2024,600,600,600,600,-,600
134,15/03/2024,600,500,600,500,70300,500
135,18/03/2024,500,500,500,500,-,500
136,19/03/2024,500,500,500,500,-,500
137,20/03/2024,500,500,500,500,-,500
138,21/03/2024,500,500,500,500,-,500
139,22/03/2024,600,500,600,600,42200,600
140,25/03/2024,600,600,600,600,-,600
141,26/03/2024,600,600,600,600,-,600
142,27/03/2024,600,600,600,600,-,600
143,28/03/2024,600,600,600,600,-,600
144,29/03/2024,700,500,500,700,62200,700
145,01/04/2024,600,600,600,600,-,600
146,02/04/2024,600,600,600,600,-,600
147,03/04/2024,600,600,600,600,-,600
148,04/04/2024,600,600,600,600,-,600
149,05/04/2024,700,600,600,600,55200,600
150,08/04/2024,600,600,600,600,-,600
151,09/04/2024,600,600,600,600,-,600
152,10/04/2024,600,600,600,600,-,600
153,11/04/2024,600,600,600,600,-,600
154,12/04/2024,700,500,600,600,27800,600
155,15/04/2024,600,600,600,600,-,600
156,16/04/2024,600,600,600,600,-,600
157,17/04/2024,600,600,600,600,-,600
158,19/04/2024,700,500,600,500,50000,500
159,22/04/2024,500,500,500,500,-,500
160,23/04/2024,500,500,500,500,-,500
161,24/04/2024,500,500,500,500,-,500
162,25/04/2024,500,500,500,500,-,500
163,26/04/2024,600,500,600,600,24400,600
164,02/05/2024,600,600,600,600,-,600
165,03/05/2024,700,600,700,600,58100,600
166,06/05/2024,700,700,700,700,-,700
167,07/05/2024,700,700,700,700,-,700
168,08/05/2024,700,700,700,700,-,700
169,09/05/2024,700,700,700,700,-,700
170,10/05/2024,800,600,700,600,31100,600
171,13/05/2024,700,700,700,700,-,700
172,14/05/2024,700,700,700,700,-,700
173,15/05/2024,700,700,700,700,-,700
174,16/05/2024,700,700,700,700,-,700
175,17/05/2024,800,600,800,700,600,700
176,20/05/2024,700,700,700,700,-,700
177,21/05/2024,700,700,700,700,-,700
178,22/05/2024,700,700,700,700,-,700
179,23/05/2024,700,700,700,700,-,700
180,24/05/2024,700,600,700,700,35300,700
181,27/05/2024,600,600,600,600,-,600
182,28/05/2024,600,600,600,600,-,600
183,29/05/2024,600,600,600,600,-,600
184,30/05/2024,600,600,600,600,-,600
185,31/05/2024,700,600,700,600,21838,600
186,03/06/2024,700,700,700,700,-,700
187,04/06/2024,700,700,700,700,-,700
188,05/06/2024,700,700,700,700,-,700
189,06/06/2024,700,700,700,700,-,700
190,07/06/2024,800,700,700,800,135422,800
191,10/06/2024,800,800,800,800,-,800
192,11/06/2024,800,800,800,800,-,800
193,12/06/2024,800,800,800,800,-,800
194,13/06/2024,800,800,800,800,-,800
195,14/06/2024,900,700,800,800,91219,800
196,17/06/2024,800,800,800,800,-,800
197,18/06/2024,800,800,800,800,-,800
198,19/06/2024,800,800,800,800,-,800
199,20/06/2024,800,800,800,800,-,800
200,21/06/2024,800,700,800,700,21651,700
201,24/06/2024,800,800,800,800,-,800
202,25/06/2024,800,800,800,800,-,800
203,26/06/2024,800,800,800,800,-,800
204,27/06/2024,800,800,800,800,-,800
205,28/06/2024,900,700,800,800,8810,800
206,01/07/2024,800,800,800,800,-,800
207,02/07/2024,800,800,800,800,-,800
208,03/07/2024,800,800,800,800,-,800
209,04/07/2024,800,800,800,800,-,800
210,05/07/2024,800,700,800,700,7510,700
211,08/07/2024,700,700,700,700,-,700
212,09/07/2024,700,700,700,700,-,700
213,10/07/2024,700,700,700,700,-,700
214,11/07/2024,700,700,700,700,-,700
215,12/07/2024,700,700,700,700,12451,700
216,15/07/2024,700,700,700,700,-,700
217,16/07/2024,700,700,700,700,-,700
218,17/07/2024,700,700,700,700,-,700
219,18/07/2024,700,700,700,700,-,700
220,19/07/2024,700,600,600,700,3759,700
221,22/07/2024,600,600,600,600,-,600
222,23/07/2024,600,600,600,600,-,600
223,24/07/2024,600,600,600,600,-,600
224,25/07/2024,600,600,600,600,-,600
225,26/07/2024,700,600,700,600,5375,600
226,29/07/2024,700,700,700,700,-,700
227,30/07/2024,700,700,700,700,-,700
228,31/07/2024,700,700,700,700,-,700
229,01/08/2024,700,700,700,700,-,700
230,02/08/2024,800,600,700,800,17909,800
231,05/08/2024,700,700,700,700,-,700
