,Date,High,Low,Open,Close,Volume,Adj Close
0,25/05/2022,4000,4000,4000,4000,-,4000
1,26/05/2022,4000,4000,4000,4000,-,4000
2,27/05/2022,4300,3600,3900,3900,341110,3900
3,30/05/2022,3900,3900,3900,3900,-,3900
4,31/05/2022,3900,3900,3900,3900,-,3900
5,01/06/2022,3900,3900,3900,3900,-,3900
6,02/06/2022,3900,3900,3900,3900,-,3900
7,03/06/2022,4000,3700,3900,3700,1583705,3700
8,06/06/2022,3900,3900,3900,3900,-,3900
9,07/06/2022,3900,3900,3900,3900,-,3900
10,08/06/2022,3900,3900,3900,3900,-,3900
11,09/06/2022,3900,3900,3900,3900,-,3900
12,10/06/2022,3900,3400,3900,3600,126122,3600
13,13/06/2022,3600,3600,3600,3600,-,3600
14,14/06/2022,3600,3600,3600,3600,-,3600
15,15/06/2022,3600,3600,3600,3600,-,3600
16,16/06/2022,3600,3600,3600,3600,-,3600
17,17/06/2022,3500,3100,3400,3100,102290,3100
18,20/06/2022,3100,3100,3100,3100,-,3100
19,21/06/2022,3100,3100,3100,3100,-,3100
20,22/06/2022,3100,3100,3100,3100,-,3100
21,23/06/2022,3100,3100,3100,3100,-,3100
22,24/06/2022,3300,2700,3200,3100,222000,3100
23,27/06/2022,2900,2900,2900,2900,-,2900
24,28/06/2022,2900,2900,2900,2900,-,2900
25,29/06/2022,2900,2900,2900,2900,-,2900
26,30/06/2022,2900,2900,2900,2900,-,2900
27,01/07/2022,2900,2500,2900,2700,113290,2700
28,04/07/2022,2600,2600,2600,2600,-,2600
29,05/07/2022,2600,2600,2600,2600,-,2600
30,06/07/2022,2600,2600,2600,2600,-,2600
31,07/07/2022,2600,2600,2600,2600,-,2600
32,08/07/2022,2700,2500,2600,2700,78915,2700
33,11/07/2022,2700,2700,2700,2700,-,2700
34,12/07/2022,2700,2700,2700,2700,-,2700
35,13/07/2022,2700,2700,2700,2700,-,2700
36,14/07/2022,2700,2700,2700,2700,-,2700
37,15/07/2022,3100,2700,2700,3100,398015,3100
38,18/07/2022,2900,2900,2900,2900,-,2900
39,19/07/2022,2900,2900,2900,2900,-,2900
40,20/07/2022,2900,2900,2900,2900,-,2900
41,21/07/2022,2900,2900,2900,2900,-,2900
42,22/07/2022,3300,2800,3100,3300,152518,3300
43,25/07/2022,3100,3100,3100,3100,-,3100
44,26/07/2022,3100,3100,3100,3100,-,3100
45,27/07/2022,3100,3100,3100,3100,-,3100
46,28/07/2022,3100,3100,3100,3100,-,3100
47,29/07/2022,3500,3400,3400,3500,193600,3500
48,01/08/2022,3500,3500,3500,3500,-,3500
49,02/08/2022,3500,3500,3500,3500,-,3500
50,03/08/2022,3500,3500,3500,3500,-,3500
51,04/08/2022,3500,3500,3500,3500,-,3500
52,05/08/2022,4000,3800,3800,4000,193400,4000
53,08/08/2022,3900,3900,3900,3900,-,3900
54,09/08/2022,3900,3900,3900,3900,-,3900
55,10/08/2022,3900,3900,3900,3900,-,3900
56,11/08/2022,3900,3900,3900,3900,-,3900
57,12/08/2022,4400,4200,4200,4400,250700,4400
58,15/08/2022,4400,4400,4400,4400,-,4400
59,16/08/2022,4400,4400,4400,4400,-,4400
60,17/08/2022,4400,4400,4400,4400,-,4400
61,18/08/2022,4400,4400,4400,4400,-,4400
62,19/08/2022,4500,3900,4100,4400,193740,4400
63,22/08/2022,4200,4200,4200,4200,-,4200
64,23/08/2022,4200,4200,4200,4200,-,4200
65,24/08/2022,4200,4200,4200,4200,-,4200
66,25/08/2022,4200,4200,4200,4200,-,4200
67,26/08/2022,4800,4200,4400,4600,183090,4600
68,29/08/2022,4500,4500,4500,4500,-,4500
69,30/08/2022,4500,4500,4500,4500,-,4500
70,31/08/2022,4500,4500,4500,4500,-,4500
71,05/09/2022,4500,4500,4500,4500,-,4500
72,06/09/2022,4500,4500,4500,4500,-,4500
73,07/09/2022,4500,4500,4500,4500,-,4500
74,08/09/2022,4500,4500,4500,4500,-,4500
75,09/09/2022,4500,4100,4400,4400,101100,4400
76,12/09/2022,4300,4300,4300,4300,-,4300
77,13/09/2022,4300,4300,4300,4300,-,4300
78,14/09/2022,4300,4300,4300,4300,-,4300
79,15/09/2022,4300,4300,4300,4300,-,4300
80,16/09/2022,4400,4000,4400,4300,165473,4300
81,19/09/2022,4300,4300,4300,4300,-,4300
82,20/09/2022,4300,4300,4300,4300,-,4300
83,21/09/2022,4300,4300,4300,4300,-,4300
84,22/09/2022,4300,4300,4300,4300,-,4300
85,23/09/2022,4300,3900,4100,4100,99000,4100
86,26/09/2022,4000,4000,4000,4000,-,4000
87,27/09/2022,4000,4000,4000,4000,-,4000
88,28/09/2022,4000,4000,4000,4000,-,4000
89,29/09/2022,4000,4000,4000,4000,-,4000
90,30/09/2022,4000,3400,4000,3800,135320,3800
91,03/10/2022,3400,3400,3400,3400,-,3400
92,04/10/2022,3400,3400,3400,3400,-,3400
93,05/10/2022,3400,3400,3400,3400,-,3400
94,06/10/2022,3400,3400,3400,3400,-,3400
95,07/10/2022,3400,3000,3400,3000,750211,3000
96,10/10/2022,3200,3200,3200,3200,-,3200
97,11/10/2022,3200,3200,3200,3200,-,3200
98,12/10/2022,3200,3200,3200,3200,-,3200
99,13/10/2022,3200,3200,3200,3200,-,3200
100,14/10/2022,3600,2800,3000,3500,60415,3500
101,17/10/2022,3000,3000,3000,3000,-,3000
102,18/10/2022,3000,3000,3000,3000,-,3000
103,19/10/2022,3000,3000,3000,3000,-,3000
104,20/10/2022,3000,3000,3000,3000,-,3000
105,21/10/2022,3200,3000,3000,3100,127315,3100
106,24/10/2022,3100,3100,3100,3100,-,3100
107,25/10/2022,3100,3100,3100,3100,-,3100
108,26/10/2022,3100,3100,3100,3100,-,3100
109,27/10/2022,3100,3100,3100,3100,-,3100
110,28/10/2022,3400,3100,3400,3300,2373235,3300
111,31/10/2022,3200,3200,3200,3200,-,3200
112,01/11/2022,3200,3200,3200,3200,-,3200
113,02/11/2022,3200,3200,3200,3200,-,3200
114,03/11/2022,3200,3200,3200,3200,-,3200
115,04/11/2022,3400,2900,3100,3100,98440,3100
116,07/11/2022,3000,3000,3000,3000,-,3000
117,08/11/2022,3000,3000,3000,3000,-,3000
118,09/11/2022,3000,3000,3000,3000,-,3000
119,10/11/2022,3000,3000,3000,3000,-,3000
120,11/11/2022,2900,2600,2800,2600,61610,2600
121,14/11/2022,2700,2700,2700,2700,-,2700
122,15/11/2022,2700,2700,2700,2700,-,2700
123,16/11/2022,2700,2700,2700,2700,-,2700
124,17/11/2022,2700,2700,2700,2700,-,2700
125,18/11/2022,3000,2300,2800,2700,128620,2700
126,21/11/2022,2600,2600,2600,2600,-,2600
127,22/11/2022,2600,2600,2600,2600,-,2600
128,23/11/2022,2600,2600,2600,2600,-,2600
129,24/11/2022,2600,2600,2600,2600,-,2600
130,25/11/2022,2500,2300,2400,2500,190382,2500
131,28/11/2022,2400,2400,2400,2400,-,2400
132,29/11/2022,2400,2400,2400,2400,-,2400
133,30/11/2022,2400,2400,2400,2400,-,2400
134,01/12/2022,2400,2400,2400,2400,-,2400
135,02/12/2022,2700,2300,2300,2700,395145,2700
136,05/12/2022,2600,2600,2600,2600,-,2600
