,Date,High,Low,Open,Close,Volume,Adj Close
0,19/05/2022,10500,10500,10500,10500,-,10500
1,20/05/2022,10500,10500,10500,10500,-,10500
2,23/05/2022,10500,10500,10500,10500,-,10500
3,24/05/2022,10500,10500,10500,10500,-,10500
4,25/05/2022,10500,10500,10500,10500,-,10500
5,26/05/2022,10500,10500,10500,10500,-,10500
6,27/05/2022,10500,10500,10500,10500,-,10500
7,30/05/2022,10500,10500,10500,10500,-,10500
8,31/05/2022,10500,10500,10500,10500,-,10500
9,01/06/2022,10500,10500,10500,10500,-,10500
10,02/06/2022,10500,10500,10500,10500,-,10500
11,03/06/2022,10500,10500,10500,10500,-,10500
12,06/06/2022,10500,10500,10500,10500,-,10500
13,07/06/2022,10500,10500,10500,10500,-,10500
14,08/06/2022,10500,10500,10500,10500,-,10500
15,09/06/2022,10500,10500,10500,10500,-,10500
16,10/06/2022,10500,10500,10500,10500,-,10500
17,13/06/2022,10500,10500,10500,10500,-,10500
18,14/06/2022,10500,10500,10500,10500,-,10500
19,15/06/2022,10500,10500,10500,10500,-,10500
20,16/06/2022,10500,10500,10500,10500,-,10500
21,17/06/2022,10500,10500,10500,10500,-,10500
22,20/06/2022,10500,10500,10500,10500,-,10500
23,21/06/2022,10500,10500,10500,10500,-,10500
24,22/06/2022,10500,10500,10500,10500,-,10500
25,23/06/2022,10500,10500,10500,10500,-,10500
26,24/06/2022,10500,10500,10500,10500,-,10500
27,27/06/2022,10500,10500,10500,10500,-,10500
28,28/06/2022,10500,10500,10500,10500,-,10500
29,29/06/2022,10500,10500,10500,10500,-,10500
30,30/06/2022,10500,10500,10500,10500,-,10500
31,01/07/2022,10500,10500,10500,10500,-,10500
32,04/07/2022,10500,10500,10500,10500,-,10500
33,05/07/2022,10500,10500,10500,10500,-,10500
34,06/07/2022,10500,10500,10500,10500,-,10500
35,07/07/2022,10500,10500,10500,10500,-,10500
36,08/07/2022,10500,10500,10500,10500,-,10500
37,11/07/2022,10500,10500,10500,10500,-,10500
38,12/07/2022,10500,10500,10500,10500,-,10500
39,13/07/2022,10500,10500,10500,10500,-,10500
40,14/07/2022,10500,10500,10500,10500,-,10500
41,15/07/2022,10500,10500,10500,10500,-,10500
42,18/07/2022,10500,10500,10500,10500,-,10500
43,19/07/2022,10500,10500,10500,10500,-,10500
44,20/07/2022,10500,10500,10500,10500,-,10500
45,21/07/2022,10500,10500,10500,10500,-,10500
46,22/07/2022,10500,10500,10500,10500,-,10500
47,25/07/2022,10500,10500,10500,10500,-,10500
48,26/07/2022,10500,10500,10500,10500,-,10500
49,27/07/2022,10500,10500,10500,10500,-,10500
50,28/07/2022,10500,10500,10500,10500,-,10500
51,29/07/2022,10500,10500,10500,10500,-,10500
52,01/08/2022,10500,10500,10500,10500,-,10500
53,02/08/2022,10500,10500,10500,10500,-,10500
54,03/08/2022,10500,10500,10500,10500,-,10500
55,04/08/2022,10500,10500,10500,10500,-,10500
56,05/08/2022,10500,10500,10500,10500,-,10500
57,08/08/2022,10500,10500,10500,10500,-,10500
58,09/08/2022,10500,10500,10500,10500,-,10500
59,10/08/2022,10500,10500,10500,10500,-,10500
60,11/08/2022,10500,10500,10500,10500,-,10500
61,12/08/2022,10500,10500,10500,10500,-,10500
62,15/08/2022,10500,10500,10500,10500,-,10500
63,16/08/2022,10500,10500,10500,10500,-,10500
64,17/08/2022,10500,10500,10500,10500,-,10500
65,18/08/2022,10500,10500,10500,10500,-,10500
66,19/08/2022,10500,10500,10500,10500,-,10500
67,22/08/2022,10500,10500,10500,10500,-,10500
