,Date,High,Low,Open,Close,Volume,Adj Close
0,26/04/2022,38000,35100,35100,38000,400,35000
1,27/04/2022,35900,35900,35900,35900,200,33000
2,28/04/2022,40500,39000,40500,39000,4500,35900
3,29/04/2022,39000,39000,39000,39000,-,35900
4,04/05/2022,37000,37000,37000,37000,1100,34000
5,05/05/2022,37000,37000,37000,37000,2600,34000
6,06/05/2022,36500,36500,36500,36500,1000,33600
7,09/05/2022,36500,36500,36500,36500,-,33600
8,10/05/2022,36500,36500,36500,36500,-,33600
9,11/05/2022,36500,36500,36500,36500,-,33600
10,12/05/2022,37000,36000,36900,36000,3100,33100
11,13/05/2022,36000,36000,36000,36000,7400,33100
12,16/05/2022,36000,36000,36000,36000,-,33100
13,17/05/2022,36000,36000,36000,36000,-,33100
14,18/05/2022,35000,35000,35000,35000,400,32200
15,19/05/2022,35000,35000,35000,35000,700,32200
16,20/05/2022,35100,35100,35100,35100,700,32300
17,23/05/2022,34500,34500,34500,34500,900,31700
18,24/05/2022,34500,34500,34500,34500,-,31700
19,25/05/2022,34500,34500,34500,34500,-,31700
20,26/05/2022,35000,35000,35000,35000,1600,32200
21,27/05/2022,35000,35000,35000,35000,-,32200
22,30/05/2022,35500,35100,35100,35500,300,32700
23,31/05/2022,35300,35300,35300,35300,-,32500
24,01/06/2022,37000,37000,37000,37000,100,34000
25,02/06/2022,37000,37000,37000,37000,-,34000
26,03/06/2022,37000,37000,37000,37000,-,34000
27,06/06/2022,37000,35000,35000,37000,200,34000
28,07/06/2022,36000,36000,36000,36000,-,33100
29,08/06/2022,36000,36000,36000,36000,-,33100
30,09/06/2022,36000,36000,36000,36000,300,33100
31,10/06/2022,36000,36000,36000,36000,-,33100
32,13/06/2022,36000,36000,36000,36000,-,33100
33,14/06/2022,36000,36000,36000,36000,-,33100
34,15/06/2022,36000,36000,36000,36000,-,33100
35,16/06/2022,36000,36000,36000,36000,-,33100
36,17/06/2022,35600,35400,35600,35400,2200,32600
37,20/06/2022,35600,35600,35600,35600,-,32800
38,21/06/2022,36000,31000,34100,36000,1700,33100
39,22/06/2022,33100,33100,33100,33100,-,30500
40,23/06/2022,33100,33100,33100,33100,-,30500
41,24/06/2022,33100,33100,33100,33100,-,30500
42,27/06/2022,37000,37000,37000,37000,100,34000
43,28/06/2022,36900,36900,36900,36900,200,33900
44,29/06/2022,36000,33000,33000,35000,3800,32200
45,30/06/2022,36000,33500,36000,34000,3800,31300
46,01/07/2022,33500,32000,32000,32000,1400,29400
47,04/07/2022,36000,36000,36000,36000,100,33100
48,05/07/2022,36000,36000,36000,36000,600,33100
49,06/07/2022,37000,36000,36000,37000,9000,34000
50,07/07/2022,36300,36300,36300,36300,200,33400
51,08/07/2022,37200,37200,37200,37200,300,34200
52,11/07/2022,37200,37100,37200,37200,1000,34200
53,12/07/2022,38000,37200,37200,37900,2700,34900
54,13/07/2022,37500,37500,37500,37500,-,34500
55,14/07/2022,37500,37500,37500,37500,500,34500
56,15/07/2022,37500,37500,37500,37500,-,34500
57,18/07/2022,39900,38900,38900,39000,4600,35900
58,19/07/2022,39100,39100,39100,39100,1100,36000
59,20/07/2022,39100,39000,39000,39100,1500,36000
60,21/07/2022,39100,39100,39100,39100,-,36000
61,22/07/2022,39100,39100,39100,39100,100,36000
62,25/07/2022,39100,39100,39100,39100,-,36000
63,26/07/2022,39100,39100,39100,39100,-,36000
64,27/07/2022,39000,39000,39000,39000,100,35900
65,28/07/2022,39400,36000,39400,39000,300,35900
66,29/07/2022,38100,38100,38100,38100,-,35100
67,01/08/2022,38200,38100,38100,38200,600,35100
68,02/08/2022,38200,38200,38200,38200,2300,35100
69,03/08/2022,38200,38200,38200,38200,600,35100
70,04/08/2022,38200,38200,38200,38200,100,35100
71,05/08/2022,38200,38200,38200,38200,-,35100
72,08/08/2022,39900,39900,39900,39900,900,36700
73,09/08/2022,39900,39900,39900,39900,-,36700
74,10/08/2022,39900,39900,39900,39900,-,36700
75,11/08/2022,39800,39800,39800,39800,200,36600
76,12/08/2022,39800,39800,39800,39800,-,36600
77,15/08/2022,39800,39800,39800,39800,300,36600
78,16/08/2022,39500,39500,39500,39500,200,36300
79,17/08/2022,39500,39400,39500,39400,200,36200
80,18/08/2022,39500,39500,39500,39500,-,36300
81,19/08/2022,39500,39500,39500,39500,100,36300
82,22/08/2022,39500,39500,39500,39500,-,36300
83,23/08/2022,39500,39500,39500,39500,-,36300
84,24/08/2022,39500,39500,39500,39500,-,36300
85,25/08/2022,39400,39400,39400,39400,200,36200
86,26/08/2022,39400,39400,39400,39400,-,36200
87,29/08/2022,39400,39400,39400,39400,-,36200
88,30/08/2022,39400,39400,39400,39400,-,36200
89,31/08/2022,39500,38200,38200,39500,1800,36300
90,05/09/2022,39100,39100,39100,39100,-,36000
91,06/09/2022,39100,39100,39100,39100,-,36000
92,07/09/2022,39000,39000,39000,39000,1000,35900
93,08/09/2022,39400,39400,39400,39400,100,36200
94,09/09/2022,39400,39100,39100,39400,1600,36200
95,12/09/2022,39200,39100,39200,39100,300,36000
96,13/09/2022,39700,39300,39300,39700,1400,36500
97,14/09/2022,39600,39600,39600,39600,100,36400
98,15/09/2022,40000,39700,40000,39700,2600,36500
99,16/09/2022,39500,38000,39500,38000,2700,35000
100,19/09/2022,39200,39000,39000,39200,2022,36100
101,20/09/2022,39100,39100,39100,39100,-,36000
102,21/09/2022,39100,39100,39100,39100,-,36000
103,22/09/2022,40800,40800,40800,40800,100,37500
104,23/09/2022,40800,40800,40800,40800,-,37500
105,26/09/2022,40800,40800,40800,40800,-,37500
106,27/09/2022,40800,40800,40800,40800,-,37500
107,28/09/2022,40800,40800,40800,40800,300,37500
108,29/09/2022,40900,39500,40800,39500,1100,36300
109,30/09/2022,40800,40000,40800,40000,200,36800
110,03/10/2022,40400,40400,40400,40400,-,37200
111,04/10/2022,40400,40400,40400,40400,-,37200
112,05/10/2022,40400,40400,40400,40400,-,37200
113,06/10/2022,40400,40400,40400,40400,-,37200
114,07/10/2022,40400,40400,40400,40000,53,37200
115,10/10/2022,40400,40400,40400,40000,1,37200
116,11/10/2022,40400,40400,40400,40000,3,37200
117,12/10/2022,40700,40700,40700,40700,2200,37400
118,13/10/2022,40700,40700,40700,40700,-,37400
119,14/10/2022,41900,40800,40900,40800,1100,37500
120,17/10/2022,41100,41100,41100,41100,100,37800
121,18/10/2022,41100,41100,41100,41100,3000,37800
122,19/10/2022,45000,42500,44800,42500,9300,39100
123,20/10/2022,44500,44500,44500,44500,-,40900
124,21/10/2022,42500,41400,42500,41400,500,38100
125,24/10/2022,42500,42300,42300,42500,500,39100
126,25/10/2022,44300,44300,44300,44300,400,40800
127,26/10/2022,41300,41300,41300,41300,200,40800
128,27/10/2022,41200,41200,41200,41200,300,40700
129,28/10/2022,42500,40000,40000,42000,500,41400
130,31/10/2022,41400,40000,41400,40000,400,39500
131,01/11/2022,40000,40000,40000,40000,300,39500
132,02/11/2022,40000,40000,40000,40000,-,39500
133,03/11/2022,40000,40000,40000,40000,-,39500
134,04/11/2022,40000,40000,40000,40000,-,39500
135,07/11/2022,39500,39000,39000,39500,1700,39000
136,08/11/2022,39100,39100,39100,39100,300,38600
137,09/11/2022,39100,39100,39100,39100,-,38600
138,10/11/2022,37500,37500,37500,37500,300,37000
139,11/11/2022,38800,38800,38800,38800,100,38300
