,Date,High,Low,Open,Close,Volume,Adj Close
0,24/01/2022,1800,1800,1800,1800,-,1800
1,25/01/2022,1800,1800,1800,1800,-,1800
2,26/01/2022,1800,1800,1800,1800,-,1800
3,27/01/2022,1800,1800,1800,1800,-,1800
4,28/01/2022,1700,1600,1700,1700,3342250,1700
5,07/02/2022,1600,1600,1600,1600,-,1600
6,08/02/2022,1600,1600,1600,1600,-,1600
7,09/02/2022,1600,1600,1600,1600,-,1600
8,10/02/2022,1600,1600,1600,1600,-,1600
9,11/02/2022,1800,1600,1600,1800,2371256,1800
10,14/02/2022,1700,1700,1700,1700,-,1700
11,15/02/2022,1700,1700,1700,1700,-,1700
12,16/02/2022,1700,1700,1700,1700,-,1700
13,17/02/2022,1700,1700,1700,1700,-,1700
14,18/02/2022,1900,1700,1700,1900,3647331,1900
15,21/02/2022,1900,1900,1900,1900,-,1900
16,22/02/2022,1900,1900,1900,1900,-,1900
17,23/02/2022,1900,1900,1900,1900,-,1900
18,24/02/2022,1900,1900,1900,1900,-,1900
19,25/02/2022,2100,1800,2000,1900,2758908,1900
20,28/02/2022,1900,1900,1900,1900,-,1900
21,01/03/2022,1900,1900,1900,1900,-,1900
22,02/03/2022,1900,1900,1900,1900,-,1900
23,03/03/2022,1900,1900,1900,1900,-,1900
24,04/03/2022,2000,1700,2000,1900,3291230,1900
25,07/03/2022,1800,1800,1800,1800,-,1800
26,08/03/2022,1800,1800,1800,1800,-,1800
27,09/03/2022,1800,1800,1800,1800,-,1800
28,10/03/2022,1800,1800,1800,1800,-,1800
29,11/03/2022,1900,1700,1900,1700,2777537,1700
30,14/03/2022,1800,1800,1800,1800,-,1800
31,15/03/2022,1800,1800,1800,1800,-,1800
32,16/03/2022,1800,1800,1800,1800,-,1800
33,17/03/2022,1800,1800,1800,1800,-,1800
34,18/03/2022,1800,1700,1700,1800,2171200,1800
35,21/03/2022,1700,1700,1700,1700,-,1700
36,22/03/2022,1700,1700,1700,1700,-,1700
37,23/03/2022,1700,1700,1700,1700,-,1700
38,24/03/2022,1700,1700,1700,1700,-,1700
39,25/03/2022,1800,1700,1700,1800,1525839,1800
40,28/03/2022,1700,1700,1700,1700,-,1700
41,29/03/2022,1700,1700,1700,1700,-,1700
42,30/03/2022,1700,1700,1700,1700,-,1700
43,31/03/2022,1700,1700,1700,1700,-,1700
44,01/04/2022,1800,1500,1700,1600,1917250,1600
45,04/04/2022,1600,1600,1600,1600,-,1600
46,05/04/2022,1600,1600,1600,1600,-,1600
47,06/04/2022,1600,1600,1600,1600,-,1600
48,07/04/2022,1600,1600,1600,1600,-,1600
49,08/04/2022,1600,1400,1600,1500,1518811,1500
50,12/04/2022,1400,1400,1400,1400,-,1400
51,13/04/2022,1400,1400,1400,1400,-,1400
52,14/04/2022,1400,1400,1400,1400,-,1400
53,15/04/2022,1400,1200,1400,1200,3758720,1200
54,18/04/2022,1200,1200,1200,1200,-,1200
55,19/04/2022,1200,1200,1200,1200,-,1200
56,20/04/2022,1200,1200,1200,1200,-,1200
57,21/04/2022,1200,1200,1200,1200,-,1200
58,22/04/2022,1100,1100,1100,1100,729800,1100
59,25/04/2022,1100,1100,1100,1100,-,1100
60,26/04/2022,1100,1100,1100,1100,-,1100
61,27/04/2022,1100,1100,1100,1100,-,1100
62,28/04/2022,1100,1100,1100,1100,-,1100
63,29/04/2022,1200,1000,1000,1200,1975284,1200
64,04/05/2022,1100,1100,1100,1100,-,1100
65,05/05/2022,1100,1100,1100,1100,-,1100
66,06/05/2022,1200,1100,1200,1200,1756388,1200
67,09/05/2022,1200,1200,1200,1200,-,1200
68,10/05/2022,1200,1200,1200,1200,-,1200
69,11/05/2022,1200,1200,1200,1200,-,1200
70,12/05/2022,1200,1200,1200,1200,-,1200
71,13/05/2022,1200,1100,1200,1100,2449408,1100
72,16/05/2022,1100,1100,1100,1100,-,1100
73,17/05/2022,1100,1100,1100,1100,-,1100
74,18/05/2022,1100,1100,1100,1100,-,1100
75,19/05/2022,1100,1100,1100,1100,-,1100
76,20/05/2022,1200,1100,1200,1200,1027497,1200
77,23/05/2022,1100,1100,1100,1100,-,1100
78,24/05/2022,1100,1100,1100,1100,-,1100
79,25/05/2022,1100,1100,1100,1100,-,1100
80,26/05/2022,1100,1100,1100,1100,-,1100
81,27/05/2022,1200,1100,1200,1100,1159870,1100
82,30/05/2022,1100,1100,1100,1100,-,1100
83,31/05/2022,1100,1100,1100,1100,-,1100
84,01/06/2022,1100,1100,1100,1100,-,1100
85,02/06/2022,1100,1100,1100,1100,-,1100
86,03/06/2022,1200,1000,1100,1100,1476315,1100
87,06/06/2022,1100,1100,1100,1100,-,1100
88,07/06/2022,1100,1100,1100,1100,-,1100
89,08/06/2022,1100,1100,1100,1100,-,1100
90,09/06/2022,1100,1100,1100,1100,-,1100
91,10/06/2022,1100,1000,1100,1100,1500535,1100
92,13/06/2022,1000,1000,1000,1000,-,1000
93,14/06/2022,1000,1000,1000,1000,-,1000
94,15/06/2022,1000,1000,1000,1000,-,1000
95,16/06/2022,1000,1000,1000,1000,-,1000
96,17/06/2022,1000,900,900,900,1206500,900
97,20/06/2022,900,900,900,900,-,900
98,21/06/2022,900,900,900,900,-,900
99,22/06/2022,900,900,900,900,-,900
100,23/06/2022,900,900,900,900,-,900
101,24/06/2022,1000,800,900,900,982057,900
102,27/06/2022,900,900,900,900,-,900
103,28/06/2022,900,900,900,900,-,900
104,29/06/2022,900,900,900,900,-,900
105,30/06/2022,900,900,900,900,-,900
106,01/07/2022,900,800,900,900,668606,900
107,04/07/2022,800,800,800,800,-,800
108,05/07/2022,800,800,800,800,-,800
109,06/07/2022,800,800,800,800,-,800
110,07/07/2022,800,800,800,800,-,800
111,08/07/2022,800,700,800,700,631149,700
112,11/07/2022,700,700,700,700,-,700
113,12/07/2022,700,700,700,700,-,700
114,13/07/2022,700,700,700,700,-,700
115,14/07/2022,700,700,700,700,-,700
116,15/07/2022,800,700,700,800,787490,800
117,18/07/2022,800,800,800,800,-,800
118,19/07/2022,800,800,800,800,-,800
119,20/07/2022,800,800,800,800,-,800
120,21/07/2022,800,800,800,800,-,800
121,22/07/2022,900,800,800,900,363225,900
122,25/07/2022,900,900,900,900,-,900
123,26/07/2022,900,900,900,900,-,900
124,27/07/2022,900,900,900,900,-,900
125,28/07/2022,900,900,900,900,-,900
126,29/07/2022,1000,1000,1000,1000,374100,1000
127,01/08/2022,1000,1000,1000,1000,-,1000
128,02/08/2022,1000,1000,1000,1000,-,1000
129,03/08/2022,1000,1000,1000,1000,-,1000
130,04/08/2022,1000,1000,1000,1000,-,1000
131,05/08/2022,1100,1100,1100,1100,664900,1100
132,08/08/2022,1100,1100,1100,1100,-,1100
133,09/08/2022,1100,1100,1100,1100,-,1100
134,10/08/2022,1100,1100,1100,1100,-,1100
135,11/08/2022,1100,1100,1100,1100,-,1100
136,12/08/2022,1200,1200,1200,1200,825620,1200
137,15/08/2022,1200,1200,1200,1200,-,1200
138,16/08/2022,1200,1200,1200,1200,-,1200
139,17/08/2022,1200,1200,1200,1200,-,1200
140,18/08/2022,1200,1200,1200,1200,-,1200
141,19/08/2022,1300,1100,1300,1100,2228918,1100
142,22/08/2022,1200,1200,1200,1200,-,1200
143,23/08/2022,1200,1200,1200,1200,-,1200
144,24/08/2022,1200,1200,1200,1200,-,1200
145,25/08/2022,1200,1200,1200,1200,-,1200
146,26/08/2022,1200,1100,1100,1100,1035104,1100
147,29/08/2022,1100,1100,1100,1100,-,1100
148,30/08/2022,1100,1100,1100,1100,-,1100
149,31/08/2022,1100,1100,1100,1100,-,1100
150,05/09/2022,1100,1100,1100,1100,-,1100
151,06/09/2022,1100,1100,1100,1100,-,1100
152,07/09/2022,1100,1100,1100,1100,-,1100
153,08/09/2022,1100,1100,1100,1100,-,1100
154,09/09/2022,1100,1000,1000,1000,628900,1000
155,12/09/2022,1000,1000,1000,1000,-,1000
156,13/09/2022,1000,1000,1000,1000,-,1000
157,14/09/2022,1000,1000,1000,1000,-,1000
158,15/09/2022,1000,1000,1000,1000,-,1000
159,16/09/2022,1000,900,1000,1000,585557,1000
160,19/09/2022,900,900,900,900,-,900
161,20/09/2022,900,900,900,900,-,900
162,21/09/2022,900,900,900,900,-,900
163,22/09/2022,900,900,900,900,-,900
164,23/09/2022,1000,900,900,1000,375678,1000
165,26/09/2022,1000,1000,1000,1000,-,1000
166,27/09/2022,1000,1000,1000,1000,-,1000
167,28/09/2022,1000,1000,1000,1000,-,1000
168,29/09/2022,1000,1000,1000,1000,-,1000
169,30/09/2022,1000,900,1000,1000,443720,1000
170,03/10/2022,900,900,900,900,-,900
171,04/10/2022,900,900,900,900,-,900
172,05/10/2022,900,900,900,900,-,900
173,06/10/2022,900,900,900,900,-,900
174,07/10/2022,900,800,900,800,275650,800
175,10/10/2022,800,800,800,800,-,800
176,11/10/2022,800,800,800,800,-,800
177,12/10/2022,800,800,800,800,-,800
178,13/10/2022,800,800,800,800,-,800
179,14/10/2022,900,800,800,900,788004,900
180,17/10/2022,800,800,800,800,-,800
181,18/10/2022,800,800,800,800,-,800
182,19/10/2022,800,800,800,800,-,800
183,20/10/2022,800,800,800,800,-,800
184,21/10/2022,800,700,800,800,490254,800
185,24/10/2022,700,700,700,700,-,700
186,25/10/2022,700,700,700,700,-,700
187,26/10/2022,700,700,700,700,-,700
188,27/10/2022,700,700,700,700,-,700
189,28/10/2022,800,700,700,800,377443,800
190,31/10/2022,700,700,700,700,-,700
191,01/11/2022,700,700,700,700,-,700
192,02/11/2022,700,700,700,700,-,700
193,03/11/2022,700,700,700,700,-,700
194,04/11/2022,700,600,600,600,455405,600
195,07/11/2022,600,600,600,600,-,600
196,08/11/2022,600,600,600,600,-,600
197,09/11/2022,600,600,600,600,-,600
198,10/11/2022,600,600,600,600,-,600
199,11/11/2022,600,500,600,500,644924,500
200,14/11/2022,500,500,500,500,-,500
201,15/11/2022,500,500,500,500,-,500
202,16/11/2022,500,500,500,500,-,500
203,17/11/2022,500,500,500,500,-,500
204,18/11/2022,600,500,500,600,666708,600
205,21/11/2022,600,600,600,600,-,600
206,22/11/2022,600,600,600,600,-,600
207,23/11/2022,600,600,600,600,-,600
208,24/11/2022,600,600,600,600,-,600
209,25/11/2022,700,600,700,700,728546,700
210,28/11/2022,700,700,700,700,-,700
211,29/11/2022,700,700,700,700,-,700
212,30/11/2022,700,700,700,700,-,700
213,01/12/2022,700,700,700,700,-,700
214,02/12/2022,800,700,700,800,1341000,800
215,05/12/2022,800,800,800,800,-,800
216,06/12/2022,800,800,800,800,-,800
217,07/12/2022,800,800,800,800,-,800
218,08/12/2022,800,800,800,800,-,800
219,09/12/2022,900,700,800,800,882220,800
220,12/12/2022,800,800,800,800,-,800
221,13/12/2022,800,800,800,800,-,800
222,14/12/2022,800,800,800,800,-,800
223,15/12/2022,800,800,800,800,-,800
224,16/12/2022,800,700,800,800,507130,800
225,19/12/2022,700,700,700,700,-,700
226,20/12/2022,700,700,700,700,-,700
227,21/12/2022,700,700,700,700,-,700
228,22/12/2022,700,700,700,700,-,700
