,Date,High,Low,Open,Close,Volume,Adj Close
0,17/03/2022,1900,1900,1900,1900,-,1900
1,18/03/2022,2000,1800,2000,1800,138350,1800
2,21/03/2022,1800,1800,1800,1800,-,1800
3,22/03/2022,1800,1800,1800,1800,-,1800
4,23/03/2022,1800,1800,1800,1800,-,1800
5,24/03/2022,1800,1800,1800,1800,-,1800
6,25/03/2022,2000,1700,1800,2000,388054,2000
7,28/03/2022,1900,1900,1900,1900,-,1900
8,29/03/2022,1900,1900,1900,1900,-,1900
9,30/03/2022,1900,1900,1900,1900,-,1900
10,31/03/2022,1900,1900,1900,1900,-,1900
11,01/04/2022,1900,1800,1900,1900,216338,1900
12,04/04/2022,1800,1800,1800,1800,-,1800
13,05/04/2022,1800,1800,1800,1800,-,1800
14,06/04/2022,1800,1800,1800,1800,-,1800
15,07/04/2022,1800,1800,1800,1800,-,1800
16,08/04/2022,1900,1700,1900,1800,202660,1800
17,12/04/2022,1800,1800,1800,1800,-,1800
18,13/04/2022,1800,1800,1800,1800,-,1800
19,14/04/2022,1800,1800,1800,1800,-,1800
20,15/04/2022,1900,1700,1700,1800,133138,1800
21,18/04/2022,1800,1800,1800,1800,-,1800
22,19/04/2022,1800,1800,1800,1800,-,1800
23,20/04/2022,1800,1800,1800,1800,-,1800
24,21/04/2022,1800,1800,1800,1800,-,1800
25,22/04/2022,1700,1600,1700,1600,65818,1600
26,25/04/2022,1600,1600,1600,1600,-,1600
27,26/04/2022,1600,1600,1600,1600,-,1600
28,27/04/2022,1600,1600,1600,1600,-,1600
29,28/04/2022,1600,1600,1600,1600,-,1600
30,29/04/2022,1800,1600,1700,1800,129244,1800
31,04/05/2022,1600,1600,1600,1600,-,1600
32,05/05/2022,1600,1600,1600,1600,-,1600
33,06/05/2022,1700,1500,1600,1500,48000,1500
34,09/05/2022,1600,1600,1600,1600,-,1600
35,10/05/2022,1600,1600,1600,1600,-,1600
36,11/05/2022,1600,1600,1600,1600,-,1600
37,12/05/2022,1600,1600,1600,1600,-,1600
38,13/05/2022,1500,1400,1500,1400,67600,1400
39,16/05/2022,1400,1400,1400,1400,-,1400
40,17/05/2022,1400,1400,1400,1400,-,1400
41,18/05/2022,1400,1400,1400,1400,-,1400
42,19/05/2022,1400,1400,1400,1400,-,1400
43,20/05/2022,1500,1300,1300,1400,33900,1400
44,23/05/2022,1400,1400,1400,1400,-,1400
45,24/05/2022,1400,1400,1400,1400,-,1400
46,25/05/2022,1400,1400,1400,1400,-,1400
47,26/05/2022,1400,1400,1400,1400,-,1400
48,27/05/2022,1500,1200,1400,1400,16000,1400
49,30/05/2022,1300,1300,1300,1300,-,1300
50,31/05/2022,1300,1300,1300,1300,-,1300
51,01/06/2022,1300,1300,1300,1300,-,1300
52,02/06/2022,1300,1300,1300,1300,-,1300
53,03/06/2022,1400,1300,1400,1400,23809,1400
54,06/06/2022,1400,1400,1400,1400,-,1400
55,07/06/2022,1400,1400,1400,1400,-,1400
56,08/06/2022,1400,1400,1400,1400,-,1400
57,09/06/2022,1400,1400,1400,1400,-,1400
58,10/06/2022,1500,1300,1300,1400,18005,1400
59,13/06/2022,1400,1400,1400,1400,-,1400
60,14/06/2022,1400,1400,1400,1400,-,1400
61,15/06/2022,1400,1400,1400,1400,-,1400
62,16/06/2022,1400,1400,1400,1400,-,1400
63,17/06/2022,1300,1200,1300,1200,33900,1200
64,20/06/2022,1200,1200,1200,1200,-,1200
65,21/06/2022,1200,1200,1200,1200,-,1200
66,22/06/2022,1200,1200,1200,1200,-,1200
67,23/06/2022,1200,1200,1200,1200,-,1200
68,24/06/2022,1200,1100,1200,1100,57505,1100
69,27/06/2022,1100,1100,1100,1100,-,1100
70,28/06/2022,1100,1100,1100,1100,-,1100
71,29/06/2022,1100,1100,1100,1100,-,1100
72,30/06/2022,1100,1100,1100,1100,-,1100
73,01/07/2022,1200,1000,1200,1000,174100,1000
74,04/07/2022,1000,1000,1000,1000,-,1000
75,05/07/2022,1000,1000,1000,1000,-,1000
76,06/07/2022,1000,1000,1000,1000,-,1000
77,07/07/2022,1000,1000,1000,1000,-,1000
78,08/07/2022,1000,900,1000,900,186900,900
79,11/07/2022,900,900,900,900,-,900
80,12/07/2022,900,900,900,900,-,900
81,13/07/2022,900,900,900,900,-,900
82,14/07/2022,900,900,900,900,-,900
83,15/07/2022,1000,800,900,900,202817,900
84,18/07/2022,800,800,800,800,-,800
85,19/07/2022,800,800,800,800,-,800
86,20/07/2022,800,800,800,800,-,800
87,21/07/2022,800,800,800,800,-,800
88,22/07/2022,900,800,800,900,128317,900
89,25/07/2022,900,900,900,900,-,900
90,26/07/2022,900,900,900,900,-,900
91,27/07/2022,900,900,900,900,-,900
92,28/07/2022,900,900,900,900,-,900
93,29/07/2022,1000,1000,1000,1000,292600,1000
94,01/08/2022,1000,1000,1000,1000,-,1000
95,02/08/2022,1000,1000,1000,1000,-,1000
96,03/08/2022,1000,1000,1000,1000,-,1000
97,04/08/2022,1000,1000,1000,1000,-,1000
98,05/08/2022,1100,1000,1100,1100,90600,1100
99,08/08/2022,1100,1100,1100,1100,-,1100
100,09/08/2022,1100,1100,1100,1100,-,1100
101,10/08/2022,1100,1100,1100,1100,-,1100
102,11/08/2022,1100,1100,1100,1100,-,1100
103,12/08/2022,1200,1200,1200,1200,187052,1200
104,15/08/2022,1200,1200,1200,1200,-,1200
105,16/08/2022,1200,1200,1200,1200,-,1200
106,17/08/2022,1200,1200,1200,1200,-,1200
107,18/08/2022,1200,1200,1200,1200,-,1200
108,19/08/2022,1300,1200,1200,1300,176800,1300
109,22/08/2022,1300,1300,1300,1300,-,1300
