,Date,High,Low,Open,Close,Volume,Adj Close
0,18/01/2022,10300,10300,10300,10300,600,10300
1,19/01/2022,11000,10500,11000,10500,1500,10500
2,20/01/2022,10600,10600,10600,10600,-,10600
3,21/01/2022,11100,11000,11000,11100,5300,11100
4,24/01/2022,11000,11000,11000,11000,1800,11000
5,25/01/2022,9900,9900,9900,9900,1000,9900
6,26/01/2022,10000,10000,10000,10000,100,10000
7,27/01/2022,10800,10100,10100,10800,4400,10800
8,28/01/2022,10900,10500,10500,10900,2300,10900
9,07/02/2022,11000,10900,10900,11000,2000,11000
10,08/02/2022,11100,10000,10500,11100,4400,11100
11,09/02/2022,11000,11000,11000,11000,1000,11000
12,10/02/2022,10900,10900,10900,10900,2300,10900
13,11/02/2022,11400,11300,11400,11300,200,11300
14,14/02/2022,10000,10000,10000,10000,100,10000
15,15/02/2022,11400,10200,11400,10200,300,10200
16,16/02/2022,11000,10200,10200,10500,300,10500
17,17/02/2022,11500,11000,11500,11000,1700,11000
18,18/02/2022,11100,11100,11100,11100,-,11100
19,21/02/2022,11000,10500,11000,10500,1800,10500
20,22/02/2022,10500,10500,10500,10500,1300,10500
21,23/02/2022,10500,10500,10500,10500,400,10500
22,24/02/2022,10000,10000,10000,10000,200,10000
23,25/02/2022,10200,10200,10200,10200,5100,10200
24,28/02/2022,10500,10500,10500,10500,3000,10500
25,01/03/2022,10500,10500,10500,10500,1700,10500
26,02/03/2022,10500,9000,9000,10500,500,10500
27,03/03/2022,10200,10200,10200,10200,600,10200
28,04/03/2022,10500,10200,10200,10500,3200,10500
29,07/03/2022,10900,10600,10900,10800,2900,10800
30,08/03/2022,11200,10800,10800,11200,6800,11200
31,09/03/2022,10000,10000,10000,10000,400,10000
32,10/03/2022,10500,10200,10200,10500,600,10500
33,11/03/2022,10600,10500,10500,10600,800,10600
34,14/03/2022,10900,10600,10600,10800,800,10800
35,15/03/2022,10800,10800,10800,10800,-,10800
36,16/03/2022,11100,10800,10800,11100,1500,11100
37,17/03/2022,11500,11000,11500,11500,3200,11500
38,18/03/2022,10500,10500,10500,10500,200,10500
39,21/03/2022,10500,10500,10500,10500,100,10500
40,22/03/2022,10500,10500,10500,10500,-,10500
41,23/03/2022,10500,10500,10500,10500,900,10500
42,24/03/2022,10500,10500,10500,10500,100,10500
43,25/03/2022,10500,10500,10500,10500,330,10500
44,28/03/2022,10500,10500,10500,10500,100,10500
45,29/03/2022,10500,10500,10500,10500,400,10500
46,30/03/2022,10900,10900,10900,10900,600,10900
47,31/03/2022,10900,10900,10900,10900,1000,10900
48,01/04/2022,12000,10500,12000,10500,1600,10500
49,04/04/2022,11600,11600,11600,11600,200,11600
50,05/04/2022,10500,10500,10500,10500,100,10500
51,06/04/2022,10500,10500,10500,10500,200,10500
52,07/04/2022,10500,10500,10500,10500,-,10500
53,08/04/2022,10500,10500,10500,10500,-,10500
54,12/04/2022,10500,10500,10500,10500,-,10500
55,13/04/2022,10500,10500,10500,10500,-,10500
56,14/04/2022,10500,10500,10500,10500,-,10500
57,15/04/2022,10500,10500,10500,10500,-,10500
58,18/04/2022,10600,10500,10500,10600,800,10600
59,19/04/2022,10600,10600,10600,10600,-,10600
60,20/04/2022,10600,10600,10600,10600,-,10600
61,21/04/2022,10600,10600,10600,10600,-,10600
62,22/04/2022,10600,10600,10600,10600,-,10600
63,25/04/2022,10600,10600,10600,10600,100,10600
64,26/04/2022,10600,10500,10500,10600,300,10600
65,27/04/2022,10600,10600,10600,10600,-,10600
66,28/04/2022,10600,10600,10600,10600,-,10600
67,29/04/2022,10600,10600,10600,10600,-,10600
68,04/05/2022,11000,11000,11000,11000,5300,11000
69,05/05/2022,11000,11000,11000,11000,700,11000
70,06/05/2022,11000,11000,11000,11000,-,11000
71,09/05/2022,11000,11000,11000,11000,-,11000
