,Date,High,Low,Open,Close,Volume,Adj Close
0,30/08/2022,15100,15100,15100,15100,-,14500
1,31/08/2022,15100,15100,15100,15100,-,14500
2,05/09/2022,17100,17100,17100,17100,100,16400
3,06/09/2022,17100,17100,17100,17100,-,16400
4,07/09/2022,17100,17100,17100,17100,-,16400
5,08/09/2022,17100,17100,17100,17100,-,16400
6,09/09/2022,17100,17100,17100,17100,-,16400
7,12/09/2022,17100,17100,17100,17100,-,16400
8,13/09/2022,17100,17100,17100,17100,-,16400
9,14/09/2022,17100,17100,17100,17100,-,16400
10,15/09/2022,17100,17100,17100,17100,-,16400
11,16/09/2022,17100,17100,17100,17100,-,16400
12,19/09/2022,17100,17100,17100,17100,-,16400
13,20/09/2022,17100,17100,17100,17100,-,16400
14,21/09/2022,17100,17100,17100,17100,-,16400
15,22/09/2022,17100,17100,17100,17100,-,16400
16,23/09/2022,17100,17100,17100,17100,-,16400
17,26/09/2022,17100,17100,17100,17100,-,16400
18,27/09/2022,17100,17100,17100,17100,-,16400
19,28/09/2022,17100,17100,17100,17100,-,16400
20,29/09/2022,17100,17100,17100,17100,-,16400
21,30/09/2022,17100,17100,17100,17100,-,16400
22,03/10/2022,17100,17100,17100,17100,-,16400
23,04/10/2022,17100,17100,17100,17100,-,16400
24,05/10/2022,17100,17100,17100,17100,-,16400
25,06/10/2022,17100,17100,17100,17100,-,16400
26,07/10/2022,17100,17100,17100,17100,-,16400
27,10/10/2022,17100,17100,17100,17100,-,16400
28,11/10/2022,17100,17100,17100,17100,-,16400
29,12/10/2022,17100,17100,17100,17100,-,16400
30,13/10/2022,17100,17100,17100,17100,-,16400
31,14/10/2022,17100,17100,17100,17100,-,16400
32,17/10/2022,17100,17100,17100,17100,-,16400
33,18/10/2022,16800,16800,16800,16800,100,16100
34,19/10/2022,16800,16800,16800,16800,-,16100
35,20/10/2022,16800,16800,16800,16800,-,16100
36,21/10/2022,16800,16800,16800,16800,-,16100
37,24/10/2022,16800,16800,16800,16800,-,16100
38,25/10/2022,16800,16800,16800,16800,-,16100
39,26/10/2022,16800,16800,16800,16800,-,16100
40,27/10/2022,16800,16800,16800,16800,-,16100
41,28/10/2022,16800,16800,16800,16800,-,16100
42,31/10/2022,16800,16800,16800,16800,-,16100
43,01/11/2022,16800,16800,16800,16800,-,16100
44,02/11/2022,16800,16800,16800,16800,-,16100
45,03/11/2022,16800,16800,16800,16800,-,16100
46,04/11/2022,16800,16800,16800,16800,-,16100
47,07/11/2022,16800,16800,16800,16800,-,16100
48,08/11/2022,16800,16800,16800,16800,-,16100
49,09/11/2022,16800,16800,16800,16800,-,16100
50,10/11/2022,16800,16800,16800,16800,-,16100
51,11/11/2022,16800,16800,16800,16800,-,16100
52,14/11/2022,16800,16800,16800,16800,-,16100
53,15/11/2022,16800,16800,16800,16800,-,16100
54,16/11/2022,16800,16800,16800,16800,-,16100
55,17/11/2022,16800,16800,16800,16800,-,16100
56,18/11/2022,16800,16800,16800,16800,-,16100
57,21/11/2022,16800,16800,16800,16800,-,16100
58,22/11/2022,16800,16800,16800,16800,-,16100
59,23/11/2022,16800,16800,16800,16800,-,16100
60,24/11/2022,16800,16800,16800,16800,-,16100
61,25/11/2022,16800,16800,16800,16800,-,16100
62,28/11/2022,16800,16800,16800,16800,-,16100
63,29/11/2022,16800,16800,16800,16800,-,16100
64,30/11/2022,16800,16800,16800,16800,-,16100
65,01/12/2022,11400,11400,11400,11400,1400,11000
