,Date,High,Low,Open,Close,Volume,Adj Close
0,08/03/2023,9100,9100,9100,9100,-,8600
1,09/03/2023,9100,9100,9100,9100,-,8600
2,10/03/2023,9100,9100,9100,9100,-,8600
3,13/03/2023,8000,8000,8000,8000,100,7600
4,14/03/2023,8000,8000,8000,8000,-,7600
5,15/03/2023,8000,8000,8000,8000,-,7600
6,16/03/2023,9200,9200,9200,9200,400,8700
7,17/03/2023,9200,9200,9200,9200,-,8700
8,20/03/2023,9200,9200,9200,9200,-,8700
9,21/03/2023,9200,9200,9200,9200,-,8700
10,22/03/2023,9200,9200,9200,9200,-,8700
11,23/03/2023,8000,8000,8000,8000,100,7600
12,24/03/2023,9200,9200,9200,9200,200,8700
13,27/03/2023,9200,9200,9200,9200,-,8700
14,28/03/2023,9200,9200,9200,9200,-,8700
15,29/03/2023,9200,9200,9200,9200,-,8700
16,30/03/2023,9200,9200,9200,9200,-,8700
17,31/03/2023,7900,7900,7900,7900,100,7500
18,03/04/2023,9000,9000,9000,9000,100,8500
19,04/04/2023,9000,9000,9000,9000,-,8500
20,05/04/2023,9500,7700,7700,9500,200,9000
21,06/04/2023,9800,9500,9500,9800,301,9300
22,07/04/2023,8500,8500,8500,8500,100,8000
23,10/04/2023,8500,8500,8500,8500,15,8000
24,11/04/2023,9700,9700,9700,9700,1200,9200
25,12/04/2023,9700,9700,9700,9700,-,9200
26,13/04/2023,9700,9700,9700,9700,100,9200
27,14/04/2023,9700,9700,9700,9700,-,9200
28,17/04/2023,9700,9700,9700,9700,-,9200
29,18/04/2023,9700,9700,9700,9700,400,9200
30,19/04/2023,10000,10000,10000,10000,400,9500
31,20/04/2023,9500,9500,9500,9500,100,9000
32,21/04/2023,9800,9800,9800,9800,100,9300
33,24/04/2023,9800,9800,9800,9800,-,9300
34,25/04/2023,9800,9800,9800,9800,-,9300
35,26/04/2023,9800,9800,9800,9800,-,9300
36,27/04/2023,9800,9800,9800,9800,-,9300
37,28/04/2023,9900,9900,9900,9900,3100,9400
38,04/05/2023,9900,9900,9900,9900,-,9400
39,05/05/2023,9900,9900,9900,9900,-,9400
40,08/05/2023,9900,9900,9900,9900,1,9400
41,09/05/2023,9900,9900,9900,9900,-,9400
42,10/05/2023,9900,9900,9900,9900,-,9400
43,11/05/2023,9900,9900,9900,9900,-,9400
44,12/05/2023,9900,9900,9900,9900,-,9400
45,15/05/2023,9900,9900,9900,9900,-,9400
46,16/05/2023,10000,10000,10000,10000,900,9500
47,17/05/2023,10000,10000,10000,10000,-,9500
48,18/05/2023,10000,10000,10000,10000,-,9500
49,19/05/2023,10000,10000,10000,10000,-,9500
50,22/05/2023,11000,11000,11000,11000,100,10400
51,23/05/2023,11300,11300,11300,11300,200,11300
52,24/05/2023,11300,11300,11300,11300,-,11300
53,25/05/2023,11300,11300,11300,11300,-,11300
54,26/05/2023,11300,11300,11300,11300,-,11300
55,29/05/2023,9700,9700,9700,9700,100,9700
56,30/05/2023,8300,8300,8300,8300,401,8300
57,31/05/2023,9000,9000,9000,9000,241,9000
58,01/06/2023,9000,9000,9000,9000,-,9000
59,02/06/2023,9000,9000,9000,9000,-,9000
60,05/06/2023,10300,10200,10200,10300,400,10300
61,06/06/2023,10200,10200,10200,10200,-,10200
62,07/06/2023,10200,10200,10200,10200,-,10200
63,08/06/2023,10200,10200,10200,10300,8,10200
64,09/06/2023,10000,10000,10000,10000,112,10000
65,12/06/2023,10000,10000,10000,10000,100,10000
66,13/06/2023,10000,10000,10000,10000,-,10000
67,14/06/2023,10000,10000,10000,10000,-,10000
68,15/06/2023,10000,10000,10000,10000,-,10000
69,16/06/2023,10000,10000,10000,10000,-,10000
70,19/06/2023,10000,10000,10000,10000,-,10000
71,20/06/2023,10000,10000,10000,10000,-,10000
72,21/06/2023,10000,10000,10000,10000,-,10000
73,22/06/2023,10000,10000,10000,10000,100,10000
