,Date,High,Low,Open,Close,Volume,Adj Close
0,19/07/2021,21600,20000,21600,20000,700,19800
1,20/07/2021,20500,20500,20500,20500,2000,20300
2,21/07/2021,21300,20600,21300,20600,900,20400
3,22/07/2021,21300,20500,20500,21000,5800,20800
4,23/07/2021,21100,21000,21100,21100,1700,20900
5,26/07/2021,21100,21000,21100,21000,2500,20800
6,27/07/2021,22400,21000,21000,22100,4000,21900
7,28/07/2021,22700,21600,21600,22000,8000,21800
8,29/07/2021,22400,22000,22000,22400,950,22200
9,30/07/2021,21000,21000,21000,21000,300,20800
10,02/08/2021,23400,20100,23400,22900,900,22700
11,03/08/2021,23400,22000,22800,22000,1100,21800
12,04/08/2021,26200,23500,26200,23500,300,23300
13,05/08/2021,24400,23000,24400,23000,750,22800
14,06/08/2021,23400,23400,23400,23400,-,23200
15,09/08/2021,23000,21200,23000,21200,1516,21000
16,10/08/2021,21500,21500,21500,21500,350,21300
17,11/08/2021,23900,23900,23900,23900,700,23700
18,12/08/2021,22000,22000,22000,22000,500,21800
19,13/08/2021,23400,22000,22000,23000,3100,22800
20,16/08/2021,22300,22300,22300,22300,730,22100
21,17/08/2021,23800,23800,23800,23800,300,23600
22,18/08/2021,23000,22500,23000,23000,1310,22800
23,19/08/2021,22000,21500,22000,22000,14016,21800
24,20/08/2021,23000,22000,23000,22000,720,21800
25,23/08/2021,22200,20100,20100,22200,2750,22000
26,24/08/2021,22000,22000,22000,22000,320,21800
27,25/08/2021,22000,22000,22000,22000,110,21800
28,26/08/2021,21000,21000,21000,21000,100,20800
29,27/08/2021,23000,21000,21000,21300,1700,21100
30,30/08/2021,23000,22900,22900,23000,3640,22800
31,31/08/2021,23000,22900,23000,22900,4800,22700
32,01/09/2021,21700,21700,21700,21700,1010,21500
33,06/09/2021,21100,20600,20600,21100,3000,20900
34,07/09/2021,21300,21000,21000,21200,1200,21000
35,08/09/2021,21100,21100,21100,21100,700,20900
36,09/09/2021,22000,21500,21500,22000,1800,21800
37,10/09/2021,22600,21700,21900,22600,2500,22400
38,13/09/2021,22200,21700,21700,22200,1040,22000
39,14/09/2021,22000,22000,22000,22000,300,21800
40,15/09/2021,22600,22000,22000,22600,1010,22400
41,16/09/2021,22900,22800,22800,22800,1641,22600
42,17/09/2021,22900,22000,22900,22000,1200,21800
43,20/09/2021,23000,22000,22600,22000,4774,21800
44,21/09/2021,22000,21500,21500,22000,1700,21800
45,22/09/2021,22300,22000,22300,22000,2100,21800
46,23/09/2021,23000,22000,23000,22000,6044,21800
47,24/09/2021,22800,22800,22800,22800,300,22600
48,27/09/2021,23000,22500,22500,23000,2900,22800
49,28/09/2021,22600,22500,22600,22500,820,22300
50,29/09/2021,24900,24900,24900,24900,149,24700
51,30/09/2021,24900,24900,24900,24900,-,24700
52,01/10/2021,22800,22800,22800,22800,3200,22600
53,04/10/2021,23900,22800,22800,23500,400,23300
54,05/10/2021,22500,22500,22500,22500,1910,22300
55,06/10/2021,22900,22400,22500,22900,500,22700
56,07/10/2021,23000,23000,23000,23000,2100,22800
57,08/10/2021,23000,22000,22000,22200,806,22000
58,11/10/2021,23900,22200,23900,22600,5600,22400
59,12/10/2021,22500,22500,22500,22500,200,22300
60,13/10/2021,23000,22300,22300,22500,4500,22300
61,14/10/2021,23200,23000,23000,23200,400,23000
62,15/10/2021,23000,22200,22200,23000,800,22900
63,18/10/2021,23100,22500,22500,23100,1600,23000
64,19/10/2021,23500,23000,23500,23500,1910,23400
65,20/10/2021,23000,23000,23000,23000,300,22900
66,21/10/2021,23100,23000,23100,23000,1400,22900
67,22/10/2021,23600,22700,23600,22700,646,22600
68,25/10/2021,24000,22700,22700,24000,700,23900
69,26/10/2021,24000,23000,23000,24000,5200,23900
70,27/10/2021,24700,23500,24000,24000,4100,23900
71,28/10/2021,24000,23700,24000,24000,1890,23900
72,29/10/2021,24200,24000,24000,24000,2070,23900
73,01/11/2021,24000,23500,24000,23600,1000,23500
74,02/11/2021,22500,21600,21600,22500,900,22400
75,03/11/2021,24000,22500,22500,24000,1100,23900
76,04/11/2021,23500,23000,23500,23200,700,23100
77,05/11/2021,23500,23500,23500,23500,600,23400
78,08/11/2021,24400,23700,23700,24000,1926,23900
79,09/11/2021,24000,24000,24000,24000,-,23900
80,10/11/2021,24500,23900,24500,23900,2800,23800
81,11/11/2021,24200,22800,22800,24200,2200,24100
82,12/11/2021,24500,23500,24500,24000,4650,23900
83,15/11/2021,25500,24300,24500,24300,7900,24200
84,16/11/2021,24500,24500,24500,24500,551,24400
85,17/11/2021,24400,23000,24400,23000,1676,22900
86,18/11/2021,23300,23000,23000,23000,7800,22900
87,19/11/2021,24600,23500,24500,23500,2500,23400
88,22/11/2021,24400,22800,22800,24400,1900,24300
89,23/11/2021,23000,22600,22900,22600,1810,22500
90,24/11/2021,23700,23000,23000,23000,3613,22900
91,25/11/2021,23500,22600,23400,23100,2447,23000
92,26/11/2021,24000,23200,23200,23500,3250,23400
93,29/11/2021,23900,23700,23700,23700,1620,23600
94,30/11/2021,23800,23800,23800,23800,210,23700
95,01/12/2021,23800,23800,23800,23800,200,23700
96,02/12/2021,23700,23000,23000,23700,1130,23600
97,03/12/2021,24000,24000,24000,24000,506,23900
98,06/12/2021,24000,24000,24000,24000,-,23900
99,07/12/2021,23900,23900,23900,23900,107,23800
100,08/12/2021,22500,21900,21900,22500,300,22400
101,09/12/2021,22300,22300,22300,22300,101,22200
102,10/12/2021,22300,22300,22300,22300,30,22200
103,13/12/2021,23500,21000,21000,23500,200,23400
104,14/12/2021,23500,22000,22000,23500,1913,23400
105,15/12/2021,23000,23000,23000,23000,200,22900
106,16/12/2021,22500,22500,22500,22500,2507,22400
107,17/12/2021,23500,22100,23500,22500,2750,22400
