,Date,High,Low,Open,Close,Volume,Adj Close
0,25/05/2022,10300,9900,10100,10100,105400,10100
1,26/05/2022,10100,9800,10100,10000,103400,10000
2,27/05/2022,10100,9900,10000,10000,160500,10000
3,30/05/2022,10100,9800,10000,10100,246300,10100
4,31/05/2022,10200,9800,10200,10000,300900,10000
5,01/06/2022,10100,9800,10000,10000,173900,10000
6,02/06/2022,10100,9900,9900,10000,153500,10000
7,03/06/2022,10300,9800,10000,9900,203900,9900
8,06/06/2022,10100,9900,10000,10100,254100,10100
9,07/06/2022,10100,9600,10100,9900,106702,9900
10,08/06/2022,10000,9700,9900,10000,194900,10000
11,09/06/2022,10100,9800,9900,10100,102300,10100
12,10/06/2022,10100,9800,10100,10000,101700,10000
13,13/06/2022,10100,9500,10000,9700,200600,9700
14,14/06/2022,9900,9600,9800,9800,183300,9800
15,15/06/2022,9700,9500,9600,9700,254700,9700
16,16/06/2022,9700,9400,9700,9600,107900,9600
17,17/06/2022,9600,9300,9600,9400,151200,9400
18,20/06/2022,9600,9200,9400,9400,109000,9400
19,21/06/2022,9400,9000,9400,9000,92700,9000
20,22/06/2022,9300,8900,9300,9000,73700,9000
21,23/06/2022,9100,8900,9100,9000,23000,9000
22,24/06/2022,9100,9000,9000,9100,48500,9100
23,27/06/2022,9200,9100,9100,9200,70400,9200
24,28/06/2022,9300,9000,9200,9300,50800,9300
25,29/06/2022,9200,9100,9200,9100,82901,9100
26,30/06/2022,9200,9000,9100,9000,81200,9000
27,01/07/2022,9100,8900,9000,9000,69200,9000
28,04/07/2022,9100,9000,9000,9000,99600,9000
29,05/07/2022,9000,8600,9000,8700,91900,8700
30,06/07/2022,8900,8300,8800,8500,49500,8500
31,07/07/2022,8600,7900,8600,8200,54900,8200
32,08/07/2022,8200,8000,8200,8000,27700,8000
33,11/07/2022,8300,7800,8100,8000,58402,8000
34,12/07/2022,8000,7500,8000,7700,62500,7700
35,13/07/2022,7700,7400,7700,7600,40100,7600
36,14/07/2022,7500,7200,7500,7400,46000,7400
37,15/07/2022,7300,7000,7300,7200,40900,7200
38,18/07/2022,7900,7000,7100,7900,173400,7900
39,19/07/2022,7900,7600,7900,7800,132900,7800
40,20/07/2022,7800,7600,7700,7700,101900,7700
41,21/07/2022,7600,7200,7600,7300,103200,7300
42,22/07/2022,7400,7200,7400,7200,106300,7200
43,25/07/2022,7400,7200,7200,7400,112200,7400
44,26/07/2022,7300,7200,7300,7200,100600,7200
45,27/07/2022,7200,7000,7200,7200,57700,7200
46,28/07/2022,7200,7000,7100,7200,73900,7200
47,29/07/2022,7100,7000,7100,7100,55800,7100
48,01/08/2022,8000,7000,7200,7200,87600,7200
49,02/08/2022,7400,7200,7200,7400,134600,7400
50,03/08/2022,7500,7300,7300,7500,89500,7500
51,04/08/2022,7600,7300,7400,7500,65900,7500
52,05/08/2022,7500,7300,7400,7500,101500,7500
53,08/08/2022,7500,7300,7500,7500,81200,7500
54,09/08/2022,7600,7400,7400,7600,93000,7600
55,10/08/2022,7800,7500,7500,7700,120900,7700
56,11/08/2022,8600,7600,7700,8400,169900,8400
57,12/08/2022,8500,7900,8300,8000,87500,8000
58,15/08/2022,8100,7900,8100,7900,88800,7900
59,16/08/2022,8200,7900,8000,8200,66000,8200
60,17/08/2022,8200,8000,8000,8100,91100,8100
61,18/08/2022,8200,7900,8100,8000,67700,8000
62,19/08/2022,8200,7500,8100,7600,57200,7600
63,22/08/2022,8000,7200,7800,7500,97100,7500
64,23/08/2022,7700,7500,7600,7700,86400,7700
65,24/08/2022,7900,7600,7600,7800,64600,7800
66,25/08/2022,7900,7500,7800,7700,81300,7700
67,26/08/2022,7800,7600,7700,7800,91000,7800
68,29/08/2022,7800,7500,7700,7600,128000,7600
69,30/08/2022,8000,7500,7700,8000,122800,8000
70,31/08/2022,8000,7700,7800,7800,65000,7800
71,05/09/2022,7900,7800,7800,7900,83400,7900
72,06/09/2022,8000,7600,7900,7800,81701,7800
73,07/09/2022,7800,7300,7800,7300,93400,7300
74,08/09/2022,7700,7500,7600,7700,79600,7700
75,09/09/2022,7800,7600,7700,7700,71100,7700
76,12/09/2022,8000,7600,7700,7900,188800,7900
77,13/09/2022,8000,7800,7900,7800,60800,7800
78,14/09/2022,7900,7600,7900,7600,103000,7600
79,15/09/2022,7900,7600,7700,7800,62600,7800
80,16/09/2022,7900,7700,7800,7800,85200,7800
81,19/09/2022,7900,7600,7800,7700,74800,7700
82,20/09/2022,7700,7300,7700,7300,85600,7300
83,21/09/2022,7600,7400,7500,7500,79900,7500
84,22/09/2022,7500,7400,7500,7500,74500,7500
85,23/09/2022,7500,7300,7500,7400,80100,7400
86,26/09/2022,7400,7100,7400,7100,84300,7100
87,27/09/2022,7300,7100,7200,7200,77100,7200
88,28/09/2022,7400,7100,7300,7200,61300,7200
89,29/09/2022,7200,7100,7200,7100,73200,7100
90,30/09/2022,7200,6700,7200,7000,69100,7000
91,03/10/2022,7000,6500,7000,6900,42000,6900
92,04/10/2022,7000,6900,6900,6900,33401,6900
93,05/10/2022,7000,6900,6900,7000,60100,7000
94,06/10/2022,7100,6800,6900,7000,47900,7000
95,07/10/2022,7000,6700,6900,6800,40100,6800
96,10/10/2022,6900,6800,6900,6800,39800,6800
97,11/10/2022,6900,6600,6800,6600,44000,6600
98,12/10/2022,6800,6600,6800,6700,42200,6700
99,13/10/2022,6700,6600,6600,6600,39500,6600
100,14/10/2022,6600,6500,6600,6600,45800,6600
101,17/10/2022,6700,6600,6600,6700,77500,6700
102,18/10/2022,6800,6400,6600,6400,58100,6400
103,19/10/2022,6700,6400,6600,6400,56400,6400
104,20/10/2022,6500,6400,6500,6500,48700,6500
105,21/10/2022,6500,6400,6500,6400,28700,6400
106,24/10/2022,6500,6300,6500,6300,36000,6300
107,25/10/2022,6500,6000,6500,6300,38000,6300
108,26/10/2022,6200,6000,6200,6100,18300,6100
109,27/10/2022,6200,5900,6100,6000,39400,6000
110,28/10/2022,6100,6000,6100,6100,29200,6100
111,31/10/2022,6200,5900,6100,6000,23700,6000
