,Date,High,Low,Open,Close,Volume,Adj Close
0,22/08/2023,9600,9600,9600,9600,-,9600
1,23/08/2023,9600,9600,9600,9600,10,9600
2,24/08/2023,9600,9600,9600,9600,-,9600
3,25/08/2023,9000,9000,9000,9000,200,9000
4,28/08/2023,10300,10100,10300,10100,1055,10100
5,29/08/2023,9700,9700,9700,9700,1000,9700
6,30/08/2023,8400,8300,8400,8300,920,8300
7,31/08/2023,9500,7100,9500,9500,7210,9500
8,05/09/2023,8200,8000,8200,8000,1000,8000
9,06/09/2023,9200,8000,9200,8900,8322,8900
10,07/09/2023,9500,9500,9500,9500,300,9500
11,08/09/2023,9500,9500,9500,9500,-,9500
12,11/09/2023,9500,9500,9500,9500,201,9500
13,12/09/2023,8500,8500,8500,8500,2500,8500
14,13/09/2023,9000,8500,8500,9000,710,9000
15,14/09/2023,8700,8600,8600,8700,3001,8700
16,15/09/2023,8600,8600,8600,8700,5,8600
17,18/09/2023,8600,8600,8600,8600,-,8600
18,19/09/2023,8600,8600,8600,8600,-,8600
19,20/09/2023,8600,8600,8600,8600,10000,8600
20,21/09/2023,8600,8600,8600,8600,400,8600
21,22/09/2023,8600,8600,8600,8600,-,8600
22,25/09/2023,8400,8400,8400,8400,601,8400
23,26/09/2023,9600,8800,8800,9400,400,9400
24,27/09/2023,9400,9400,9400,9400,-,9400
25,28/09/2023,8900,8900,8900,8900,708,8900
26,29/09/2023,8900,8900,8900,8900,-,8900
27,02/10/2023,10200,9800,9800,10200,15000,10200
28,03/10/2023,10100,10100,10100,10100,-,10100
29,04/10/2023,8600,8600,8600,8600,300,8600
30,05/10/2023,9600,9600,9600,9600,100,9600
31,06/10/2023,9600,9600,9600,9600,-,9600
32,09/10/2023,9600,9600,9600,9600,-,9600
33,10/10/2023,9600,9600,9600,9600,-,9600
34,11/10/2023,9600,9600,9600,9600,-,9600
35,12/10/2023,8200,8200,8200,8200,100,8200
36,13/10/2023,8200,8200,8200,8200,-,8200
37,16/10/2023,8000,8000,8000,8000,200,8000
38,17/10/2023,9200,9000,9000,9200,2210,9200
39,18/10/2023,9200,9200,9200,9200,-,9200
40,19/10/2023,9200,9200,9200,9200,-,9200
41,20/10/2023,9200,9200,9200,9200,-,9200
42,23/10/2023,9200,9200,9200,9200,-,9200
43,24/10/2023,9200,9200,9200,9200,-,9200
44,25/10/2023,9200,9200,9200,9200,-,9200
45,26/10/2023,9200,9200,9200,9200,-,9200
46,27/10/2023,9200,9200,9200,9200,-,9200
47,30/10/2023,9200,9200,9200,9200,300,9200
48,31/10/2023,9200,9200,9200,9200,-,9200
49,01/11/2023,9200,9200,9200,9200,400,9200
50,02/11/2023,9200,9200,9200,9200,-,9200
51,03/11/2023,9200,9200,9200,9200,-,9200
52,06/11/2023,9200,9200,9200,9200,1,9200
53,07/11/2023,8300,8300,8300,8300,100,8300
54,08/11/2023,8300,8300,8300,8300,1,8300
55,09/11/2023,8300,8300,8300,8300,-,8300
56,10/11/2023,8300,8300,8300,8300,-,8300
57,13/11/2023,8300,8300,8300,8300,-,8300
58,14/11/2023,8300,8300,8300,8300,-,8300
59,15/11/2023,7600,7600,7600,7600,2000,7600
60,16/11/2023,8700,7700,7700,8700,300,8700
61,17/11/2023,8400,8400,8400,8400,-,8400
62,20/11/2023,8400,8400,8400,8400,-,8400
63,21/11/2023,9500,9000,9000,9500,300,9500
64,22/11/2023,9300,9300,9300,9300,5000,9300
65,23/11/2023,8600,8600,8600,8600,300,8600
66,24/11/2023,8600,8600,8600,8600,500,8600
67,27/11/2023,8600,8600,8600,8600,500,8600
68,28/11/2023,8600,8600,8600,8600,200,8600
69,29/11/2023,8600,8600,8600,8600,-,8600
70,30/11/2023,8600,8600,8600,8600,-,8600
71,01/12/2023,9000,8600,8600,9000,600,9000
72,04/12/2023,8700,8700,8700,8700,-,8700
73,05/12/2023,9500,9300,9400,9500,4400,9500
74,06/12/2023,9000,9000,9000,9000,300,9000
75,07/12/2023,8500,8400,8500,8500,2500,8500
76,08/12/2023,9600,9500,9600,9500,1601,9500
77,11/12/2023,9500,9500,9500,9500,-,9500
78,12/12/2023,9500,9500,9500,9500,-,9500
79,13/12/2023,9500,9500,9500,9500,1000,9500
80,14/12/2023,9500,9500,9500,9500,-,9500
81,15/12/2023,8500,8500,8500,8500,400,8500
82,18/12/2023,8500,8500,8500,8500,-,8500
83,19/12/2023,8500,8500,8500,8500,-,8500
84,20/12/2023,8500,8500,8500,8500,-,8500
85,21/12/2023,8000,8000,8000,8000,100,8000
86,22/12/2023,8000,8000,8000,8000,-,8000
87,25/12/2023,8000,8000,8000,8000,-,8000
88,26/12/2023,9000,9000,9000,9000,100,9000
89,27/12/2023,9000,9000,9000,9000,20001,9000
90,28/12/2023,10300,10000,10300,10000,1100,10000
91,29/12/2023,10000,9000,10000,9000,2000,9000
92,02/01/2024,9500,9500,9500,9500,-,9500
93,03/01/2024,9500,9500,9500,9500,-,9500
94,04/01/2024,10900,10900,10900,10900,300,10900
95,05/01/2024,10900,10900,10900,10900,-,10900
96,08/01/2024,10900,10900,10900,10900,-,10900
97,09/01/2024,10900,10900,10900,10900,-,10900
98,10/01/2024,11100,11000,11000,11100,8700,11100
99,11/01/2024,11000,11000,11000,11000,-,11000
100,12/01/2024,11000,11000,11000,11000,-,11000
101,15/01/2024,11000,11000,11000,11000,-,11000
102,16/01/2024,11000,11000,11000,11000,-,11000
103,17/01/2024,11000,11000,11000,11000,-,11000
104,18/01/2024,11000,11000,11000,11000,-,11000
105,19/01/2024,11000,11000,11000,11000,-,11000
106,22/01/2024,11000,11000,11000,11000,-,11000
107,23/01/2024,10000,10000,10000,10000,2000,10000
108,24/01/2024,10000,10000,10000,10000,-,10000
109,25/01/2024,10000,10000,10000,10000,-,10000
110,26/01/2024,10000,10000,10000,10000,-,10000
111,29/01/2024,10000,10000,10000,10000,-,10000
112,30/01/2024,10000,10000,10000,10000,-,10000
113,31/01/2024,10000,10000,10000,10000,900,10000
114,01/02/2024,10000,10000,10000,10000,-,10000
115,02/02/2024,10000,10000,10000,10000,-,10000
116,05/02/2024,10000,10000,10000,10000,-,10000
117,06/02/2024,10000,10000,10000,10000,-,10000
118,07/02/2024,10000,10000,10000,10000,-,10000
119,15/02/2024,10000,10000,10000,10000,-,10000
120,16/02/2024,10000,10000,10000,10000,29,10000
121,19/02/2024,10000,10000,10000,10000,-,10000
122,20/02/2024,10000,10000,10000,10000,-,10000
123,21/02/2024,10000,10000,10000,10000,-,10000
124,22/02/2024,10000,10000,10000,10000,-,10000
125,23/02/2024,9900,9600,9600,9600,1900,9600
126,26/02/2024,9600,9600,9600,9600,-,9600
127,27/02/2024,10500,10500,10500,10500,200,10500
128,28/02/2024,10500,10500,10500,10500,11,10500
129,29/02/2024,10500,10500,10500,10500,-,10500
130,01/03/2024,9000,9000,9000,9000,100,9000
131,04/03/2024,10300,10300,10300,10300,360,10300
132,05/03/2024,10300,10300,10300,10300,401,10300
133,06/03/2024,9600,9600,9600,9600,900,9600
134,07/03/2024,9600,9600,9600,9600,19,9600
135,08/03/2024,9600,9600,9600,9600,-,9600
136,11/03/2024,11000,11000,11000,11000,110,11000
137,12/03/2024,11000,11000,11000,11000,2,11000
138,13/03/2024,11000,11000,11000,11000,-,11000
139,14/03/2024,11000,11000,11000,11000,-,11000
140,15/03/2024,11000,11000,11000,11000,-,11000
141,18/03/2024,11000,11000,11000,11000,100,11000
142,19/03/2024,11000,11000,11000,11000,-,11000
143,20/03/2024,11000,11000,11000,11000,102,11000
144,21/03/2024,9400,9400,9400,9400,1000,9400
145,22/03/2024,10500,10500,10500,10500,402,10500
146,25/03/2024,10500,10500,10500,10500,8,10500
147,26/03/2024,10500,10500,10500,10500,601,10500
148,27/03/2024,10400,10400,10400,10400,300,10400
149,28/03/2024,10400,10400,10400,10400,-,10400
150,29/03/2024,10400,10400,10400,10400,-,10400
151,01/04/2024,10400,10400,10400,10400,-,10400
152,02/04/2024,10400,10400,10400,10400,-,10400
153,03/04/2024,10400,10400,10400,10400,-,10400
154,04/04/2024,10400,10400,10400,10400,-,10400
155,05/04/2024,10400,10400,10400,10400,-,10400
156,08/04/2024,10400,10400,10400,10400,-,10400
157,09/04/2024,9600,8900,8900,9600,500,9600
158,10/04/2024,9700,9500,9500,9700,800,9700
159,11/04/2024,10000,10000,10000,10000,500,10000
160,12/04/2024,10000,10000,10000,10000,-,10000
161,15/04/2024,10000,10000,10000,10000,-,10000
162,16/04/2024,10000,10000,10000,10000,-,10000
163,17/04/2024,10000,10000,10000,10000,-,10000
164,19/04/2024,10000,10000,10000,10000,-,10000
165,22/04/2024,10000,10000,10000,10000,-,10000
166,23/04/2024,10000,10000,10000,10000,-,10000
167,24/04/2024,10000,10000,10000,10000,-,10000
168,25/04/2024,10000,10000,10000,10000,-,10000
169,26/04/2024,10000,10000,10000,10000,-,10000
170,02/05/2024,10000,10000,10000,10000,-,10000
171,03/05/2024,10000,10000,10000,10000,5000,10000
172,06/05/2024,10000,10000,10000,10000,4000,10000
173,07/05/2024,10000,10000,10000,10000,-,10000
174,08/05/2024,10000,10000,10000,10000,4000,10000
175,09/05/2024,10300,10300,10300,10300,3000,10300
176,10/05/2024,10300,10300,10300,10300,-,10300
177,13/05/2024,10300,10300,10300,10300,-,10300
178,14/05/2024,10300,10300,10300,10300,-,10300
179,15/05/2024,10300,10300,10300,10300,-,10300
180,16/05/2024,10300,10300,10300,10300,-,10300
181,17/05/2024,10300,10300,10300,10300,2000,10300
182,20/05/2024,10300,10300,10300,10300,1100,10300
183,21/05/2024,10300,10300,10300,10300,1000,10300
184,22/05/2024,10300,10300,10300,10300,-,10300
185,23/05/2024,10300,10300,10300,10300,-,10300
186,24/05/2024,10300,10300,10300,10300,-,10300
187,27/05/2024,10300,10300,10300,10300,-,10300
188,28/05/2024,10300,10300,10300,10300,-,10300
189,29/05/2024,10300,10300,10300,10300,-,10300
190,30/05/2024,10300,10300,10300,10300,-,10300
191,31/05/2024,10300,10300,10300,10300,-,10300
192,03/06/2024,9900,9900,9900,9900,1000,9900
193,04/06/2024,10100,9900,9900,10100,1102,10100
194,05/06/2024,11300,10100,11000,10100,4600,10100
195,06/06/2024,10600,10600,10600,10600,-,10600
196,07/06/2024,10000,10000,10000,10000,100,10000
197,10/06/2024,10000,10000,10000,10000,-,10000
198,11/06/2024,11000,11000,11000,11000,106,11000
199,12/06/2024,11000,11000,11000,11000,-,11000
200,13/06/2024,11000,11000,11000,11000,-,11000
201,14/06/2024,11000,11000,11000,11000,1000,11000
202,17/06/2024,11000,11000,11000,11000,-,11000
203,18/06/2024,11000,11000,11000,11000,1,11000
204,19/06/2024,11000,11000,11000,11000,-,11000
205,20/06/2024,11000,10700,11000,10700,1400,10700
206,21/06/2024,10700,10400,10700,10400,1600,10400
207,24/06/2024,10200,10200,10200,10200,600,10200
208,25/06/2024,11000,11000,11000,11000,100,11000
209,26/06/2024,11000,11000,11000,11000,-,11000
210,27/06/2024,11000,11000,11000,11000,-,11000
211,28/06/2024,11000,11000,11000,11000,-,11000
212,01/07/2024,11000,11000,11000,11000,-,11000
213,02/07/2024,11000,11000,11000,11000,-,11000
214,03/07/2024,11000,11000,11000,11000,-,11000
215,04/07/2024,11000,11000,11000,11000,-,11000
216,05/07/2024,11000,11000,11000,11000,-,11000
217,08/07/2024,11000,11000,11000,11000,-,11000
218,09/07/2024,11000,11000,11000,11000,-,11000
219,10/07/2024,11000,11000,11000,11000,-,11000
220,11/07/2024,11000,11000,11000,11000,-,11000
221,12/07/2024,11000,11000,11000,11000,-,11000
222,15/07/2024,11000,11000,11000,11000,-,11000
223,16/07/2024,11000,11000,11000,11000,-,11000
224,17/07/2024,11000,11000,11000,11000,-,11000
225,18/07/2024,11000,11000,11000,11000,-,11000
226,19/07/2024,11000,11000,11000,11000,-,11000
227,22/07/2024,11000,11000,11000,11000,-,11000
228,23/07/2024,11000,11000,11000,11000,-,11000
229,24/07/2024,11000,11000,11000,11000,-,11000
230,25/07/2024,11000,11000,11000,11000,-,11000
231,26/07/2024,11000,11000,11000,11000,-,11000
232,29/07/2024,11000,11000,11000,11000,5,11000
233,30/07/2024,11000,11000,11000,11000,-,11000
234,31/07/2024,10800,10800,10800,10800,1200,10800
235,01/08/2024,10800,10800,10800,10800,4,10800
236,02/08/2024,10800,10800,10800,10800,-,10800
237,05/08/2024,10800,10800,10800,10800,1,10800
238,06/08/2024,11200,11200,11200,11200,100,11200
239,07/08/2024,11200,11200,11200,11200,-,11200
240,08/08/2024,11200,11200,11200,11200,-,11200
241,09/08/2024,11200,11200,11200,11200,-,11200
242,12/08/2024,11200,11200,11200,11200,-,11200
243,13/08/2024,11000,11000,11000,11000,1000,11000
244,14/08/2024,11000,11000,11000,11000,-,11000
245,15/08/2024,11000,11000,11000,11000,1000,11000
246,16/08/2024,11000,11000,11000,11000,-,11000
247,19/08/2024,11000,11000,11000,11000,1000,11000
248,20/08/2024,11000,11000,11000,11000,-,11000
249,21/08/2024,11000,11000,11000,11000,-,11000
250,22/08/2024,11000,11000,11000,11000,-,11000
