,Date,High,Low,Open,Close,Volume,Adj Close
0,31/01/2024,6400,5900,6100,6000,2606214,5800
1,01/02/2024,6100,5900,6000,6000,1118669,5800
2,02/02/2024,6200,5900,6000,6100,3198921,5900
3,05/02/2024,6100,5800,6100,5900,1506611,5700
4,06/02/2024,6000,5800,5900,5900,615067,5700
5,07/02/2024,6000,5800,5900,5900,943153,5700
6,15/02/2024,6100,5900,5900,6000,682138,5800
7,16/02/2024,6200,5900,6000,6200,6933663,6000
8,19/02/2024,6400,6100,6200,6300,4199940,6100
9,20/02/2024,6400,6100,6300,6300,2346925,6100
10,21/02/2024,6300,6000,6300,6200,2595047,6000
11,22/02/2024,6300,6100,6100,6200,1484119,6000
12,23/02/2024,6200,5800,6200,5900,3666660,5700
13,26/02/2024,6000,5800,5900,6000,1706056,5800
14,27/02/2024,6000,5900,5900,6000,1266706,5800
15,28/02/2024,6000,5800,6000,6000,1086744,5800
16,29/02/2024,6000,5800,6000,5800,795974,5600
17,01/03/2024,5900,5700,5800,5900,2085922,5700
18,04/03/2024,6100,5800,5900,6000,1757892,5800
19,05/03/2024,6000,5900,6000,6000,979344,5800
20,06/03/2024,6000,5800,5900,5900,1496614,5700
21,07/03/2024,5900,5700,5900,5900,1081713,5700
22,08/03/2024,5900,5800,5900,5900,1377970,5700
23,11/03/2024,5900,5700,5800,5800,928239,5600
24,12/03/2024,5800,5600,5700,5600,1258358,5400
25,13/03/2024,5800,5600,5600,5800,1227166,5600
26,14/03/2024,5800,5600,5800,5800,821211,5600
27,15/03/2024,5800,5600,5700,5700,693291,5500
28,18/03/2024,5900,5600,5700,5800,2040760,5600
29,19/03/2024,6200,5600,5800,5900,2936428,5700
30,20/03/2024,6000,5800,6000,5900,405823,5700
31,21/03/2024,6100,5800,5900,6000,2434274,5800
32,22/03/2024,6100,5800,6000,6000,1354378,5800
33,25/03/2024,6000,5800,5900,5900,829783,5700
34,26/03/2024,5900,5700,5900,5900,1380653,5700
35,27/03/2024,5900,5700,5800,5900,637001,5700
36,28/03/2024,5900,5700,5800,5800,754225,5600
37,29/03/2024,5800,5600,5800,5700,1099374,5500
38,01/04/2024,5800,5600,5700,5700,1121936,5500
39,02/04/2024,5800,5600,5700,5700,1697479,5500
40,03/04/2024,5800,5600,5700,5700,1235418,5500
41,04/04/2024,5800,5600,5700,5800,1365726,5600
42,05/04/2024,5800,5600,5700,5700,1839329,5500
43,08/04/2024,5800,5700,5700,5800,1251214,5600
44,09/04/2024,5800,5100,5800,5600,981862,5400
45,10/04/2024,5800,5600,5700,5700,1472254,5500
46,11/04/2024,5700,5600,5700,5600,493380,5400
47,12/04/2024,5700,5500,5700,5700,2386947,5500
48,15/04/2024,5700,5300,5600,5300,1888268,5100
49,16/04/2024,5400,4800,5400,5200,2171929,5100
50,17/04/2024,5100,4800,5100,5000,493489,4900
51,19/04/2024,5000,4600,5000,4800,1150378,4700
52,22/04/2024,5000,4800,4900,5000,402212,4900
53,23/04/2024,5000,4800,4900,4900,404491,4800
54,24/04/2024,5100,4800,4800,5000,569091,4900
55,25/04/2024,5000,4800,4900,4900,201984,4800
56,26/04/2024,4900,4800,4900,4900,779844,4800
57,02/05/2024,5000,4800,4900,4900,494604,4800
58,03/05/2024,5100,4900,5000,5000,463652,4900
59,06/05/2024,5100,4900,5100,5100,473915,5000
60,07/05/2024,5100,4900,5100,5100,435602,5000
61,08/05/2024,5700,4900,5000,5700,3868988,5500
62,09/05/2024,6200,5800,5800,6000,3514967,5800
63,10/05/2024,6100,5600,6000,5900,1829949,5700
64,13/05/2024,6100,5800,5900,6000,3040428,5800
65,14/05/2024,6100,5800,6000,6000,1478379,5800
66,15/05/2024,6000,5700,6000,5800,1054489,5600
67,16/05/2024,5900,5500,5900,5600,2385115,5400
68,17/05/2024,5700,5500,5600,5600,982040,5400
69,20/05/2024,5900,5600,5600,5800,3159253,5600
70,21/05/2024,5900,5700,5800,5700,905494,5500
71,22/05/2024,6100,5700,5700,5900,1863014,5700
72,23/05/2024,6000,5700,5900,5900,1046835,5700
73,24/05/2024,6000,5700,5900,5800,2665775,5600
74,27/05/2024,5800,5600,5800,5800,469005,5600
75,28/05/2024,5900,5700,5800,5900,1656810,5700
76,29/05/2024,6600,5800,5900,6600,7813666,6400
77,30/05/2024,7200,6600,6800,7000,4398739,6800
78,31/05/2024,7100,6500,7000,6600,3131674,6400
79,03/06/2024,6700,6400,6700,6400,3804102,6200
80,04/06/2024,6600,6300,6600,6400,1880460,6200
81,05/06/2024,7000,6300,6400,6800,4165546,6600
82,06/06/2024,6900,6500,6800,6700,1311713,6500
83,07/06/2024,6700,6500,6700,6700,2296315,6500
84,10/06/2024,6900,6600,6700,6700,6631560,6500
85,11/06/2024,6800,6500,6800,6600,1500794,6400
86,12/06/2024,6700,6400,6600,6600,5696566,6400
87,13/06/2024,6700,6400,6500,6600,1040175,6400
88,14/06/2024,6700,6300,6600,6400,2070924,6200
89,17/06/2024,6500,6100,6400,6300,1522307,6100
90,18/06/2024,6300,6100,6300,6200,1235483,6000
91,19/06/2024,6400,6100,6200,6300,1535818,6100
92,20/06/2024,6500,6200,6300,6400,1395916,6200
93,21/06/2024,6400,6000,6400,6200,1977334,6000
94,24/06/2024,6300,5900,6200,6000,2216426,5800
95,25/06/2024,6100,5800,6000,6000,475564,5800
96,26/06/2024,6200,5900,6000,6100,871407,5900
97,27/06/2024,6100,5900,6000,6000,780710,5800
98,28/06/2024,6100,5800,6000,6000,952185,5800
99,01/07/2024,6400,5900,6000,6400,2740638,6200
100,02/07/2024,6600,6200,6400,6400,5539288,6200
101,03/07/2024,6400,6100,6200,6100,1602511,5900
102,04/07/2024,6900,6200,6300,6500,4818910,6300
103,05/07/2024,6500,6300,6400,6400,3362522,6200
