,Date,High,Low,Open,Close,Volume,Adj Close
0,02/04/2024,21500,21500,21500,21500,-,21500
1,03/04/2024,21500,21500,21500,21500,-,21500
2,04/04/2024,21500,21500,21500,21500,-,21500
3,05/04/2024,21500,21500,21500,21500,-,21500
4,08/04/2024,21500,21500,21500,21500,-,21500
5,09/04/2024,21500,21500,21500,21500,-,21500
6,10/04/2024,21500,21500,21500,21500,-,21500
7,11/04/2024,21500,21500,21500,21500,-,21500
8,12/04/2024,21500,21500,21500,21500,-,21500
9,15/04/2024,21500,21500,21500,21500,-,21500
10,16/04/2024,21500,21500,21500,21500,-,21500
11,17/04/2024,21500,21500,21500,21500,-,21500
12,19/04/2024,21500,21500,21500,21500,-,21500
13,22/04/2024,21500,21500,21500,21500,-,21500
14,23/04/2024,21500,21500,21500,21500,-,21500
15,24/04/2024,21500,21500,21500,21500,-,21500
16,25/04/2024,21500,21500,21500,21500,-,21500
17,26/04/2024,21500,21500,21500,21500,-,21500
18,02/05/2024,21500,21500,21500,21500,-,21500
19,03/05/2024,21500,21500,21500,21500,-,21500
20,06/05/2024,21500,21500,21500,21500,-,21500
21,07/05/2024,21500,21500,21500,21500,-,21500
22,08/05/2024,21500,21500,21500,21500,-,21500
23,09/05/2024,21500,21500,21500,21500,-,21500
24,10/05/2024,21500,21500,21500,21500,-,21500
25,13/05/2024,21500,21500,21500,21500,-,21500
26,14/05/2024,21500,21500,21500,21500,-,21500
27,15/05/2024,21500,21500,21500,21500,-,21500
28,16/05/2024,21500,21500,21500,21500,-,21500
29,17/05/2024,21500,21500,21500,21500,-,21500
30,20/05/2024,21500,21500,21500,21500,-,21500
31,21/05/2024,21500,21500,21500,21500,-,21500
32,22/05/2024,21500,21500,21500,21500,-,21500
33,23/05/2024,21500,21500,21500,21500,-,21500
34,24/05/2024,21500,21500,21500,21500,-,21500
35,27/05/2024,21500,21500,21500,21500,-,21500
36,28/05/2024,21500,21500,21500,21500,-,21500
37,29/05/2024,21500,21500,21500,21500,-,21500
38,30/05/2024,21500,21500,21500,21500,-,21500
39,31/05/2024,21500,21500,21500,21500,-,21500
40,03/06/2024,21500,21500,21500,21500,-,21500
41,04/06/2024,21500,21500,21500,21500,-,21500
42,05/06/2024,21500,21500,21500,21500,-,21500
43,06/06/2024,21500,21500,21500,21500,-,21500
44,07/06/2024,21500,21500,21500,21500,-,21500
45,10/06/2024,21500,21500,21500,21500,-,21500
46,11/06/2024,21500,21500,21500,21500,-,21500
47,12/06/2024,21500,21500,21500,21500,-,21500
48,13/06/2024,21500,21500,21500,21500,-,21500
49,14/06/2024,21500,21500,21500,21500,-,21500
50,17/06/2024,21500,21500,21500,21500,-,21500
51,18/06/2024,21500,21500,21500,21500,-,21500
52,19/06/2024,21500,21500,21500,21500,-,21500
53,20/06/2024,21500,21500,21500,21500,-,21500
54,21/06/2024,21500,21500,21500,21500,-,21500
55,24/06/2024,21500,21500,21500,21500,-,21500
56,25/06/2024,21500,21500,21500,21500,-,21500
57,26/06/2024,21500,21500,21500,21500,-,21500
58,27/06/2024,21500,21500,21500,21500,-,21500
59,28/06/2024,21500,21500,21500,21500,-,21500
60,01/07/2024,21500,21500,21500,21500,-,21500
61,02/07/2024,21500,21500,21500,21500,-,21500
62,03/07/2024,21500,21500,21500,21500,-,21500
63,04/07/2024,21500,21500,21500,21500,-,21500
64,05/07/2024,21500,21500,21500,21500,-,21500
65,08/07/2024,21500,21500,21500,21500,-,21500
66,09/07/2024,21500,21500,21500,21500,-,21500
67,10/07/2024,21500,21500,21500,21500,-,21500
68,11/07/2024,21500,21500,21500,21500,-,21500
69,12/07/2024,21500,21500,21500,21500,-,21500
70,15/07/2024,21500,21500,21500,21500,-,21500
71,16/07/2024,21500,21500,21500,21500,-,21500
72,17/07/2024,21500,21500,21500,21500,-,21500
73,18/07/2024,21500,21500,21500,21500,-,21500
74,19/07/2024,21500,21500,21500,21500,-,21500
75,22/07/2024,21500,21500,21500,21500,-,21500
76,23/07/2024,21500,21500,21500,21500,-,21500
77,24/07/2024,21500,21500,21500,21500,-,21500
78,25/07/2024,21500,21500,21500,21500,-,21500
79,26/07/2024,21500,21500,21500,21500,-,21500
80,29/07/2024,21500,21500,21500,21500,-,21500
81,30/07/2024,21500,21500,21500,21500,-,21500
82,31/07/2024,21500,21500,21500,21500,-,21500
83,01/08/2024,21500,21500,21500,21500,-,21500
84,02/08/2024,21500,21500,21500,21500,-,21500
85,05/08/2024,21500,21500,21500,21500,-,21500
86,06/08/2024,21500,21500,21500,21500,-,21500
87,07/08/2024,21500,21500,21500,21500,-,21500
88,08/08/2024,21500,21500,21500,21500,-,21500
89,09/08/2024,21500,21500,21500,21500,-,21500
90,12/08/2024,21500,21500,21500,21500,-,21500
91,13/08/2024,21500,21500,21500,21500,-,21500
92,14/08/2024,21500,21500,21500,21500,-,21500
93,15/08/2024,21500,21500,21500,21500,-,21500
94,16/08/2024,21500,21500,21500,21500,-,21500
95,19/08/2024,21500,21500,21500,21500,-,21500
96,20/08/2024,21500,21500,21500,21500,-,21500
97,21/08/2024,21500,21500,21500,21500,-,21500
98,22/08/2024,21500,21500,21500,21500,-,21500
99,23/08/2024,21500,21500,21500,21500,-,21500
100,26/08/2024,21500,21500,21500,21500,-,21500
101,27/08/2024,21500,21500,21500,21500,-,21500
102,28/08/2024,21500,21500,21500,21500,-,21500
103,29/08/2024,21500,21500,21500,21500,-,21500
104,30/08/2024,21500,21500,21500,21500,-,21500
105,04/09/2024,21500,21500,21500,21500,-,21500
106,05/09/2024,21500,21500,21500,21500,-,21500
107,06/09/2024,21500,21500,21500,21500,-,21500
108,09/09/2024,21500,21500,21500,21500,-,21500
109,10/09/2024,21500,21500,21500,21500,-,21500
110,11/09/2024,21500,21500,21500,21500,-,21500
111,12/09/2024,21500,21500,21500,21500,-,21500
