,Date,High,Low,Open,Close,Volume,Adj Close
0,31/03/2022,45300,45300,45300,45300,-,21300
1,01/04/2022,46100,45000,45000,46100,1110,21700
2,04/04/2022,47000,46000,46000,47000,5500,22100
3,05/04/2022,46500,46500,46500,46500,600,21900
4,06/04/2022,46000,46000,46000,46000,156,21600
5,07/04/2022,46000,46000,46000,46000,100,21600
6,08/04/2022,46000,46000,46000,46000,-,21600
7,12/04/2022,45600,45100,45100,45600,1400,21500
8,13/04/2022,46500,45500,45600,46000,3500,21600
9,14/04/2022,46100,46000,46000,46100,9100,21700
10,15/04/2022,46600,46000,46000,46600,3500,21900
11,18/04/2022,46300,46300,46300,46300,-,21800
12,19/04/2022,46300,46300,46300,46300,-,21800
13,20/04/2022,47200,47000,47000,47200,2700,22200
14,21/04/2022,47800,47000,47200,47500,10000,22400
15,22/04/2022,47600,47600,47600,47600,-,22400
16,25/04/2022,47600,47000,47600,47000,5800,22100
17,26/04/2022,47000,47000,47000,47000,3500,22100
18,27/04/2022,45000,45000,45000,45000,500,21200
19,28/04/2022,47000,47000,47000,47000,900,22100
20,29/04/2022,54000,47800,54000,54000,16600,25400
21,04/05/2022,61900,56500,61900,57400,39434,27000
22,05/05/2022,57700,56500,57700,56500,6300,26600
23,06/05/2022,56500,54500,56500,56000,23200,26400
24,09/05/2022,56000,54500,56000,54700,3800,25700
25,10/05/2022,55900,54500,55000,55900,4700,26300
26,11/05/2022,56000,55900,56000,56000,8032,26400
27,12/05/2022,56000,55000,56000,55000,4000,25900
28,13/05/2022,56000,54800,54800,56000,700,26400
29,16/05/2022,55800,55800,55800,55800,-,26300
30,17/05/2022,55500,55500,55500,55500,100,26100
31,18/05/2022,55500,55500,55500,55500,1000,26100
32,19/05/2022,55500,55500,55500,55500,-,26100
33,20/05/2022,55000,55000,55000,55000,3900,25900
34,23/05/2022,55000,52000,55000,55000,1100,25900
35,24/05/2022,53100,53000,53100,53000,3500,24900
36,25/05/2022,53000,53000,53000,53000,-,24900
37,26/05/2022,54000,54000,54000,54000,1600,25400
38,27/05/2022,54900,54800,54900,54800,500,25800
39,30/05/2022,54800,54400,54800,54500,1700,25700
40,31/05/2022,54500,54400,54500,54500,1500,25700
41,01/06/2022,55600,55500,55500,55600,2710,26200
42,02/06/2022,57700,55500,55500,57700,5300,27200
43,03/06/2022,57900,57900,57900,57900,100,27300
44,06/06/2022,57900,57900,57900,57900,10,27300
45,07/06/2022,57000,57000,57000,57000,200,26800
46,08/06/2022,57000,57000,57000,57000,200,26800
47,09/06/2022,55000,55000,55000,55000,2000,25900
48,10/06/2022,55000,55000,55000,55000,1000,25900
49,13/06/2022,55000,55000,55000,55000,-,25900
50,14/06/2022,55000,55000,55000,55000,-,25900
51,15/06/2022,55000,55000,55000,55000,-,25900
52,16/06/2022,55000,55000,55000,55000,-,25900
53,17/06/2022,55000,55000,55000,55000,-,25900
54,20/06/2022,55000,55000,55000,55000,-,25900
55,21/06/2022,57400,57400,57400,57400,100,27000
56,22/06/2022,57000,56000,57000,56000,300,26400
57,23/06/2022,56700,56700,56700,56700,-,26700
58,24/06/2022,56700,56700,56700,56700,-,26700
59,27/06/2022,55000,55000,55000,55000,2400,25900
60,28/06/2022,55400,55400,55400,55400,100,26100
61,29/06/2022,55400,55400,55400,55400,-,26100
62,30/06/2022,55400,55400,55400,55400,-,26100
63,01/07/2022,55400,55400,55400,55400,-,26100
64,04/07/2022,55400,55400,55400,55400,-,26100
65,05/07/2022,55400,55400,55400,55400,-,26100
66,06/07/2022,55400,55400,55400,55400,-,26100
67,07/07/2022,55400,55400,55400,55400,-,26100
68,08/07/2022,55400,55400,55400,55400,-,26100
69,11/07/2022,55400,55400,55400,55400,-,26100
70,12/07/2022,55400,55400,55400,55400,-,26100
71,13/07/2022,54000,54000,54000,54000,3300,25400
72,14/07/2022,57500,55500,57500,55500,1300,26100
73,15/07/2022,54100,54000,54100,54000,1000,25400
74,18/07/2022,54100,54000,54100,54100,933,25500
75,19/07/2022,54100,54100,54100,54100,-,25500
76,20/07/2022,51100,50000,50900,51000,8022,24000
77,21/07/2022,50700,50000,50700,50000,1700,23500
78,22/07/2022,50500,50500,50500,50500,900,23800
79,25/07/2022,50000,50000,50000,50000,100,23500
80,26/07/2022,50000,50000,50000,50000,1300,23500
81,27/07/2022,50000,50000,50000,50000,-,23500
82,28/07/2022,50000,50000,50000,50000,8000,23500
83,29/07/2022,50000,48500,50000,48500,5900,22800
84,01/08/2022,50900,49000,49400,50900,9705,24000
85,02/08/2022,50900,50000,50900,50200,2500,23600
86,03/08/2022,48000,48000,48000,48000,400,23800
87,04/08/2022,47000,45000,47000,45000,6200,22300
88,05/08/2022,45300,44800,45300,44800,4200,22200
89,08/08/2022,45000,45000,45000,45000,1800,22300
90,09/08/2022,45000,44100,45000,44100,2400,21900
91,10/08/2022,44900,44900,44900,44900,-,22300
92,11/08/2022,45000,44900,45000,44900,1600,22300
93,12/08/2022,45000,44900,45000,45000,10100,22300
94,15/08/2022,45000,45000,45000,45000,100,22300
95,16/08/2022,45800,45500,45500,45800,300,22700
96,17/08/2022,46000,45900,46000,45900,1000,22700
97,18/08/2022,46100,46000,46000,46100,2000,22800
98,19/08/2022,46300,46000,46100,46000,2800,22800
99,22/08/2022,46000,45500,46000,45500,2100,22500
100,23/08/2022,45500,45500,45500,45500,200,22500
101,24/08/2022,45500,45000,45500,45000,3400,22300
102,25/08/2022,46000,44600,45500,46000,12200,22800
103,26/08/2022,46500,45500,45500,46500,6213,23000
104,29/08/2022,46500,46200,46500,46200,200,22900
105,30/08/2022,49500,46400,46400,48200,3500,23900
106,31/08/2022,51000,50000,50000,51000,8200,25300
107,05/09/2022,51000,50900,51000,50900,500,25200
108,06/09/2022,50700,50700,50700,50700,100,25100
109,07/09/2022,50700,48000,50700,48000,7600,23800
110,08/09/2022,48500,48500,48500,48500,2000,24000
111,09/09/2022,48500,48500,48500,48500,-,24000
112,12/09/2022,49500,48500,48500,49000,9500,24300
113,13/09/2022,49500,49000,49500,49000,700,24300
114,14/09/2022,49000,49000,49000,49000,9814,24300
115,15/09/2022,49400,49000,49000,49000,7100,24300
116,16/09/2022,26400,26400,26400,26400,100,26400
117,19/09/2022,26400,25900,26400,25900,400,25900
118,20/09/2022,26000,26000,26000,26000,-,26000
119,21/09/2022,25900,25800,25900,25800,500,25800
120,22/09/2022,25900,25800,25800,25900,500,25900
121,23/09/2022,25900,25900,25900,25900,200,25900
122,26/09/2022,25900,25900,25900,25900,-,25900
123,27/09/2022,25900,25900,25900,25900,-,25900
124,28/09/2022,25900,25900,25900,25900,-,25900
125,29/09/2022,25900,25900,25900,25900,-,25900
126,30/09/2022,26000,26000,26000,26000,200,26000
127,03/10/2022,28800,26000,26000,28800,300,28800
128,04/10/2022,26900,26800,26900,26900,1500,26900
129,05/10/2022,26900,26900,26900,26900,201,26900
130,06/10/2022,26900,26800,26900,26800,400,26800
131,07/10/2022,28500,26900,26900,26900,500,26900
132,10/10/2022,27500,26900,27200,26900,400,26900
133,11/10/2022,27100,27100,27100,27100,-,27100
134,12/10/2022,27100,27100,27100,27100,-,27100
135,13/10/2022,27100,27100,27100,27100,-,27100
136,14/10/2022,27100,27100,27100,27100,-,27100
137,17/10/2022,27100,27100,27100,27100,-,27100
138,18/10/2022,25600,25600,25600,25600,500,25600
139,19/10/2022,25700,25700,25700,25700,400,25700
140,20/10/2022,26500,22100,22100,26000,22100,26000
141,21/10/2022,26000,24100,24100,25900,1600,25900
142,24/10/2022,26000,25900,26000,25900,3500,25900
143,25/10/2022,26000,22100,22100,25900,2600,25900
144,26/10/2022,26000,24000,24000,25000,1400,25000
145,27/10/2022,25800,22500,22500,25500,1400,25500
146,28/10/2022,23600,22600,22600,23600,200,23600
147,31/10/2022,24000,24000,24000,24000,600,24000
148,01/11/2022,25100,24000,24000,25100,1500,25100
149,02/11/2022,24300,24300,24300,24300,-,24300
150,03/11/2022,24300,24300,24300,24300,-,24300
151,04/11/2022,24300,24300,24300,24300,200,24300
152,07/11/2022,24500,22000,22000,24000,400,24000
153,08/11/2022,27100,24500,27100,24500,1000,24500
154,09/11/2022,24800,24800,24800,24800,-,24800
155,10/11/2022,28500,22000,28500,23000,2400,23000
156,11/11/2022,25000,22500,25000,22500,1800,22500
157,14/11/2022,26000,26000,26000,26000,100,26000
158,15/11/2022,22200,22100,22200,22100,1600,22100
159,16/11/2022,25400,23500,25400,23600,3100,23600
160,17/11/2022,23600,23600,23600,23600,-,23600
161,18/11/2022,23600,23600,23600,23600,-,23600
162,21/11/2022,23600,23600,23600,23600,-,23600
163,22/11/2022,23600,23600,23600,23600,400,23600
164,23/11/2022,23600,23600,23600,23600,100,23600
165,24/11/2022,23600,23600,23600,23600,-,23600
166,25/11/2022,23600,23500,23500,23600,7100,23600
167,28/11/2022,24900,23600,23600,23800,8200,23800
168,29/11/2022,27300,24000,27300,24000,1400,24000
169,30/11/2022,24800,24000,24000,24300,2200,24300
170,01/12/2022,24600,24600,24600,24600,100,24600
171,02/12/2022,24600,24600,24600,24600,-,24600
172,05/12/2022,24600,24600,24600,24600,5,24600
173,06/12/2022,23100,23100,23100,23100,2100,23100
174,07/12/2022,23100,23100,23100,23100,-,23100
175,08/12/2022,23100,23100,23100,23100,-,23100
176,09/12/2022,24000,23800,24000,23800,1500,23800
177,12/12/2022,24100,24100,24100,24100,600,24100
178,13/12/2022,24100,24100,24100,24100,1000,24100
179,14/12/2022,24300,24000,24000,24200,400,24200
180,15/12/2022,24800,24500,24800,24500,2600,24500
181,16/12/2022,23500,22500,22500,23500,210,23500
182,19/12/2022,22700,22700,22700,22700,100,22700
183,20/12/2022,22700,22700,22700,22700,-,22700
184,21/12/2022,22700,22700,22700,22700,-,22700
185,22/12/2022,23000,20300,22500,22600,2500,22600
186,23/12/2022,23000,20300,20300,23000,1100,23000
187,26/12/2022,23200,23000,23200,23000,1200,23000
188,27/12/2022,23000,23000,23000,23000,10,23000
189,28/12/2022,23000,23000,23000,23000,-,23000
190,29/12/2022,23000,23000,23000,23000,-,23000
191,30/12/2022,24000,23000,23000,24000,1000,24000
192,03/01/2023,24100,24100,24100,24100,2200,24100
193,04/01/2023,25100,24200,24200,25000,6900,25000
194,05/01/2023,28400,25000,28400,25000,214,25000
195,06/01/2023,24500,24500,24500,24500,600,24500
196,09/01/2023,24500,24500,24500,24500,600,24500
197,10/01/2023,24500,24300,24300,24500,200,24500
198,11/01/2023,24400,24400,24400,24400,7300,24400
199,12/01/2023,24000,24000,24000,24000,2000,24000
200,13/01/2023,24100,23000,23000,23800,5600,23800
201,16/01/2023,23800,23700,23800,23700,1410,23700
202,17/01/2023,27300,27300,27300,27300,79827,27300
203,18/01/2023,31300,31300,31300,31300,13748,31300
204,19/01/2023,35900,30200,35900,31500,24342,31500
205,27/01/2023,33000,31000,32500,31700,37304,31700
206,30/01/2023,32000,31100,31700,32000,6556,32000
207,31/01/2023,33500,31500,33500,31700,10503,31700
208,01/02/2023,32400,31700,31700,31700,19707,31700
209,02/02/2023,32300,31000,32300,31700,9505,31700
210,03/02/2023,31700,31500,31700,31700,3000,31700
211,06/02/2023,31400,31400,31400,31400,200,31400
212,07/02/2023,31400,31000,31400,31400,3100,31400
213,08/02/2023,31300,31300,31300,31300,6904,31300
214,09/02/2023,31700,31300,31400,31300,7800,31300
215,10/02/2023,31400,30500,30600,31400,8110,31400
216,13/02/2023,34900,30800,34900,30800,8200,30800
217,14/02/2023,31500,31000,31500,31000,505,31000
218,15/02/2023,31300,31000,31300,31000,1100,31000
219,16/02/2023,31200,31100,31200,31100,405,31100
220,17/02/2023,31100,31100,31100,31100,100,31100
221,20/02/2023,31500,30600,30600,31500,601,31500
222,21/02/2023,31500,30700,31000,31000,4700,31000
223,22/02/2023,31500,30600,30700,31500,6502,31500
224,23/02/2023,30500,30500,30500,30500,1100,30500
225,24/02/2023,30500,30500,30500,30500,8700,30500
226,27/02/2023,30400,30000,30400,30300,5500,30300
227,28/02/2023,30200,30000,30200,30000,2000,30000
228,01/03/2023,30500,30500,30500,30500,2200,30500
229,02/03/2023,31000,30500,30500,30500,26315,30500
230,03/03/2023,30200,30000,30100,30000,4900,30000
231,06/03/2023,30400,30400,30400,30400,110,30400
232,07/03/2023,33700,29100,33700,30300,6913,30300
233,08/03/2023,33000,29600,33000,30400,4200,30400
234,09/03/2023,30400,30100,30100,30300,1000,30300
235,10/03/2023,30300,30200,30300,30200,8400,30200
236,13/03/2023,29500,29400,29400,29500,1300,29500
237,14/03/2023,30100,30000,30000,30000,1400,30000
238,15/03/2023,32000,29700,32000,30000,13715,30000
239,16/03/2023,30000,29700,30000,30000,2400,30000
240,17/03/2023,29900,29900,29900,29900,100,29900
241,20/03/2023,29900,29600,29900,29600,7520,29600
242,21/03/2023,29800,29500,29800,29600,5600,29600
243,22/03/2023,30000,29500,30000,29500,2006,29500
244,23/03/2023,29700,29700,29700,29700,414,29700
245,24/03/2023,29800,29500,29700,29800,4430,29800
246,27/03/2023,29800,29600,29700,29600,8368,29600
247,28/03/2023,29600,29600,29600,29600,22901,29600
248,29/03/2023,29800,29600,29600,29800,1408,29800
249,30/03/2023,33900,29600,29900,29600,13100,29600
250,31/03/2023,29800,29800,29800,29800,-,29800
