,Date,High,Low,Open,Close,Volume,Adj Close
0,28/06/2021,26600,26600,26600,26600,1300,25800
1,29/06/2021,26600,26600,26600,26600,900,25800
2,30/06/2021,29900,26600,29900,26600,1004,25800
3,01/07/2021,25500,25200,25200,25500,2600,24800
4,02/07/2021,27600,25600,27600,25600,339,24900
5,05/07/2021,26000,25500,26000,25500,2100,24800
6,06/07/2021,26700,25500,26700,26000,22600,25300
7,07/07/2021,26100,25900,25900,26100,1000,25400
8,08/07/2021,26000,26000,26000,26000,-,25300
9,09/07/2021,25100,25000,25000,25000,7700,24300
10,12/07/2021,25200,24900,25200,24900,10700,24200
11,13/07/2021,24900,24900,24900,24900,-,24200
12,14/07/2021,23500,23500,23500,23500,500,22800
13,15/07/2021,23500,21200,23500,21200,4104,20600
14,16/07/2021,24600,23000,23000,24600,1800,23900
15,19/07/2021,26400,24000,24000,26400,1100,25600
16,20/07/2021,26100,26100,26100,26100,100,25400
17,21/07/2021,26000,26000,26000,26000,2000,25300
18,22/07/2021,26200,26000,26000,26000,10300,25300
19,23/07/2021,26000,26000,26000,26000,-,25300
20,26/07/2021,25700,23000,23000,25700,2300,25000
21,27/07/2021,25300,25300,25300,25300,-,24600
22,28/07/2021,25100,24100,24200,25100,2800,24400
23,29/07/2021,25300,24000,24000,25300,2304,24600
24,30/07/2021,25200,25100,25100,25200,600,24500
25,02/08/2021,25100,25100,25100,25100,2000,24400
26,03/08/2021,25800,24000,24000,25000,12400,24300
27,04/08/2021,25000,24500,24800,24600,7900,23900
28,05/08/2021,26500,24400,26500,24400,1300,23700
29,06/08/2021,25600,22200,22200,24500,2100,23800
30,09/08/2021,25000,24500,24500,25000,5310,24300
31,10/08/2021,24900,24900,24900,24900,500,24200
32,11/08/2021,25200,25000,25000,25000,13500,24300
33,12/08/2021,25000,24900,24900,25000,5100,24300
34,13/08/2021,25100,25000,25000,25000,7300,24300
35,16/08/2021,25400,24000,24000,25000,1700,24300
36,17/08/2021,24800,24500,24500,24700,5510,24000
37,18/08/2021,24800,24800,24800,24800,-,24100
38,19/08/2021,25600,25000,25500,25500,5700,24800
39,20/08/2021,24500,24500,24500,24500,500,23800
40,23/08/2021,24500,24500,24500,24500,-,23800
41,24/08/2021,24000,24000,24000,24000,6000,23300
42,25/08/2021,24000,24000,24000,24000,1200,23300
43,26/08/2021,25900,23800,25900,23800,900,23100
44,27/08/2021,24000,24000,24000,24000,500,23300
45,30/08/2021,24000,24000,24000,24000,1500,23300
46,31/08/2021,25000,23800,23800,25000,2900,24300
47,01/09/2021,24300,24200,24300,24200,4400,23500
48,06/09/2021,27800,24800,24800,27800,22500,27000
49,07/09/2021,28000,27000,27500,27500,11100,26700
50,08/09/2021,27500,27500,27500,27500,-,26700
51,09/09/2021,27500,27500,27500,27500,-,26700
52,10/09/2021,27500,27500,27500,27500,3201,26700
53,13/09/2021,29000,29000,29000,29000,800,28200
54,14/09/2021,28200,26500,26500,28200,1500,27400
55,15/09/2021,26500,26000,26500,26100,1101,25400
56,16/09/2021,28000,26000,26000,27900,1600,27100
57,17/09/2021,27900,27000,27900,27500,8000,26700
58,20/09/2021,27400,27400,27400,27400,-,26600
59,21/09/2021,28900,28000,28900,28000,2300,27200
60,22/09/2021,28000,27300,28000,27300,1900,26500
61,23/09/2021,28000,28000,28000,28000,3100,27200
62,24/09/2021,26900,25000,26500,25000,8100,24300
63,27/09/2021,26500,26500,26500,26500,900,25700
64,28/09/2021,26500,26500,26500,26500,-,25700
65,29/09/2021,27000,26900,26900,27000,1800,26200
66,30/09/2021,30900,27400,27400,30900,60500,30000
67,01/10/2021,33600,31000,31000,32000,130900,31100
68,04/10/2021,33400,33400,33400,33400,-,32400
69,05/10/2021,33400,33400,33400,33400,2500,32400
70,06/10/2021,33400,33400,33400,33400,900,32400
71,07/10/2021,33300,33200,33300,33200,600,32300
72,08/10/2021,29600,29600,29600,29600,4000,28800
73,11/10/2021,27800,27000,27000,27000,1900,26200
74,12/10/2021,31000,29900,29900,30000,3200,29100
75,13/10/2021,30300,30300,30300,30300,200,29400
76,14/10/2021,30000,29100,29100,30000,20300,29100
77,15/10/2021,32800,29000,29400,30500,16188500,29600
78,18/10/2021,30600,30600,30600,30600,7800,29700
79,19/10/2021,30600,30600,30600,30600,-,29700
80,20/10/2021,35100,30600,35100,30600,1100,29700
81,21/10/2021,35600,34900,35600,34900,200,33900
82,22/10/2021,34900,31000,34900,31000,3400,30100
83,25/10/2021,35000,30500,35000,30500,600,29600
84,26/10/2021,34900,30400,34900,30400,8000,29500
85,27/10/2021,30700,29600,30600,30700,20000,29800
86,28/10/2021,34300,29600,34300,31900,10300,31000
87,29/10/2021,31400,31200,31400,31400,4300,30500
88,01/11/2021,32500,27500,27500,32500,5100,31600
89,02/11/2021,31500,31000,31400,31400,5300,30500
90,03/11/2021,30400,29600,29600,30300,30200,29400
91,04/11/2021,32100,32000,32000,32000,72300,31100
92,05/11/2021,33000,32700,32800,33000,10800,32100
93,08/11/2021,37700,33000,37700,33000,4400,32100
94,09/11/2021,38000,30000,38000,36000,9600,35000
95,10/11/2021,40500,32000,40500,38500,165300,37400
96,11/11/2021,38800,36500,38400,38800,91600,37700
97,12/11/2021,38600,38100,38500,38600,29700,37500
98,15/11/2021,38500,38200,38400,38200,7400,37100
99,16/11/2021,38400,38400,38400,38400,-,37300
100,17/11/2021,38000,36000,37800,37200,29900,36100
101,18/11/2021,37500,36000,36000,37500,300,36400
102,19/11/2021,42500,37500,42500,37500,400,36400
103,22/11/2021,44500,33200,44500,38700,24900,37600
104,23/11/2021,34100,34100,34100,34100,-,33100
105,24/11/2021,34900,34800,34800,34900,200,33900
106,25/11/2021,35000,35000,35000,35000,900,34000
107,26/11/2021,40200,34900,40200,34900,11500,33900
108,29/11/2021,35000,35000,35000,35000,100,34000
109,30/11/2021,37000,36200,37000,36200,200,35200
110,01/12/2021,41000,36500,36500,41000,13200,39800
111,02/12/2021,37800,36800,36800,37800,400,36700
112,03/12/2021,38500,37400,37500,38200,17600,37100
113,06/12/2021,38300,34600,34600,38300,28300,37200
114,07/12/2021,39000,39000,39000,39000,1300,37900
115,08/12/2021,39000,39000,39000,39000,300,37900
116,09/12/2021,39000,39000,39000,39000,-,37900
117,10/12/2021,44700,43000,44700,43000,18000,41800
118,13/12/2021,40000,40000,40000,40000,400,38900
119,14/12/2021,40000,40000,40000,40000,900,38900
120,15/12/2021,40000,38000,40000,39000,700,37900
121,16/12/2021,41000,41000,41000,41000,200,39800
122,17/12/2021,40000,40000,40000,40000,100,38900
