,Date,High,Low,Open,Close,Volume,Adj Close
0,10/10/2023,18600,18600,18600,18600,-,17600
1,11/10/2023,19500,19500,19500,19500,1100,18400
2,12/10/2023,19500,19500,19500,19500,-,18400
3,13/10/2023,19500,19500,19500,19500,-,18400
4,16/10/2023,22300,22300,22300,22300,100,21100
5,17/10/2023,22300,22300,22300,22300,-,21100
6,18/10/2023,22300,22300,22300,22300,-,21100
7,19/10/2023,22300,22300,22300,22300,-,21100
8,20/10/2023,22300,22300,22300,22300,-,21100
9,23/10/2023,22300,22300,22300,22300,-,21100
10,24/10/2023,23900,23900,23900,23900,100,22600
11,25/10/2023,23900,23900,23900,23900,-,22600
12,26/10/2023,23900,23900,23900,23900,-,22600
13,27/10/2023,23900,23900,23900,23900,-,22600
14,30/10/2023,23900,23900,23900,23900,-,22600
15,31/10/2023,23900,23900,23900,23900,-,22600
16,01/11/2023,23900,23900,23900,23900,-,22600
17,02/11/2023,21000,20500,21000,20500,600,19400
18,03/11/2023,20000,20000,20000,20000,500,18900
19,06/11/2023,20000,20000,20000,20000,-,18900
20,07/11/2023,20000,20000,20000,20000,-,18900
21,08/11/2023,20000,20000,20000,20000,-,18900
22,09/11/2023,20000,20000,20000,20000,-,18900
23,10/11/2023,17200,17200,17200,17200,100,16200
24,13/11/2023,17200,17200,17200,17200,-,16200
25,14/11/2023,19700,19700,19700,19700,700,18600
26,15/11/2023,19700,19700,19700,19700,-,18600
27,16/11/2023,19700,19700,19700,19700,-,18600
28,17/11/2023,19700,19700,19700,19700,-,18600
29,20/11/2023,19700,19700,19700,19700,-,18600
30,21/11/2023,19700,19700,19700,19700,-,18600
31,22/11/2023,21500,21500,21500,21500,100,20300
32,23/11/2023,21500,21500,21500,21500,-,20300
33,24/11/2023,21500,21500,21500,21500,-,20300
34,27/11/2023,21500,21500,21500,21500,100,20300
35,28/11/2023,21000,20000,21000,20000,2000,18900
36,29/11/2023,20800,20800,20800,20800,-,19600
37,30/11/2023,21000,21000,21000,21000,1000,19800
38,01/12/2023,21000,21000,21000,21000,-,19800
39,04/12/2023,21000,21000,21000,21000,-,19800
40,05/12/2023,20300,20000,20300,20000,4500,18900
41,06/12/2023,20000,20000,20000,20000,-,18900
42,07/12/2023,20000,20000,20000,20000,6000,18900
43,08/12/2023,20000,20000,20000,20000,8300,18900
44,11/12/2023,20000,20000,20000,20000,-,18900
45,12/12/2023,20000,20000,20000,20000,4800,18900
46,13/12/2023,18600,18600,18600,18600,100,17600
47,14/12/2023,18600,18600,18600,18600,-,17600
48,15/12/2023,20500,20500,20500,20500,2300,19400
49,18/12/2023,20500,20500,20500,20500,300,19400
50,19/12/2023,20500,20500,20500,20500,-,19400
51,20/12/2023,20500,20500,20500,20500,-,19400
52,21/12/2023,18600,18600,18600,18600,100,17600
53,22/12/2023,18600,18600,18600,18600,-,17600
54,25/12/2023,20500,20500,20500,20500,3100,19400
55,26/12/2023,20000,20000,20000,20000,4000,18900
56,27/12/2023,20000,20000,20000,20000,-,18900
57,28/12/2023,20000,20000,20000,20000,100,18900
58,29/12/2023,20000,20000,20000,20000,-,18900
59,02/01/2024,20000,20000,20000,20000,-,18900
60,03/01/2024,20000,20000,20000,20000,-,18900
61,04/01/2024,20000,20000,20000,20000,3200,18900
62,05/01/2024,20000,20000,20000,20000,-,18900
