,Date,High,Low,Open,Close,Volume,Adj Close
0,17/05/2023,15000,15000,15000,15000,-,14500
1,18/05/2023,15000,15000,15000,15000,-,14500
2,19/05/2023,15000,15000,15000,15000,-,14500
3,22/05/2023,15000,15000,15000,15000,-,14500
4,23/05/2023,15000,15000,15000,15000,-,14500
5,24/05/2023,15000,15000,15000,15000,-,14500
6,25/05/2023,15000,15000,15000,15000,-,14500
7,26/05/2023,15000,15000,15000,15000,-,14500
8,29/05/2023,15000,15000,15000,15000,-,14500
9,30/05/2023,15000,15000,15000,15000,-,14500
10,31/05/2023,15000,15000,15000,15000,-,14500
11,01/06/2023,15000,15000,15000,15000,-,14500
12,02/06/2023,15000,15000,15000,15000,-,14500
13,05/06/2023,15000,15000,15000,15000,-,14500
14,06/06/2023,15000,15000,15000,15000,-,14500
15,07/06/2023,15000,15000,15000,15000,-,14500
16,08/06/2023,15000,15000,15000,15000,-,14500
17,09/06/2023,15000,15000,15000,15000,-,14500
18,12/06/2023,15000,15000,15000,15000,-,14500
19,13/06/2023,15000,15000,15000,15000,-,14500
20,14/06/2023,15000,15000,15000,15000,-,14500
21,15/06/2023,15000,15000,15000,15000,-,14500
22,16/06/2023,15000,15000,15000,15000,-,14500
23,19/06/2023,15000,15000,15000,15000,-,14500
24,20/06/2023,15000,15000,15000,15000,-,14500
25,21/06/2023,15000,15000,15000,15000,-,14500
26,22/06/2023,15000,15000,15000,15000,-,14500
27,23/06/2023,15000,15000,15000,15000,-,14500
28,26/06/2023,20000,20000,20000,20000,100,19400
29,27/06/2023,20000,20000,20000,20000,-,19400
30,28/06/2023,20000,20000,20000,20000,-,19400
31,29/06/2023,20000,20000,20000,20000,10900,19400
32,30/06/2023,20000,20000,20000,20000,-,19400
33,03/07/2023,20000,20000,20000,20000,-,19400
34,04/07/2023,20000,20000,20000,20000,-,19400
35,05/07/2023,20000,20000,20000,20000,247097,19400
36,06/07/2023,20000,20000,20000,20000,-,19400
37,07/07/2023,17000,17000,17000,17000,25000,16500
38,10/07/2023,17000,17000,17000,17000,-,16500
39,11/07/2023,17000,17000,17000,17000,-,16500
40,12/07/2023,17000,17000,17000,17000,-,16500
41,13/07/2023,17000,17000,17000,17000,-,16500
42,14/07/2023,17000,17000,17000,17000,-,16500
43,17/07/2023,17000,17000,17000,17000,-,16500
44,18/07/2023,17000,17000,17000,17000,-,16500
45,19/07/2023,17000,17000,17000,17000,-,16500
46,20/07/2023,17000,17000,17000,17000,-,16500
47,21/07/2023,17000,17000,17000,17000,-,16500
48,24/07/2023,17000,17000,17000,17000,-,16500
49,25/07/2023,17000,17000,17000,17000,-,16500
50,26/07/2023,17000,17000,17000,17000,-,16500
51,27/07/2023,17000,17000,17000,17000,-,16500
52,28/07/2023,17000,17000,17000,17000,-,16500
53,31/07/2023,17000,17000,17000,17000,-,16500
54,01/08/2023,17000,17000,17000,17000,-,16500
55,02/08/2023,17000,17000,17000,17000,-,16500
56,03/08/2023,17000,17000,17000,17000,-,16500
57,04/08/2023,17000,17000,17000,17000,-,16500
58,07/08/2023,17000,17000,17000,17000,-,16500
59,08/08/2023,17000,17000,17000,17000,-,16500
60,09/08/2023,17000,17000,17000,17000,-,16500
61,10/08/2023,17000,17000,17000,17000,-,16500
62,11/08/2023,17000,17000,17000,17000,-,16500
63,14/08/2023,17000,17000,17000,17000,-,16500
64,15/08/2023,17000,17000,17000,17000,-,16500
65,16/08/2023,17000,17000,17000,17000,-,16500
66,17/08/2023,17000,17000,17000,17000,-,16500
67,18/08/2023,17000,17000,17000,17000,-,16500
68,21/08/2023,17000,17000,17000,17000,-,16500
69,22/08/2023,17000,17000,17000,17000,-,16500
70,23/08/2023,17000,17000,17000,17000,-,16500
71,24/08/2023,17000,17000,17000,17000,-,16500
72,25/08/2023,17000,17000,17000,17000,-,16500
73,28/08/2023,17000,17000,17000,17000,-,16500
74,29/08/2023,17000,17000,17000,17000,-,16500
