,Date,High,Low,Open,Close,Volume,Adj Close
0,19/10/2022,16500,16000,16500,16000,1179,15700
1,20/10/2022,16500,16500,16500,16500,-,16200
2,21/10/2022,16500,16500,16500,16500,-,16200
3,24/10/2022,16500,16500,16500,16500,-,16200
4,25/10/2022,15000,15000,15000,15000,200,14700
5,26/10/2022,15000,15000,15000,15000,-,14700
6,27/10/2022,15000,15000,15000,15000,-,14700
7,28/10/2022,15000,15000,15000,15000,3050,14700
8,31/10/2022,15000,15000,15000,15000,20,14700
9,01/11/2022,15000,15000,15000,15000,-,14700
10,02/11/2022,15000,15000,15000,15000,-,14700
11,03/11/2022,15000,15000,15000,15000,-,14700
12,04/11/2022,15000,15000,15000,15000,-,14700
13,07/11/2022,15000,15000,15000,15000,-,14700
14,08/11/2022,15000,15000,15000,15000,-,14700
15,09/11/2022,15000,15000,15000,15000,-,14700
16,10/11/2022,15000,15000,15000,15000,-,14700
17,11/11/2022,15000,15000,15000,15000,-,14700
18,14/11/2022,15000,15000,15000,15000,-,14700
19,15/11/2022,13100,13000,13100,13000,1500,12700
20,16/11/2022,13100,13100,13100,13100,-,12800
21,17/11/2022,13100,13100,13100,13100,-,12800
22,18/11/2022,14000,14000,14000,14000,100,13700
23,21/11/2022,14000,14000,14000,14000,200,13700
24,22/11/2022,14000,14000,14000,14000,-,13700
25,23/11/2022,14000,14000,14000,14000,-,13700
26,24/11/2022,14000,14000,14000,14000,-,13700
27,25/11/2022,14000,14000,14000,14000,500,13700
28,28/11/2022,14000,14000,14000,14000,200,13700
29,29/11/2022,14000,14000,14000,14000,200,13700
30,30/11/2022,14000,14000,14000,14000,-,13700
31,01/12/2022,14300,14300,14300,14300,1000,14000
32,02/12/2022,14000,14000,14000,14000,1001,13700
33,05/12/2022,14000,14000,14000,14000,700,13700
34,06/12/2022,14000,14000,14000,14000,-,13700
35,07/12/2022,14000,14000,14000,14000,-,13700
36,08/12/2022,14000,14000,14000,14000,1000,13700
37,09/12/2022,14000,14000,14000,14000,1019,13700
38,12/12/2022,14000,14000,14000,14000,-,13700
39,13/12/2022,14000,14000,14000,14000,6400,13700
40,14/12/2022,14500,14500,14500,14500,3000,14200
41,15/12/2022,14500,14500,14500,14500,-,14200
42,16/12/2022,14500,14500,14500,14500,-,14200
43,19/12/2022,12500,12500,12500,12500,100,12300
44,20/12/2022,14300,13200,13200,14300,800,14000
45,21/12/2022,14500,14500,14500,14500,800,14200
46,22/12/2022,14500,14500,14500,14500,100,14200
47,23/12/2022,15000,15000,15000,15000,20600,14700
48,26/12/2022,15000,15000,15000,15000,2800,14700
49,27/12/2022,15000,15000,15000,15000,-,14700
50,28/12/2022,15000,15000,15000,15000,4800,14700
51,29/12/2022,15000,15000,15000,15000,-,14700
52,30/12/2022,15000,15000,15000,15000,-,14700
53,03/01/2023,15000,15000,15000,15000,-,14700
54,04/01/2023,15000,15000,15000,15000,-,14700
55,05/01/2023,15000,15000,15000,15000,-,14700
56,06/01/2023,12800,12800,12800,12800,100,12500
57,09/01/2023,14700,14700,14700,14700,6600,14400
58,10/01/2023,15900,12500,12500,15000,3300,14700
59,11/01/2023,15000,15000,15000,15000,-,14700
60,12/01/2023,15000,15000,15000,15000,-,14700
61,13/01/2023,15000,15000,15000,15000,-,14700
62,16/01/2023,15000,15000,15000,15000,-,14700
63,17/01/2023,15000,14900,14900,15000,10000,14700
64,18/01/2023,15200,15200,15200,15200,100,14900
65,19/01/2023,15400,15200,15200,15400,6200,15100
66,27/01/2023,15000,15000,15000,15000,1000,14700
67,30/01/2023,15000,15000,15000,15000,36700,14700
68,31/01/2023,15000,15000,15000,15000,31400,14700
69,01/02/2023,15000,14800,15000,15000,4700,14700
70,02/02/2023,14900,14900,14900,14900,-,14600
71,03/02/2023,14900,14900,14900,14900,-,14600
72,06/02/2023,15000,15000,15000,15000,100,14700
73,07/02/2023,14800,14800,14800,14800,100,14500
74,08/02/2023,14800,14800,14800,14800,-,14500
75,09/02/2023,14800,14800,14800,14800,-,14500
76,10/02/2023,14800,14800,14800,14800,-,14500
77,13/02/2023,14800,14800,14800,14800,100,14500
78,14/02/2023,14800,14800,14800,14800,-,14500
79,15/02/2023,14800,14800,14800,14800,-,14500
80,16/02/2023,14800,14800,14800,14800,-,14500
81,17/02/2023,14800,14800,14800,14800,-,14500
82,20/02/2023,14500,14500,14500,14500,100,14200
83,21/02/2023,14500,14500,14500,14500,-,14200
84,22/02/2023,14500,14500,14500,14500,2200,14200
85,23/02/2023,15200,15000,15000,15100,2500,14800
86,24/02/2023,15000,14900,14900,15000,43900,14700
87,27/02/2023,14300,13300,14300,13300,600,13000
88,28/02/2023,14000,14000,14000,14000,37900,13700
89,01/03/2023,13100,13100,13100,13100,100,12800
90,02/03/2023,13100,13100,13100,13100,-,12800
91,03/03/2023,13100,13100,13100,13100,-,12800
92,06/03/2023,13100,13100,13100,13100,-,12800
93,07/03/2023,13100,13100,13100,13100,-,12800
94,08/03/2023,13100,13100,13100,13100,-,12800
95,09/03/2023,13100,13100,13100,13100,-,12800
96,10/03/2023,13100,13100,13100,13100,-,12800
97,13/03/2023,13100,13100,13100,13100,-,12800
98,14/03/2023,13100,13100,13100,13100,-,12800
99,15/03/2023,13100,13100,13100,13100,-,12800
100,16/03/2023,13100,13100,13100,13100,-,12800
101,17/03/2023,13100,13100,13100,13100,-,12800
102,20/03/2023,13100,13100,13100,13100,-,12800
103,21/03/2023,13100,13100,13100,13100,-,12800
104,22/03/2023,14800,14800,14800,14800,700,14500
105,23/03/2023,15000,15000,15000,15000,100,14700
106,24/03/2023,15000,15000,15000,15000,-,14700
107,27/03/2023,15000,15000,15000,15000,-,14700
108,28/03/2023,15000,15000,15000,15000,-,14700
109,29/03/2023,15000,15000,15000,15000,-,14700
110,30/03/2023,15000,15000,15000,15000,-,14700
111,31/03/2023,15000,15000,15000,15000,-,14700
112,03/04/2023,15000,15000,15000,15000,69500,14700
113,04/04/2023,15000,15000,15000,15000,49500,14700
114,05/04/2023,15000,15000,15000,15000,16700,14700
115,06/04/2023,15000,15000,15000,15000,-,14700
116,07/04/2023,15000,15000,15000,15000,-,14700
117,10/04/2023,15000,12800,12800,15000,200,14700
118,11/04/2023,11900,11900,11900,11900,100,11700
119,12/04/2023,11900,11900,11900,11900,-,11700
120,13/04/2023,13600,13600,13600,13600,1348,13300
121,14/04/2023,15600,15000,15600,15000,800,14700
122,17/04/2023,13200,13200,13200,13200,100,12900
123,18/04/2023,13200,13200,13200,13200,500,12900
124,19/04/2023,13200,13200,13200,13200,-,12900
125,20/04/2023,15100,14500,14500,15100,15248,14800
126,21/04/2023,14700,14700,14700,14700,-,14400
127,24/04/2023,14700,14700,14700,14700,-,14400
128,25/04/2023,14700,14700,14700,14700,-,14400
129,26/04/2023,14700,14700,14700,14700,-,14400
130,27/04/2023,14700,14700,14700,14700,-,14400
131,28/04/2023,14700,14700,14700,14700,-,14400
132,04/05/2023,14700,14700,14700,14700,-,14400
133,05/05/2023,14700,14700,14700,14700,-,14400
134,08/05/2023,15000,15000,15000,15000,2000,14700
135,09/05/2023,15000,15000,15000,15000,303,14700
136,10/05/2023,15000,15000,15000,15000,-,14700
137,11/05/2023,15000,15000,15000,15000,-,14700
138,12/05/2023,15000,15000,15000,15000,45,14700
139,15/05/2023,15000,15000,15000,15000,-,14700
140,16/05/2023,14000,12800,12900,14000,8900,13700
141,17/05/2023,15100,15000,15000,15100,300,14800
142,18/05/2023,14500,14000,14000,14500,2300,14200
143,19/05/2023,15000,14500,14500,15000,2900,14700
144,22/05/2023,14700,14700,14700,14700,-,14400
145,23/05/2023,14700,14700,14700,14700,200,14400
146,24/05/2023,14700,14700,14700,14700,-,14400
147,25/05/2023,14700,14700,14700,14700,-,14400
148,26/05/2023,14700,14700,14700,14700,-,14400
149,29/05/2023,14700,14700,14700,14700,-,14400
150,30/05/2023,14700,14700,14700,14700,-,14400
151,31/05/2023,14700,14700,14700,14700,-,14400
152,01/06/2023,14700,14700,14700,14700,-,14400
153,02/06/2023,13500,13000,13000,13500,40000,13200
154,05/06/2023,13300,13300,13300,13300,-,13000
155,06/06/2023,14300,14300,14300,14300,20000,14000
156,07/06/2023,13300,13300,13300,13300,100,13000
157,08/06/2023,13300,13300,13300,13300,-,13000
158,09/06/2023,13400,13300,13400,13300,1000,13000
159,12/06/2023,13400,13400,13400,13300,2,13100
160,13/06/2023,13400,13400,13400,13400,-,13100
161,14/06/2023,13400,13400,13400,13300,3,13100
162,15/06/2023,15000,14500,14500,15000,1600,14700
163,16/06/2023,14800,14800,14800,14800,-,14500
164,19/06/2023,14800,14800,14800,14800,-,14500
165,20/06/2023,14800,14800,14800,14800,-,14500
166,21/06/2023,14800,14800,14800,14800,-,14500
167,22/06/2023,14800,14800,14800,15000,1,14500
168,23/06/2023,14800,14800,14800,14800,-,14500
169,26/06/2023,14800,14800,14800,15000,14,14500
170,27/06/2023,13200,13100,13100,13200,8500,12900
171,28/06/2023,13500,13300,13500,13300,9500,13000
172,29/06/2023,13300,13300,13300,13300,-,13000
173,30/06/2023,13300,13300,13300,13300,-,13000
174,03/07/2023,13300,13300,13300,13300,2,13000
175,04/07/2023,13300,13300,13300,13300,-,13000
176,05/07/2023,13300,13300,13300,13300,-,13000
177,06/07/2023,13300,13300,13300,13300,-,13000
178,07/07/2023,13300,13300,13300,13300,-,13000
179,10/07/2023,15000,15000,15000,15000,9722,14700
180,11/07/2023,15000,15000,15000,15000,500,14700
181,12/07/2023,15000,15000,15000,15000,-,14700
182,13/07/2023,15000,15000,15000,15000,-,14700
183,14/07/2023,15500,15000,15000,15500,701,15200
184,17/07/2023,15500,15100,15100,15500,1406,15200
185,18/07/2023,15500,15000,15000,15500,7800,15200
186,19/07/2023,15500,15500,15500,15500,1000,15200
187,20/07/2023,15500,15500,15500,15500,2401,15200
188,21/07/2023,15500,15500,15500,15500,5000,15200
189,24/07/2023,15400,15400,15400,15400,201,15100
190,25/07/2023,15500,15400,15400,15500,3500,15200
191,26/07/2023,15500,15500,15500,15500,-,15200
192,27/07/2023,15500,15500,15500,15500,-,15200
193,28/07/2023,15400,15400,15400,15400,2000,15100
194,31/07/2023,15600,15400,15600,15400,22100,15100
195,01/08/2023,15300,15300,15300,15300,3000,15000
196,02/08/2023,15300,15300,15300,15300,-,15000
197,03/08/2023,15300,15300,15300,15300,-,15000
198,04/08/2023,15300,15300,15300,15300,-,15000
199,07/08/2023,15300,15300,15300,15300,-,15000
200,08/08/2023,15200,15200,15200,15200,100,14900
201,09/08/2023,15200,15200,15200,15200,-,14900
