,Date,High,Low,Open,Close,Volume,Adj Close
0,05/05/2021,10300,10300,10300,10300,-,10200
1,06/05/2021,10300,10300,10300,10300,-,10200
2,07/05/2021,10300,10300,10300,10300,-,10200
3,10/05/2021,10300,10300,10300,10300,-,10200
4,11/05/2021,10300,10300,10300,10300,-,10200
5,12/05/2021,10300,10300,10300,10300,-,10200
6,13/05/2021,10200,10200,10200,10200,-,10200
7,14/05/2021,10200,10200,10200,10200,-,10200
8,17/05/2021,10200,10200,10200,10200,-,10200
9,18/05/2021,10200,10200,10200,10200,-,10200
10,19/05/2021,10200,10200,10200,10200,-,10200
11,20/05/2021,10200,10200,10200,10200,-,10200
12,21/05/2021,10200,10200,10200,10200,-,10200
13,24/05/2021,10200,10200,10200,10200,-,10200
14,25/05/2021,10200,10200,10200,10200,-,10200
15,26/05/2021,10200,10200,10200,10200,-,10200
16,27/05/2021,10200,10200,10200,10200,-,10200
17,28/05/2021,10200,10200,10200,10200,-,10200
18,31/05/2021,10200,10200,10200,10200,-,10200
19,01/06/2021,10200,10200,10200,10200,-,10200
20,02/06/2021,10200,10200,10200,10200,-,10200
21,03/06/2021,10200,10200,10200,10200,-,10200
22,04/06/2021,10200,10200,10200,10200,-,10200
23,07/06/2021,10200,10200,10200,10200,-,10200
24,08/06/2021,10200,10200,10200,10200,-,10200
25,09/06/2021,10200,10200,10200,10200,-,10200
26,10/06/2021,10200,10200,10200,10200,-,10200
27,11/06/2021,10200,10200,10200,10200,-,10200
28,14/06/2021,10200,10200,10200,10200,-,10200
29,15/06/2021,10200,10200,10200,10200,-,10200
30,16/06/2021,10200,10200,10200,10200,-,10200
31,17/06/2021,10200,10200,10200,10200,-,10200
32,18/06/2021,10200,10200,10200,10200,-,10200
33,21/06/2021,10200,10200,10200,10200,-,10200
34,22/06/2021,10200,10200,10200,10200,-,10200
35,23/06/2021,10200,10200,10200,10200,-,10200
36,24/06/2021,10200,10200,10200,10200,-,10200
37,25/06/2021,10200,10200,10200,10200,-,10200
38,28/06/2021,10200,10200,10200,10200,-,10200
39,29/06/2021,10200,10200,10200,10200,-,10200
40,30/06/2021,10200,10200,10200,10200,-,10200
41,01/07/2021,10200,10200,10200,10200,-,10200
42,02/07/2021,10200,10200,10200,10200,-,10200
43,05/07/2021,10200,10200,10200,10200,-,10200
44,06/07/2021,10200,10200,10200,10200,-,10200
45,07/07/2021,10200,10200,10200,10200,-,10200
46,08/07/2021,10200,10200,10200,10200,-,10200
47,09/07/2021,10200,10200,10200,10200,-,10200
48,12/07/2021,10200,10200,10200,10200,-,10200
49,13/07/2021,10200,10200,10200,10200,-,10200
50,14/07/2021,10200,10200,10200,10200,-,10200
51,15/07/2021,10200,10200,10200,10200,-,10200
52,16/07/2021,10200,10200,10200,10200,-,10200
53,19/07/2021,10200,10200,10200,10200,-,10200
54,20/07/2021,10200,10200,10200,10200,-,10200
55,21/07/2021,10200,10200,10200,10200,-,10200
56,22/07/2021,10200,10200,10200,10200,-,10200
57,23/07/2021,10200,10200,10200,10200,-,10200
58,26/07/2021,10200,10200,10200,10200,-,10200
59,27/07/2021,10200,10200,10200,10200,-,10200
60,28/07/2021,10200,10200,10200,10200,-,10200
61,29/07/2021,10200,10200,10200,10200,-,10200
62,30/07/2021,10200,10200,10200,10200,-,10200
63,02/08/2021,10200,10200,10200,10200,-,10200
64,03/08/2021,10200,10200,10200,10200,-,10200
65,04/08/2021,10200,10200,10200,10200,-,10200
66,05/08/2021,10200,10200,10200,10200,-,10200
67,06/08/2021,10200,10200,10200,10200,-,10200
68,09/08/2021,10200,10200,10200,10200,-,10200
69,10/08/2021,10200,10200,10200,10200,-,10200
70,11/08/2021,10200,10200,10200,10200,-,10200
71,12/08/2021,10200,10200,10200,10200,-,10200
72,13/08/2021,10200,10200,10200,10200,-,10200
73,16/08/2021,10200,10200,10200,10200,-,10200
74,17/08/2021,10200,10200,10200,10200,-,10200
75,18/08/2021,10200,10200,10200,10200,-,10200
76,19/08/2021,10200,10200,10200,10200,-,10200
77,20/08/2021,10200,10200,10200,10200,-,10200
78,23/08/2021,10200,10200,10200,10200,-,10200
79,24/08/2021,10200,10200,10200,10200,-,10200
80,25/08/2021,10200,10200,10200,10200,-,10200
81,26/08/2021,10200,10200,10200,10200,-,10200
82,27/08/2021,10200,10200,10200,10200,-,10200
83,30/08/2021,10200,10200,10200,10200,-,10200
84,31/08/2021,10200,10200,10200,10200,-,10200
85,01/09/2021,10200,10200,10200,10200,-,10200
