,Date,High,Low,Open,Close,Volume,Adj Close
0,14/06/2022,12000,12000,12000,12000,-,11200
1,15/06/2022,12000,12000,12000,12000,-,11200
2,16/06/2022,12000,12000,12000,12000,-,11200
3,17/06/2022,12000,12000,12000,12000,-,11200
4,20/06/2022,12000,12000,12000,12000,-,11200
5,21/06/2022,12000,12000,12000,12000,-,11200
6,22/06/2022,12000,12000,12000,12000,-,11200
7,23/06/2022,12000,12000,12000,12000,-,11200
8,24/06/2022,12100,12000,12100,12000,200,11200
9,27/06/2022,12100,12100,12100,12100,-,11300
10,28/06/2022,12100,12100,12100,12100,-,11300
11,29/06/2022,12100,12100,12100,12100,-,11300
12,30/06/2022,11000,11000,11000,11000,2500,10300
13,01/07/2022,11000,11000,11000,11000,-,10300
14,04/07/2022,11000,11000,11000,11000,-,10300
15,05/07/2022,11000,11000,11000,11000,3500,10300
16,06/07/2022,11000,11000,11000,11000,-,10300
17,07/07/2022,11000,11000,11000,11000,-,10300
18,08/07/2022,11000,11000,11000,11000,-,10300
19,11/07/2022,11000,11000,11000,11000,-,10300
20,12/07/2022,11000,11000,11000,11000,3500,10300
21,13/07/2022,11000,11000,11000,11000,-,10300
22,14/07/2022,11000,11000,11000,11000,-,10300
23,15/07/2022,11000,11000,11000,11000,-,10300
24,18/07/2022,11000,11000,11000,11000,-,10300
25,19/07/2022,11000,11000,11000,11000,110000,10300
26,20/07/2022,11000,11000,11000,11000,559000,10300
27,21/07/2022,11000,11000,11000,11000,210700,10300
28,22/07/2022,11000,11000,11000,11000,-,10300
29,25/07/2022,11000,11000,11000,11000,-,10300
30,26/07/2022,11000,11000,11000,11000,-,10300
31,27/07/2022,11000,11000,11000,11000,-,10300
32,28/07/2022,11000,11000,11000,11000,-,10300
33,29/07/2022,11000,11000,11000,11000,-,10300
34,01/08/2022,11000,11000,11000,11000,-,10300
35,02/08/2022,11000,11000,11000,11000,-,10300
36,03/08/2022,11000,11000,11000,11000,-,10300
37,04/08/2022,11000,11000,11000,11000,-,10300
38,05/08/2022,11000,11000,11000,11000,-,10300
39,08/08/2022,11000,11000,11000,11000,-,10300
40,09/08/2022,11000,11000,11000,11000,-,10300
41,10/08/2022,11000,11000,11000,11000,-,10300
42,11/08/2022,11000,11000,11000,11000,-,10300
43,12/08/2022,11000,11000,11000,11000,-,10300
44,15/08/2022,11000,11000,11000,11000,-,10300
45,16/08/2022,11000,11000,11000,11000,-,10300
46,17/08/2022,12500,12500,12500,12500,800,11700
47,18/08/2022,12500,12500,12500,12500,-,11700
48,19/08/2022,12500,12500,12500,12500,-,11700
49,22/08/2022,12500,12500,12500,12500,-,11700
50,23/08/2022,12500,12500,12500,12500,-,11700
51,24/08/2022,12500,12500,12500,12500,-,11700
52,25/08/2022,12500,12500,12500,12500,-,11700
53,26/08/2022,12500,12500,12500,12500,-,11700
54,29/08/2022,12500,12500,12500,12500,-,11700
55,30/08/2022,12500,12500,12500,12500,-,11700
