Date,High,Low,Open,Close,Volume,Adj Close
28/12/2018,10000,10000,10000.0,10000,-,6800
02/01/2019,10000,10000,10000.0,10000,-,6800
03/01/2019,10000,10000,10000.0,10000,-,6800
04/01/2019,10000,10000,10000.0,10000,-,6800
07/01/2019,10000,10000,10000.0,10000,-,6800
08/01/2019,10000,10000,10000.0,10000,-,6800
09/01/2019,10000,10000,10000.0,10000,-,6800
10/01/2019,10000,10000,10000.0,10000,-,6800
11/01/2019,10000,10000,10000.0,10000,-,6800
14/01/2019,10000,10000,10000.0,10000,-,6800
15/01/2019,10000,10000,10000.0,10000,-,6800
16/01/2019,10000,10000,10000.0,10000,-,6800
17/01/2019,10000,10000,10000.0,10000,-,6800
18/01/2019,10000,10000,10000.0,10000,-,6800
21/01/2019,10000,10000,10000.0,10000,-,6800
22/01/2019,10000,10000,10000.0,10000,-,6800
23/01/2019,10000,10000,10000.0,10000,-,6800
24/01/2019,10000,10000,10000.0,10000,-,6800
25/01/2019,10000,10000,10000.0,10000,-,6800
28/01/2019,10000,10000,10000.0,10000,-,6800
29/01/2019,10000,10000,10000.0,10000,-,6800
30/01/2019,10000,10000,10000.0,10000,-,6800
31/01/2019,10000,10000,10000.0,10000,-,6800
01/02/2019,10000,10000,10000.0,10000,-,-
11/02/2019,10000,10000,10000.0,10000,-,6800
12/02/2019,10000,10000,10000.0,10000,-,6800
13/02/2019,10000,10000,10000.0,10000,-,6800
14/02/2019,10000,10000,10000.0,10000,-,6800
15/02/2019,10000,10000,10000.0,10000,-,6800
18/02/2019,10000,10000,10000.0,10000,-,6800
19/02/2019,10000,10000,10000.0,10000,-,6800
20/02/2019,10000,10000,10000.0,10000,-,6800
21/02/2019,10000,10000,10000.0,10000,-,6800
22/02/2019,10000,10000,10000.0,10000,-,6800
25/02/2019,10000,10000,10000.0,10000,-,6800
26/02/2019,10000,10000,10000.0,10000,-,6800
27/02/2019,10000,10000,10000.0,10000,-,6800
28/02/2019,10000,10000,10000.0,10000,-,6800
01/03/2019,10000,10000,10000.0,10000,-,6800
04/03/2019,10000,10000,10000.0,10000,-,6800
05/03/2019,10000,10000,10000.0,10000,-,6800
06/03/2019,10000,10000,10000.0,10000,-,6800
07/03/2019,10000,10000,10000.0,10000,-,6800
08/03/2019,10000,10000,10000.0,10000,-,6800
11/03/2019,10000,10000,10000.0,10000,-,6800
12/03/2019,10000,10000,10000.0,10000,-,6800
13/03/2019,10000,10000,10000.0,10000,-,6800
14/03/2019,10000,10000,10000.0,10000,-,6800
15/03/2019,10000,10000,10000.0,10000,-,6800
18/03/2019,10000,10000,10000.0,10000,-,6800
19/03/2019,10000,10000,10000.0,10000,-,6800
20/03/2019,10000,10000,10000.0,10000,-,6800
21/03/2019,10000,10000,10000.0,10000,-,-
22/03/2019,10000,10000,10000.0,10000,-,-
25/03/2019,10000,10000,10000.0,10000,-,-
26/03/2019,10000,10000,10000.0,10000,-,-
27/03/2019,10000,10000,10000.0,10000,-,-
28/03/2019,10000,10000,10000.0,10000,-,-
29/03/2019,10000,10000,10000.0,10000,-,-
01/04/2019,10000,10000,10000.0,10000,-,-
02/04/2019,10000,10000,10000.0,10000,-,-
03/04/2019,10000,10000,10000.0,10000,-,-
04/04/2019,10000,10000,10000.0,10000,-,-
05/04/2019,10000,10000,10000.0,10000,-,-
08/04/2019,10000,10000,10000.0,10000,-,-
09/04/2019,10000,10000,10000.0,10000,-,-
10/04/2019,10000,10000,10000.0,10000,-,-
11/04/2019,10000,10000,10000.0,10000,-,-
12/04/2019,10000,10000,10000.0,10000,-,-
16/04/2019,10000,10000,10000.0,10000,-,-
17/04/2019,10000,10000,10000.0,10000,-,-
18/04/2019,10000,10000,10000.0,10000,-,-
19/04/2019,10000,10000,10000.0,10000,-,-
22/04/2019,10000,10000,10000.0,10000,-,-
23/04/2019,10000,10000,10000.0,10000,-,-
24/04/2019,10000,10000,10000.0,10000,-,-
25/04/2019,10000,10000,10000.0,10000,-,-
26/04/2019,10000,10000,10000.0,10000,-,-
02/05/2019,10000,10000,10000.0,10000,-,-
03/05/2019,10000,10000,10000.0,10000,-,-
06/05/2019,10000,10000,10000.0,10000,-,-
07/05/2019,10000,10000,10000.0,10000,-,-
08/05/2019,10000,10000,10000.0,10000,-,-
09/05/2019,10000,10000,10000.0,10000,-,-
10/05/2019,10000,10000,10000.0,10000,-,-
13/05/2019,10000,10000,10000.0,10000,-,-
14/05/2019,9500,9500,9500.0,9500,-,-
15/05/2019,9500,9500,9500.0,9500,-,-
16/05/2019,9500,9500,9500.0,9500,-,-
17/05/2019,9500,9500,9500.0,9500,-,-
20/05/2019,9500,9500,9500.0,9500,-,-
21/05/2019,9500,9500,9500.0,9500,-,-
22/05/2019,9500,9500,9500.0,9500,-,-
23/05/2019,9500,9500,9500.0,9500,-,-
24/05/2019,9500,9500,9500.0,9500,-,-
27/05/2019,9500,9500,9500.0,9500,-,-
28/05/2019,9500,9500,9500.0,9500,-,-
29/05/2019,9500,9500,9500.0,9500,-,-
30/05/2019,9500,9500,9500.0,9500,-,-
31/05/2019,9500,9500,9500.0,9500,-,-
03/06/2019,9500,9500,9500.0,9500,-,-
04/06/2019,9500,9500,9500.0,9500,-,-
05/06/2019,9500,9500,9500.0,9500,-,-
06/06/2019,9500,9500,9500.0,9500,-,-
07/06/2019,9500,9500,9500.0,9500,-,-
10/06/2019,9500,9500,9500.0,9500,-,-
