Date,High,Low,Open,Close,Volume,Adj Close
23/06/2010,52000,42000,50000.0,48000,105800,35100
24/06/2010,48000,44000,47000.0,44000,48900,32200
25/06/2010,41400,41200,41200.0,41200,28300,30100
28/06/2010,38500,38400,38400.0,38400,20100,28100
29/06/2010,41000,35800,35800.0,40200,236700,29400
30/06/2010,40000,37000,37000.0,39000,77800,28500
01/07/2010,39500,39100,39200.0,39500,16800,28900
02/07/2010,38600,37100,38600.0,37500,16500,27400
05/07/2010,37500,35700,37000.0,36400,32800,26600
06/07/2010,36000,35000,35700.0,35500,89200,26000
07/07/2010,37000,35300,35600.0,35600,30800,26000
08/07/2010,38000,35400,35500.0,37900,151700,27700
09/07/2010,39000,36500,39000.0,37000,24400,27100
12/07/2010,37000,35700,35700.0,36100,16200,26400
13/07/2010,36900,36100,36100.0,36900,26400,27000
14/07/2010,37000,36000,36300.0,36300,79100,26500
15/07/2010,37500,36000,36000.0,37000,44500,27100
16/07/2010,37400,36400,37400.0,37000,7000,27100
19/07/2010,36800,34500,36000.0,34500,63800,25200
20/07/2010,36000,34600,36000.0,35000,15700,25600
21/07/2010,35500,34700,35500.0,35400,30500,25900
22/07/2010,35100,33700,35100.0,33800,21200,24700
23/07/2010,35200,33000,35200.0,33800,20300,24700
26/07/2010,35500,32400,34000.0,33200,42800,24300
27/07/2010,33900,31000,33900.0,31000,23500,22700
28/07/2010,30500,29400,30500.0,29400,20900,21500
29/07/2010,30500,28400,30000.0,30100,7400,22000
30/07/2010,30500,29500,29900.0,29500,17600,21600
02/08/2010,31900,30000,30000.0,31900,70400,23300
03/08/2010,33400,31800,33300.0,31800,70800,23300
04/08/2010,34000,31000,34000.0,31600,31000,23100
05/08/2010,34000,32000,32300.0,32000,22600,23400
06/08/2010,32000,31000,31100.0,32000,39600,23400
09/08/2010,33400,29300,33400.0,29600,48700,21600
10/08/2010,28800,28700,28700.0,28700,11700,21000
11/08/2010,29600,26800,29600.0,28700,24400,21000
12/08/2010,28500,26900,28500.0,26900,35000,19700
13/08/2010,28300,25300,28300.0,25500,74400,18600
16/08/2010,27800,25000,27800.0,27800,54600,20300
17/08/2010,28400,25400,28400.0,26800,23700,19600
18/08/2010,26700,25000,26700.0,25000,33200,18300
19/08/2010,25200,24000,24000.0,24500,38700,17900
20/08/2010,25800,23700,24600.0,24000,35900,17600
23/08/2010,25300,25300,25300.0,25300,10000,18500
24/08/2010,23700,23600,23700.0,23600,6900,17300
25/08/2010,23600,22000,22000.0,22000,7100,16100
26/08/2010,23000,20700,23000.0,20700,59900,15100
27/08/2010,20500,19600,20500.0,19600,16800,14300
30/08/2010,20700,18400,18400.0,20700,136000,15100
31/08/2010,21000,20000,20000.0,21000,46000,15400
01/09/2010,22300,20800,22300.0,22300,54000,16300
06/09/2010,23700,20700,23200.0,23700,99700,17300
07/09/2010,24600,23000,24600.0,24600,74800,18000
08/09/2010,25600,24000,25600.0,25600,126600,18700
09/09/2010,27200,27200,27200.0,27200,7400,19900
10/09/2010,29100,26500,29100.0,27100,127400,19800
13/09/2010,28000,26900,28000.0,26900,40900,19700
14/09/2010,27000,25100,26500.0,25700,138400,18800
15/09/2010,25500,24100,25500.0,24700,36700,18100
16/09/2010,26400,24700,24700.0,26400,55800,19300
17/09/2010,27400,27000,27400.0,27400,74600,20000
20/09/2010,29300,26600,29200.0,28000,48100,20500
21/09/2010,28500,26500,28300.0,26500,50400,19400
22/09/2010,27400,26000,26300.0,26500,20900,19400
23/09/2010,26600,24900,26600.0,25100,50900,18400
24/09/2010,26500,25100,25500.0,25300,20200,18500
27/09/2010,26600,25000,25500.0,25500,45900,18600
28/09/2010,26000,25500,25600.0,25500,21000,18600
