,Date,High,Low,Open,Close,Volume,Adj Close
0,01/07/2016,10000,10000,-,10000,-,8400
1,04/07/2016,10000,10000,-,10000,-,8400
2,05/07/2016,10000,10000,10000.0,10000,-,8400
3,06/07/2016,10000,10000,-,10000,-,8400
4,07/07/2016,10000,10000,-,10000,-,8400
5,08/07/2016,10000,10000,-,10000,-,8400
6,11/07/2016,10000,10000,-,10000,-,8400
7,12/07/2016,10000,10000,-,10000,-,8400
8,13/07/2016,10000,10000,-,10000,-,8400
9,14/07/2016,10000,10000,-,10000,-,8400
10,15/07/2016,10000,10000,-,10000,-,8400
11,18/07/2016,10000,10000,-,10000,-,8400
12,19/07/2016,10000,10000,-,10000,-,8400
13,20/07/2016,10000,10000,-,10000,-,8400
14,21/07/2016,10000,10000,-,10000,-,8400
15,22/07/2016,10000,10000,-,10000,-,8400
16,25/07/2016,10000,10000,-,10000,-,8400
17,26/07/2016,10000,10000,-,10000,-,8400
18,27/07/2016,10000,10000,-,10000,-,8400
19,28/07/2016,10000,10000,-,10000,-,8400
20,29/07/2016,10000,10000,-,10000,-,8400
21,01/08/2016,10000,10000,-,10000,-,8400
22,02/08/2016,10000,10000,-,10000,-,8400
23,03/08/2016,10000,10000,-,10000,-,8400
24,04/08/2016,10000,10000,-,10000,-,8400
25,05/08/2016,10000,10000,-,10000,-,8400
26,08/08/2016,10000,10000,-,10000,-,8400
27,09/08/2016,10000,10000,-,10000,-,8400
28,10/08/2016,10000,10000,-,10000,-,8400
29,11/08/2016,10000,10000,-,10000,-,8400
30,12/08/2016,10000,10000,-,10000,-,8400
31,15/08/2016,10000,10000,-,10000,-,8400
32,16/08/2016,10000,10000,-,10000,-,8400
33,17/08/2016,10000,10000,-,10000,-,8400
34,18/08/2016,10000,10000,-,10000,-,8400
35,19/08/2016,10000,10000,-,10000,-,8400
36,22/08/2016,10000,10000,-,10000,-,8400
37,24/08/2016,10000,10000,-,10000,-,8400
38,25/08/2016,10000,10000,-,10000,-,8400
39,26/08/2016,10000,10000,-,10000,-,8400
40,29/08/2016,10000,10000,-,10000,-,8400
41,30/08/2016,10000,10000,-,10000,-,8400
42,31/08/2016,10000,10000,-,10000,-,8400
43,01/09/2016,10000,10000,-,10000,-,8400
44,05/09/2016,10000,10000,-,10000,-,8400
45,06/09/2016,10000,10000,-,10000,-,8400
46,07/09/2016,10000,10000,-,10000,-,8400
47,08/09/2016,10000,10000,-,10000,-,8400
48,09/09/2016,10000,10000,-,10000,-,8400
49,12/09/2016,10000,10000,-,10000,-,8400
50,13/09/2016,10000,10000,-,10000,-,8400
51,14/09/2016,10000,10000,-,10000,-,8400
52,15/09/2016,10000,10000,-,10000,-,8400
53,16/09/2016,10200,10200,10200.0,10200,15900,8500
54,19/09/2016,10200,10200,-,10200,-,8500
55,20/09/2016,10200,10200,-,10200,-,8500
56,21/09/2016,10200,10200,-,10200,-,8500
57,22/09/2016,10200,10200,-,10200,-,8500
58,23/09/2016,10200,10200,-,10200,-,8500
59,26/09/2016,10200,10200,-,10200,-,8500
60,27/09/2016,10200,10200,-,10200,-,8500
61,28/09/2016,10200,10200,-,10200,-,8500
62,29/09/2016,10200,10200,-,10200,-,8500
63,30/09/2016,10200,10200,-,10200,-,8500
64,03/10/2016,10200,10200,10200.0,10200,-,8500
65,04/10/2016,10200,10200,10200.0,10200,-,8500
66,05/10/2016,10200,10200,10200.0,10200,-,8500
67,06/10/2016,10200,10200,10200.0,10200,-,8500
68,07/10/2016,10200,10200,10200.0,10200,-,8500
69,10/10/2016,10200,10200,10200.0,10200,-,8500
70,11/10/2016,10200,10200,10200.0,10200,-,8500
71,12/10/2016,10200,10200,10200.0,10200,-,8500
72,13/10/2016,10200,10200,10200.0,10200,-,8500
73,14/10/2016,10200,10200,10200.0,10200,-,8500
74,17/10/2016,10200,10200,-,10200,-,8500
75,18/10/2016,10200,10200,10200.0,10200,-,8500
76,19/10/2016,10200,10200,10200.0,10200,-,8500
77,20/10/2016,10200,10200,10200.0,10200,-,8500
78,21/10/2016,10200,10200,10200.0,10200,-,8500
79,24/10/2016,10200,10200,10200.0,10200,-,8500
80,25/10/2016,10200,10200,10200.0,10200,-,8500
81,26/10/2016,10200,10200,10200.0,10200,-,8500
82,27/10/2016,10200,10200,10200.0,10200,-,8500
83,28/10/2016,10200,10200,10200.0,10200,-,8500
84,31/10/2016,10200,10200,10200.0,10200,-,8500
85,01/11/2016,10200,10200,10200.0,10200,-,8500
86,02/11/2016,10200,10200,10200.0,10200,-,8500
87,03/11/2016,10500,10500,10500.0,10500,1000,8800
88,04/11/2016,10500,10500,10500.0,10500,-,8800
89,07/11/2016,10500,10500,10500.0,10500,-,8800
90,08/11/2016,10500,10500,10500.0,10500,-,8800
91,09/11/2016,10500,10500,10500.0,10500,-,8800
92,10/11/2016,10500,10500,10500.0,10500,-,8800
93,11/11/2016,10500,10500,10500.0,10500,-,8800
94,14/11/2016,10500,10500,10500.0,10500,-,8800
95,15/11/2016,10500,10500,10500.0,10500,-,8800
96,16/11/2016,10500,10500,10500.0,10500,-,8800
97,17/11/2016,10500,10500,10500.0,10500,-,8800
98,18/11/2016,10500,10500,10500.0,10500,-,8800
99,21/11/2016,10500,10500,10500.0,10500,-,8800
100,22/11/2016,10500,10500,10500.0,10500,-,8800
101,23/11/2016,10500,10500,10500.0,10500,-,8800
102,24/11/2016,10500,10500,10500.0,10500,-,8800
103,25/11/2016,10500,10500,10500.0,10500,-,8800
104,28/11/2016,10500,10500,10500.0,10500,-,8800
105,29/11/2016,10500,10500,10500.0,10500,-,8800
106,30/11/2016,10500,10500,10500.0,10500,-,8800
107,01/12/2016,10500,10500,10500.0,10500,-,8800
108,02/12/2016,10500,10500,10500.0,10500,-,8800
109,05/12/2016,10500,10500,-,10500,-,8800
110,06/12/2016,10500,10500,-,10500,-,8800
111,07/12/2016,10500,10500,-,10500,-,8800
112,08/12/2016,10500,10500,-,10500,-,8800
113,09/12/2016,10500,10500,-,10500,-,8800
114,12/12/2016,10500,10500,-,10500,-,8800
115,13/12/2016,10500,10500,-,10500,-,8800
116,14/12/2016,10500,10500,-,10500,-,8800
117,15/12/2016,10500,10500,-,10500,-,8800
118,16/12/2016,10500,10500,-,10500,-,8800
119,19/12/2016,10500,10500,-,10500,-,8800
120,20/12/2016,10500,10500,10500.0,10500,3200,8800
121,21/12/2016,10500,10500,-,10500,-,8800
122,22/12/2016,10500,10500,-,10500,-,8800
123,23/12/2016,10500,10500,-,10500,-,8800
124,26/12/2016,10500,10500,-,10500,-,8800
125,27/12/2016,10500,10500,-,10500,-,8800
126,28/12/2016,10500,10500,-,10500,-,8800
127,29/12/2016,10500,10500,-,10500,-,8800
128,30/12/2016,10500,10500,-,10500,-,8800
129,03/01/2017,10500,10500,10500.0,10500,-,8800
130,04/01/2017,10500,10500,10500.0,10500,-,8800
131,05/01/2017,10500,10500,10500.0,10500,-,8800
132,06/01/2017,10500,10500,-,10500,-,8800
133,09/01/2017,10500,10500,-,10500,-,8800
134,10/01/2017,10500,10500,-,10500,-,8800
135,11/01/2017,10500,10500,-,10500,-,8800
136,12/01/2017,10500,10500,-,10500,-,8800
137,13/01/2017,10500,10500,-,10500,-,8800
138,16/01/2017,10500,10500,-,10500,-,8800
139,17/01/2017,10500,10500,-,10500,-,8800
140,18/01/2017,10500,10500,-,10500,-,8800
141,19/01/2017,10500,10500,-,10500,-,8800
142,20/01/2017,10500,10500,-,10500,-,8800
143,23/01/2017,10500,10500,-,10500,-,8800
144,24/01/2017,10500,10500,-,10500,-,8800
145,25/01/2017,10500,10500,-,10500,-,8800
146,02/02/2017,10500,10500,-,10500,-,8800
147,03/02/2017,10500,10500,-,10500,-,8800
148,06/02/2017,10500,10500,-,10500,-,8800
149,07/02/2017,10500,10500,-,10500,-,8800
150,08/02/2017,10500,10500,-,10500,-,8800
151,09/02/2017,10500,10500,-,10500,-,8800
152,10/02/2017,10500,10500,-,10500,-,8800
153,13/02/2017,10500,10500,-,10500,-,8800
154,14/02/2017,10500,10500,-,10500,-,8800
155,15/02/2017,10500,10500,-,10500,-,8800
156,16/02/2017,10500,10500,-,10500,-,8800
157,17/02/2017,10500,10500,-,10500,-,8800
158,20/02/2017,10500,10500,-,10500,-,8800
159,21/02/2017,10500,10500,-,10500,-,8800
160,22/02/2017,10500,10500,-,10500,-,8800
161,23/02/2017,10500,10500,-,10500,-,8800
162,24/02/2017,10500,10500,-,10500,-,8800
163,27/02/2017,10500,10500,-,10500,-,8800
164,28/02/2017,10500,10500,-,10500,-,8800
165,01/03/2017,10500,10500,-,10500,-,8800
166,02/03/2017,10500,10500,-,10500,-,8800
167,03/03/2017,10500,10500,-,10500,-,8800
168,06/03/2017,10500,10500,-,10500,-,8800
169,07/03/2017,10500,10500,-,10500,-,8800
170,08/03/2017,10500,10500,-,10500,-,8800
171,09/03/2017,10500,10500,-,10500,-,8800
172,10/03/2017,10500,10500,-,10500,-,8800
173,13/03/2017,10500,10500,-,10500,-,8800
174,14/03/2017,10500,10500,-,10500,-,8800
175,15/03/2017,10500,10500,-,10500,-,8800
176,16/03/2017,10500,10500,-,10500,-,8800
177,17/03/2017,10500,10500,-,10500,-,8800
178,20/03/2017,10500,10500,-,10500,-,8800
179,21/03/2017,10500,10500,-,10500,-,8800
