,Date,High,Low,Open,Close,Volume,Adj Close
1010,24/11/2017,10200.0,10200.0,,10200,-,9200
1009,27/11/2017,10200.0,10200.0,,10200,-,9200
1008,28/11/2017,10200.0,10200.0,,10200,-,9200
1007,29/11/2017,10200.0,10200.0,,10200,-,9200
1006,30/11/2017,10200.0,10200.0,,10200,-,9200
1005,01/12/2017,10200.0,10200.0,,10200,-,9200
1004,04/12/2017,10200.0,10200.0,,10200,-,9200
1003,05/12/2017,10200.0,10200.0,,10200,-,9200
1002,06/12/2017,10200.0,10200.0,,10200,-,9200
1001,07/12/2017,10200.0,10200.0,,10200,-,9200
1000,08/12/2017,10200.0,10200.0,,10200,-,9200
999,11/12/2017,10200.0,10200.0,,10200,-,9200
998,12/12/2017,10200.0,10200.0,,10200,-,9200
997,13/12/2017,10200.0,10200.0,,10200,-,9200
996,14/12/2017,10200.0,10200.0,,10200,-,9200
995,15/12/2017,10200.0,10200.0,,10200,-,9200
994,18/12/2017,10200.0,10200.0,,10200,-,9200
993,19/12/2017,10200.0,10200.0,,10200,-,9200
992,20/12/2017,10200.0,10200.0,,10200,-,9200
991,21/12/2017,10200.0,10200.0,,10200,-,9200
990,22/12/2017,10200.0,10200.0,,10200,-,9200
989,25/12/2017,10200.0,10200.0,,10200,-,9200
988,26/12/2017,10200.0,10200.0,10200.0,10200,-,9200
987,27/12/2017,10200.0,10200.0,,10200,-,9200
986,28/12/2017,10200.0,10200.0,,10200,-,9200
985,29/12/2017,10200.0,10200.0,,10200,-,9200
984,02/01/2018,10200.0,10200.0,,10200,-,9200
983,03/01/2018,10200.0,10200.0,,10200,-,9200
982,04/01/2018,10200.0,10200.0,,10200,-,9200
981,05/01/2018,10200.0,10200.0,,10200,-,9200
980,08/01/2018,10200.0,10200.0,,10200,-,9200
979,09/01/2018,10200.0,10200.0,,10200,-,9200
978,10/01/2018,10200.0,10200.0,,10200,-,9200
977,11/01/2018,10200.0,10200.0,,10200,-,9200
976,12/01/2018,10200.0,10200.0,,10200,-,9200
975,15/01/2018,10200.0,10200.0,,10200,-,9200
974,16/01/2018,10200.0,10200.0,,10200,-,9200
973,17/01/2018,10200.0,10200.0,,10200,-,9200
972,18/01/2018,10200.0,10200.0,,10200,-,9200
971,19/01/2018,10200.0,10200.0,,10200,-,9200
970,22/01/2018,10200.0,10200.0,,10200,-,9200
969,23/01/2018,10200.0,10200.0,,10200,-,9200
968,24/01/2018,10200.0,10200.0,,10200,-,9200
967,25/01/2018,10200.0,10200.0,,10200,-,9200
966,26/01/2018,10200.0,10200.0,10200.0,10200,-,9200
965,29/01/2018,10200.0,10200.0,,10200,-,9200
964,30/01/2018,10200.0,10200.0,,10200,-,9200
963,31/01/2018,10200.0,10200.0,,10200,-,9200
962,01/02/2018,10200.0,10200.0,,10200,-,9200
961,02/02/2018,10200.0,10200.0,,10200,-,9200
960,05/02/2018,10200.0,10200.0,,10200,-,9200
959,06/02/2018,10200.0,10200.0,,10200,-,9200
958,07/02/2018,10200.0,10200.0,,10200,-,9200
957,08/02/2018,10200.0,10200.0,10200.0,10200,-,9200
956,09/02/2018,10200.0,10200.0,,10200,-,-
955,12/02/2018,10200.0,10200.0,,10200,-,9200
954,13/02/2018,10200.0,10200.0,,10200,-,-
953,21/02/2018,10200.0,10200.0,,10200,-,-
952,22/02/2018,10200.0,10200.0,10200.0,10200,-,9200
951,23/02/2018,10200.0,10200.0,,10200,-,9200
950,26/02/2018,10200.0,10200.0,,10200,-,9200
949,27/02/2018,10200.0,10200.0,,10200,-,9200
948,28/02/2018,10200.0,10200.0,,10200,-,-
947,01/03/2018,10200.0,10200.0,,10200,-,9200
946,02/03/2018,10200.0,10200.0,10200.0,10200,-,9200
945,05/03/2018,10200.0,10200.0,,10200,-,9200
944,06/03/2018,10200.0,10200.0,,10200,-,9200
943,07/03/2018,10200.0,10200.0,,10200,-,9200
942,08/03/2018,10200.0,10200.0,,10200,-,9200
941,09/03/2018,10200.0,10200.0,,10200,-,9200
940,12/03/2018,10200.0,10200.0,,10200,-,9200
939,13/03/2018,10200.0,10200.0,,10200,-,9200
938,14/03/2018,10200.0,10200.0,,10200,-,9200
937,15/03/2018,10200.0,10200.0,,10200,-,9200
936,16/03/2018,10200.0,10200.0,,10200,-,9200
935,19/03/2018,10200.0,10200.0,,10200,-,9200
934,20/03/2018,10200.0,10200.0,,10200,-,9200
933,21/03/2018,10200.0,10200.0,,10200,-,9200
