,Date,High,Low,Open,Close,Volume,Adj Close
0,08/04/2015,10000,5400,9000.0,10000,21800,9200
1,09/04/2015,5200,5200,5200.0,5200,205000,4800
2,10/04/2015,5200,5200,5200.0,5200,-,4800
3,13/04/2015,5200,5200,5200.0,5200,-,4800
4,14/04/2015,5200,5200,5200.0,5200,-,4800
5,15/04/2015,5200,5200,5200.0,5200,-,4800
6,16/04/2015,5500,5300,5300.0,5300,11000,4900
7,17/04/2015,5900,5900,5900.0,5900,3000,5400
8,20/04/2015,5900,5900,5900.0,5900,-,5400
9,21/04/2015,6300,6300,6300.0,6300,3000,5800
10,22/04/2015,6900,5700,5700.0,6900,25100,6300
11,23/04/2015,6900,6900,6900.0,6900,-,6300
12,24/04/2015,6900,6900,6900.0,6900,-,6300
13,27/04/2015,7400,7400,7400.0,7400,100,6800
14,04/05/2015,7700,6700,6700.0,7700,200,7100
15,05/05/2015,7700,7700,7700.0,7700,100,7100
16,06/05/2015,7800,7000,7000.0,7800,200,7100
17,07/05/2015,6800,6800,6800.0,6800,2600,6200
18,08/05/2015,6200,6200,6200.0,6200,75100,5700
19,11/05/2015,5600,5600,5600.0,5600,100,5100
20,12/05/2015,6100,6100,6100.0,6100,100,5600
21,13/05/2015,5800,5500,5500.0,5800,600,5300
22,14/05/2015,6300,5800,6300.0,5800,10000,5300
23,15/05/2015,5600,5600,5600.0,5600,500,5100
24,18/05/2015,6100,6100,6100.0,6100,100,5600
25,19/05/2015,6700,5500,5500.0,6700,159400,6100
26,20/05/2015,7000,7000,7000.0,7000,28000,6400
27,21/05/2015,7000,7000,7000.0,7000,25000,6400
28,22/05/2015,7000,7000,7000.0,7000,-,6400
29,25/05/2015,7000,6500,6500.0,7000,5000,6400
30,26/05/2015,7000,7000,7000.0,7000,1000,6400
31,27/05/2015,7300,7200,7200.0,7300,2100,6700
32,28/05/2015,7600,7400,7400.0,7600,3000,7000
33,29/05/2015,7600,7600,7600.0,7600,1000,7000
34,01/06/2015,7700,7700,7700.0,7700,2000,7100
35,02/06/2015,7900,7800,7800.0,7800,15000,7100
36,03/06/2015,8000,7600,8000.0,7600,10000,7000
37,04/06/2015,8000,7500,7500.0,8000,51500,7300
38,05/06/2015,8300,8000,8000.0,8300,35100,7600
39,08/06/2015,8500,8300,8300.0,8500,38400,7800
40,09/06/2015,9200,9000,9200.0,9000,200,8200
41,10/06/2015,9100,9100,9100.0,9100,-,8200
42,11/06/2015,8600,8400,8600.0,8400,5500,7700
43,12/06/2015,8400,8200,8400.0,8400,21600,7700
44,15/06/2015,8400,8300,8300.0,8400,16000,7700
45,16/06/2015,8500,8500,8500.0,8500,128000,7800
46,17/06/2015,8600,8600,8600.0,8600,500,7900
47,18/06/2015,8700,8500,8700.0,8500,8800,7800
48,19/06/2015,8600,8600,8600.0,8600,7000,7900
49,22/06/2015,8700,8600,8600.0,8700,16400,8000
50,23/06/2015,8800,8800,8800.0,8800,5100,8100
51,24/06/2015,8700,8700,8700.0,8700,2500,8000
52,25/06/2015,8700,8700,8700.0,8700,-,8000
53,26/06/2015,9000,9000,9000.0,9000,100,8200
54,29/06/2015,9000,9000,9000.0,9000,-,8200
55,30/06/2015,8500,8500,8500.0,8500,4600,7800
56,01/07/2015,8600,8500,8500.0,8600,6100,7900
57,02/07/2015,8600,8500,8600.0,8600,124500,7900
58,03/07/2015,8600,8500,8600.0,8500,2200,7800
59,06/07/2015,8500,8500,8500.0,8500,9700,7800
60,07/07/2015,8500,8500,8500.0,8500,13000,7800
61,08/07/2015,8500,8400,8500.0,8500,30500,7800
62,09/07/2015,8400,8300,8300.0,8300,10400,7600
63,10/07/2015,8500,8400,8400.0,8500,12000,7800
64,13/07/2015,8500,8500,8500.0,8500,1500,7800
65,14/07/2015,8500,8500,8500.0,8500,1100,7800
66,15/07/2015,8500,8500,8500.0,8500,-,7800
67,16/07/2015,8400,7300,7300.0,8400,3600,7700
68,17/07/2015,8500,8300,8300.0,8500,8900,7500
69,20/07/2015,8400,8400,8400.0,8400,-,7800
70,21/07/2015,8600,8400,8400.0,8500,19700,7800
71,22/07/2015,8500,8500,8500.0,8500,60000,7800
72,23/07/2015,7500,7500,7500.0,7500,100,6900
73,24/07/2015,7500,7500,7500.0,7500,-,6900
74,27/07/2015,7500,7500,7500.0,7500,-,6900
75,28/07/2015,7100,7100,7100.0,7100,100,6500
76,29/07/2015,7100,7100,7100.0,7100,-,6500
77,30/07/2015,7100,7100,7100.0,7100,-,6500
78,31/07/2015,8100,8100,8100.0,8100,1800,7400
79,03/08/2015,7200,7200,7200.0,7200,100,6600
80,04/08/2015,7200,7200,7200.0,7200,-,6600
81,05/08/2015,7200,7200,7200.0,7200,-,6600
82,06/08/2015,7200,7200,7200.0,7200,-,6600
83,07/08/2015,8200,8200,8200.0,8200,5000,7500
84,10/08/2015,8500,7000,7000.0,8500,13600,7800
85,11/08/2015,8500,7300,7300.0,8500,29200,7800
86,12/08/2015,8500,8500,8500.0,8500,36000,7800
87,13/08/2015,8500,7300,7300.0,8500,8200,7800
88,14/08/2015,8500,8500,8500.0,8500,4500,7800
89,17/08/2015,8300,8300,8300.0,8300,5000,7600
90,18/08/2015,8300,8300,8300.0,8300,-,7600
91,19/08/2015,8300,8300,8300.0,8300,-,7600
92,20/08/2015,8300,8300,8300.0,8300,-,7600
93,21/08/2015,8300,8300,8300.0,8300,-,7600
94,24/08/2015,8300,8300,8300.0,8300,-,7600
95,25/08/2015,8400,8300,8300.0,8400,60000,7700
96,27/08/2015,8600,8500,8500.0,8600,79600,7900
97,28/08/2015,8500,7300,7300.0,8500,200,7800
98,31/08/2015,8800,8500,8500.0,8800,10800,8100
99,01/09/2015,8600,8600,8600.0,8600,-,8100
100,03/09/2015,9800,8900,8900.0,9800,3400,9000
101,04/09/2015,9300,9300,9300.0,9300,900,8500
102,07/09/2015,9900,9900,9900.0,9900,100,9100
103,08/09/2015,10300,10300,10300.0,10300,100,9400
104,09/09/2015,10600,10600,10600.0,10600,100,9700
105,10/09/2015,11000,11000,11000.0,11000,100,10100
106,11/09/2015,11000,11000,11000.0,11000,-,10100
107,14/09/2015,9400,9400,9400.0,9400,200,8600
108,15/09/2015,8500,8000,8000.0,8500,200,7800
109,16/09/2015,8300,8300,8300.0,8300,-,7800
110,17/09/2015,9400,9400,9400.0,9400,2700,8600
111,18/09/2015,10700,10700,10700.0,10700,900,9800
112,21/09/2015,9100,9100,9100.0,9100,34400,8300
113,22/09/2015,10200,10200,10200.0,10200,100,9300
114,23/09/2015,10900,9700,10900.0,9700,600,8900
115,24/09/2015,9900,9900,9900.0,9900,-,8900
116,25/09/2015,9000,8800,8900.0,9000,22000,8200
117,28/09/2015,9700,9500,9700.0,9500,169200,8700
118,29/09/2015,9600,9600,9600.0,9600,1800,8800
119,30/09/2015,9600,9600,9600.0,9600,-,8800
120,01/10/2015,9300,9200,9300.0,9300,14200,8500
121,02/10/2015,9300,9300,9300.0,9300,-,8500
122,05/10/2015,8500,8500,8500.0,8500,14000,7800
123,06/10/2015,9300,9000,9300.0,9300,140100,8500
124,07/10/2015,9500,9200,9200.0,9400,43500,8600
125,08/10/2015,9200,9200,9200.0,9200,1000,8400
126,09/10/2015,10500,10500,10500.0,10500,100,9600
127,12/10/2015,10500,10500,10500.0,10500,-,9600
128,14/10/2015,9000,9000,9000.0,9000,-,8200
129,15/10/2015,8100,8100,8100.0,8100,100,7400
130,16/10/2015,8100,8100,8100.0,8100,-,7400
131,20/10/2015,8100,8100,8100.0,8100,-,7400
132,21/10/2015,8700,8700,8700.0,8700,1000,8000
133,22/10/2015,8700,8700,8700.0,8700,-,8000
134,23/10/2015,8700,8700,8700.0,8700,-,8000
135,26/10/2015,8700,8700,8700.0,8700,-,8000
136,27/10/2015,8700,8700,8700.0,8700,-,8000
137,28/10/2015,8700,8700,8700.0,8700,-,8000
138,29/10/2015,8700,8700,8700.0,8700,-,8000
139,30/10/2015,9000,9000,9000.0,9000,800,8200
140,02/11/2015,9000,9000,9000.0,9000,-,8200
141,03/11/2015,9000,9000,9000.0,9000,-,8200
142,04/11/2015,9000,9000,9000.0,9000,-,8200
143,05/11/2015,9000,9000,9000.0,9000,600,8200
144,09/11/2015,9000,9000,9000.0,9000,-,8200
145,10/11/2015,9000,9000,9000.0,9000,-,8200
146,11/11/2015,9000,9000,9000.0,9000,-,8200
147,12/11/2015,9000,9000,9000.0,9000,-,8200
148,13/11/2015,9000,9000,9000.0,9000,-,8200
149,16/11/2015,9000,9000,9000.0,9000,-,8200
150,17/11/2015,9000,9000,9000.0,9000,-,8200
151,18/11/2015,9000,9000,9000.0,9000,-,8200
152,19/11/2015,9000,9000,9000.0,9000,-,8200
153,20/11/2015,9000,9000,9000.0,9000,-,8200
154,23/11/2015,9000,9000,9000.0,9000,-,8200
155,24/11/2015,9000,9000,9000.0,9000,-,8200
156,25/11/2015,9000,9000,9000.0,9000,-,8200
157,26/11/2015,9000,9000,9000.0,9000,-,8200
158,27/11/2015,9000,9000,9000.0,9000,-,8200
159,30/11/2015,9000,9000,9000.0,9000,-,8200
160,01/12/2015,9000,9000,9000.0,9000,-,8200
161,02/12/2015,9000,9000,9000.0,9000,-,8200
162,03/12/2015,9000,9000,9000.0,9000,-,8200
163,04/12/2015,9000,9000,9000.0,9000,-,8200
164,07/12/2015,9000,9000,9000.0,9000,-,8200
165,08/12/2015,9000,9000,9000.0,9000,-,8200
166,09/12/2015,9000,9000,9000.0,9000,-,8200
