,Date,High,Low,Open,Close,Volume,Adj Close
0,23/11/2020,17000,13000,17000,15000,217100,14500
1,24/11/2020,15500,15500,15500,15500,2500,14900
2,25/11/2020,15500,15500,15500,15500,-,14900
3,26/11/2020,15500,13200,15500,13200,2501,12700
4,27/11/2020,13700,13700,13700,13700,-,13200
5,30/11/2020,13500,11700,13500,11700,2600,11300
6,01/12/2020,12000,11400,11400,12000,11700,11600
7,02/12/2020,10000,10000,10000,10000,3000,9600
8,03/12/2020,8600,8600,8600,8600,1500,8300
9,04/12/2020,9800,9800,9800,9800,100,9400
10,07/12/2020,10200,10200,10200,10200,100,9800
11,08/12/2020,10200,10200,10200,10200,-,9800
12,09/12/2020,11000,10200,10300,11000,20900,10600
13,10/12/2020,10200,10200,10200,10200,-,9800
14,11/12/2020,10200,10200,10200,10200,-,9800
15,14/12/2020,10200,10000,10200,10200,11000,9800
16,15/12/2020,8700,8700,8700,8700,2000,8400
17,16/12/2020,8700,8700,8700,8700,-,8400
18,17/12/2020,8700,8700,8700,8700,-,8400
19,18/12/2020,8300,8000,8300,8000,6800,7700
20,21/12/2020,9200,9200,9200,9200,300,8900
21,22/12/2020,7900,7900,7900,7900,9005,7600
22,23/12/2020,7900,7900,7900,7900,-,7600
23,24/12/2020,6900,6900,6900,6900,400,6700
24,25/12/2020,6900,6900,6900,6900,-,6700
25,28/12/2020,6900,6900,6900,6900,-,6700
26,29/12/2020,7900,6200,6200,7900,500,7600
27,30/12/2020,6500,6500,6500,6500,-,6300
28,31/12/2020,6500,6500,6500,6500,-,6300
29,04/01/2021,6500,6500,6500,6500,-,6300
30,05/01/2021,7400,7400,7400,7400,100,7100
31,06/01/2021,8500,8500,8500,8500,100,8200
32,07/01/2021,9700,9700,9700,9700,10000,9400
33,08/01/2021,11100,11100,11100,11100,1000,10700
34,11/01/2021,12700,12700,12700,12700,100,12200
35,12/01/2021,12700,12700,12700,12700,500,12200
36,13/01/2021,12700,12700,12700,12700,-,12200
37,14/01/2021,12700,12700,12700,12700,-,12200
38,15/01/2021,11900,11900,11900,11900,2000,11500
39,18/01/2021,11100,11100,11100,11100,1000,10700
40,19/01/2021,11100,11100,11100,11100,-,10700
41,20/01/2021,11100,11100,11100,11100,-,10700
42,21/01/2021,11100,11100,11100,11100,-,10700
43,22/01/2021,10100,10000,10100,10000,18500,9600
44,25/01/2021,10000,10000,10000,10000,-,9600
45,26/01/2021,10500,10500,10500,10500,100,10100
46,27/01/2021,10100,10100,10100,10100,2000,9700
47,28/01/2021,10000,10000,10000,10000,59700,9600
48,29/01/2021,10000,10000,10000,10000,-,9600
49,01/02/2021,11400,10000,10000,11400,500,11000
50,02/02/2021,12200,9500,9500,12200,200,11800
51,03/02/2021,12400,11200,11200,12400,200,12000
52,04/02/2021,11800,11800,11800,11800,700,11400
53,05/02/2021,11800,11800,11800,11800,-,11400
54,08/02/2021,11800,11800,11800,11800,-,11400
55,09/02/2021,10200,10200,10200,10200,1400,9800
56,17/02/2021,10100,10000,10000,10100,1700,9700
