,Date,High,Low,Open,Close,Volume,Adj Close
0,20/12/2016,28000,28000,28000.0,28000,1300,19400
1,21/12/2016,32200,32200,32200.0,32200,3500,22300
2,22/12/2016,37000,37000,37000.0,37000,1800,25700
3,23/12/2016,42500,37000,42500.0,37000,11900,25700
4,26/12/2016,40300,40300,-,40300,-,28000
5,27/12/2016,34300,34300,34300.0,34300,3100,23800
6,28/12/2016,33000,29200,33000.0,29200,1800,20300
7,29/12/2016,25800,25800,25800.0,25800,6500,17900
8,30/12/2016,23000,23000,23000.0,23000,3200,16000
9,03/01/2017,23000,23000,23000.0,23000,-,16000
10,04/01/2017,24700,20000,24700.0,20000,600,13900
11,05/01/2017,23500,21500,21500.0,23500,2200,16300
12,06/01/2017,25700,23600,25700.0,25700,2750,17800
13,09/01/2017,25200,25200,25200.0,25200,200,17500
14,10/01/2017,25200,25200,-,25200,-,17500
15,11/01/2017,22300,22300,22300.0,22300,100,15500
16,12/01/2017,22300,22300,-,22300,-,15500
17,13/01/2017,23600,20000,23600.0,20900,20400,15500
18,16/01/2017,20100,20100,20100.0,20100,100,14900
19,17/01/2017,23100,23100,23100.0,23100,1100,17200
20,18/01/2017,20600,20600,20600.0,20600,100,15300
21,19/01/2017,22900,22900,22900.0,22900,100,17000
22,20/01/2017,22900,22900,-,22900,-,17000
23,23/01/2017,22900,22900,-,22900,-,17000
24,24/01/2017,21000,20200,21000.0,20800,3100,15500
25,25/01/2017,20600,20600,20600.0,20600,1000,15300
26,02/02/2017,21000,21000,21000.0,21000,400,15600
27,03/02/2017,21000,21000,-,21000,-,15600
28,06/02/2017,20400,20300,20400.0,20300,2200,15100
29,07/02/2017,20500,20300,20300.0,20300,3800,15100
30,08/02/2017,20900,20000,20100.0,20900,2100,15500
31,09/02/2017,23000,20100,23000.0,21900,2500,16300
32,10/02/2017,23500,23500,23500.0,23500,100,17500
33,13/02/2017,23500,20600,23500.0,20600,1300,15300
34,14/02/2017,22900,22900,22900.0,22900,200,17000
35,15/02/2017,21000,21000,21000.0,21000,5100,15600
36,16/02/2017,22000,20200,22000.0,21400,2440,15900
37,17/02/2017,21900,20000,21900.0,20900,4900,15500
38,20/02/2017,21700,20300,20300.0,21000,5400,15600
39,21/02/2017,21000,21000,21000.0,21000,1700,15600
40,22/02/2017,21400,21300,21300.0,21400,1500,15900
41,23/02/2017,21000,20900,21000.0,21000,7600,15600
42,24/02/2017,21200,20600,20600.0,21000,1500,15600
43,27/02/2017,21300,21200,21200.0,21300,3500,15800
44,28/02/2017,24300,21000,24300.0,21000,300,15600
45,01/03/2017,25300,22000,25300.0,22100,6100,16400
46,02/03/2017,22900,22200,22200.0,22900,1100,17000
47,03/03/2017,22900,21000,21100.0,21000,12400,15600
48,06/03/2017,23900,21300,21300.0,22400,23300,16700
49,07/03/2017,23300,18600,23300.0,23000,22200,17100
50,08/03/2017,23200,21600,22800.0,21700,4700,16100
51,09/03/2017,22900,21900,22900.0,21900,2100,16300
52,10/03/2017,22800,22800,22800.0,22800,1700,17000
53,13/03/2017,23900,22000,23900.0,22000,8900,16400
54,14/03/2017,23400,22200,22900.0,23000,4020,17100
55,15/03/2017,23500,22500,23500.0,22500,2600,16700
56,16/03/2017,23400,22300,23400.0,23400,6390,17400
57,17/03/2017,23400,23000,23400.0,23000,1100,17100
58,20/03/2017,26400,23000,23000.0,26400,13400,19600
59,21/03/2017,23500,23200,23200.0,23400,1120,17400
60,22/03/2017,26100,21300,21300.0,23500,1300,17500
61,23/03/2017,26500,23200,23200.0,26500,3810,19700
62,24/03/2017,26000,23600,23600.0,25400,7200,18900
63,27/03/2017,24300,21700,21700.0,24300,1200,18100
64,28/03/2017,26100,23100,26000.0,25500,14600,19000
65,29/03/2017,27000,25900,27000.0,25900,2290,19300
66,30/03/2017,27900,26500,26800.0,27500,4300,20400
67,31/03/2017,27500,27100,27200.0,27100,11950,20200
68,03/04/2017,27900,24500,27100.0,27300,42320,20300
69,04/04/2017,27300,27300,27300.0,27300,300,20300
70,05/04/2017,27200,26600,27200.0,26600,7800,19800
71,07/04/2017,26900,24100,24100.0,25800,1300,19200
72,10/04/2017,24500,24100,24100.0,24500,1600,18200
73,11/04/2017,26000,25500,25600.0,25500,2800,19000
74,12/04/2017,25800,25000,25500.0,25000,2200,18600
75,13/04/2017,25700,24200,24200.0,25700,600,19100
76,14/04/2017,24700,24100,24100.0,24700,200,18400
77,17/04/2017,25600,23600,23600.0,25000,500,18600
78,18/04/2017,25000,24600,25000.0,24900,10030,18500
79,19/04/2017,24700,21600,24100.0,24000,6000,17800
80,20/04/2017,23500,22200,23200.0,22300,12800,16600
81,21/04/2017,22800,22800,22800.0,22800,1400,17000
82,24/04/2017,26000,26000,26000.0,26000,100,19300
83,25/04/2017,25000,24000,25000.0,24000,1100,17800
84,26/04/2017,24400,24400,-,24400,-,18100
85,27/04/2017,24800,23500,23500.0,24800,600,18400
86,28/04/2017,24500,24500,-,24500,-,18200
87,03/05/2017,24000,23000,23000.0,24000,420,17800
88,04/05/2017,23500,23500,23500.0,23500,3500,17500
89,05/05/2017,23500,23500,-,23500,-,17500
90,08/05/2017,24700,24700,-,24700,-,18400
91,09/05/2017,22100,22100,22100.0,22100,500,16400
92,10/05/2017,25000,22500,25000.0,22600,4530,16800
93,11/05/2017,23300,22700,23200.0,22700,500,16900
94,12/05/2017,23000,23000,23000.0,23000,1600,17100
95,15/05/2017,23100,23100,-,23100,-,17200
96,16/05/2017,24500,20200,20200.0,24500,200,18200
97,17/05/2017,24200,20400,20400.0,24200,200,18000
98,18/05/2017,23000,23000,23000.0,23000,600,17100
99,19/05/2017,23500,23500,23500.0,23500,200,17500
100,22/05/2017,23900,23900,23900.0,23900,500,17800
101,23/05/2017,23600,23600,23600.0,23600,400,17500
102,24/05/2017,23600,23600,23600.0,23600,200,17500
103,25/05/2017,23600,23400,23400.0,23400,600,17400
104,26/05/2017,23400,20000,23400.0,23400,24400,17400
105,29/05/2017,24500,24500,24500.0,24500,100,18200
106,30/05/2017,24500,24500,-,24500,-,18200
107,31/05/2017,24000,22500,22500.0,22500,1400,16700
108,01/06/2017,22700,22600,22600.0,22700,600,16900
109,02/06/2017,24400,24400,24400.0,24400,100,18100
110,05/06/2017,24200,23500,23500.0,24200,12700,18000
111,06/06/2017,24000,24000,24000.0,24000,3100,17800
112,07/06/2017,25000,24100,24100.0,25000,600,18600
113,08/06/2017,24600,24600,-,24600,-,18300
114,09/06/2017,24000,24000,24000.0,24000,1000,17800
115,12/06/2017,24000,24000,24000.0,24000,500,17800
116,13/06/2017,24000,24000,24000.0,24000,10000,17800
117,14/06/2017,24000,24000,24000.0,24000,2200,17800
118,15/06/2017,24000,23800,24000.0,23800,5000,17700
119,16/06/2017,24500,24000,24000.0,24000,5600,17800
120,19/06/2017,24000,24000,-,24000,-,17800
121,20/06/2017,24100,24000,24100.0,24000,6000,17800
122,21/06/2017,24100,24000,24000.0,24000,2950,17800
123,22/06/2017,24000,24000,24000.0,24000,8500,17800
124,23/06/2017,24500,24500,24500.0,24500,200,18200
125,26/06/2017,24000,24000,24000.0,24000,100,17800
126,27/06/2017,24100,24100,24100.0,24100,580,17900
127,28/06/2017,24000,24000,24000.0,24000,100,17800
128,29/06/2017,24000,24000,24000.0,24000,1000,17800
129,30/06/2017,24100,24100,24100.0,24100,1500,17900
130,03/07/2017,24100,24000,24000.0,24100,800,17900
131,04/07/2017,24000,24000,-,24000,-,17800
132,05/07/2017,24100,24100,24100.0,24100,500,17900
133,06/07/2017,24500,24200,24200.0,24500,1900,18200
134,07/07/2017,24400,24400,-,24400,-,18100
135,10/07/2017,24400,24400,-,24400,-,18100
136,11/07/2017,24400,24400,-,24400,-,18100
137,12/07/2017,24100,24000,24100.0,24000,3800,17800
138,13/07/2017,24500,24000,24500.0,24000,3200,17800
139,14/07/2017,24500,24500,24500.0,24500,1000,18200
140,17/07/2017,24500,24500,-,24500,-,18200
141,18/07/2017,24200,24200,24200.0,24200,150,18000
142,19/07/2017,24500,24000,24500.0,24000,8900,17800
143,20/07/2017,24200,24200,-,24200,-,18000
144,21/07/2017,24200,24200,-,24200,-,18000
145,24/07/2017,24000,24000,24000.0,24000,500,17800
146,25/07/2017,24000,24000,-,24000,-,17800
147,26/07/2017,24000,24000,-,24000,-,17800
148,27/07/2017,24000,24000,24000.0,24000,1200,17800
149,28/07/2017,24100,24000,24100.0,24000,6500,17800
150,31/07/2017,24000,24000,24000.0,24000,3400,17800
151,01/08/2017,24000,24000,24000.0,24000,2000,17800
152,02/08/2017,24000,24000,-,24000,-,17800
153,03/08/2017,24000,24000,24000.0,24000,20200,17800
154,04/08/2017,24000,24000,24000.0,24000,30400,17800
155,07/08/2017,24800,24800,24800.0,24800,5000,18400
156,08/08/2017,24200,24200,24200.0,24200,100,18000
157,09/08/2017,24100,24100,24100.0,24100,2500,17900
158,10/08/2017,24100,24100,-,24100,-,17900
159,11/08/2017,24100,24100,-,24100,-,17900
160,14/08/2017,24100,24100,-,24100,-,17900
161,15/08/2017,24000,24000,24000.0,24000,500,17800
162,16/08/2017,24000,24000,-,24000,-,17800
163,17/08/2017,24000,20500,20500.0,24000,1600,17800
164,18/08/2017,23800,23800,-,23800,-,17700
165,21/08/2017,23800,23800,-,23800,-,17700
166,22/08/2017,27200,27200,27200.0,27200,100,20200
167,23/08/2017,31100,24100,31100.0,24100,600,17900
168,24/08/2017,25300,25300,-,25300,-,18800
169,25/08/2017,25300,25300,-,25300,-,18800
170,28/08/2017,25300,25300,-,25300,-,18800
171,29/08/2017,28900,24000,28900.0,24000,3510,17800
172,30/08/2017,24200,24200,-,24200,-,18000
173,31/08/2017,24200,24200,-,24200,-,18000
174,01/09/2017,24200,24200,-,24200,-,18000
175,05/09/2017,28100,24100,28100.0,24100,300,17900
176,06/09/2017,25400,25400,-,25400,-,18900
177,07/09/2017,25400,25400,-,25400,-,18900
178,08/09/2017,24100,24100,24100.0,24100,200,17900
179,11/09/2017,24100,24100,-,24100,-,17900
180,12/09/2017,24100,24100,-,24100,-,17900
181,13/09/2017,24100,24100,24100.0,24100,1600,17900
182,14/09/2017,24100,24100,-,24100,-,17900
183,15/09/2017,24100,24100,-,24100,-,17900
184,18/09/2017,24900,24900,24900.0,24900,400,18500
185,19/09/2017,24900,24900,-,24900,-,18500
186,20/09/2017,24900,24900,-,24900,-,18500
187,21/09/2017,24500,24500,24500.0,24500,2100,18200
188,22/09/2017,25000,24600,25000.0,24600,3233,18300
189,25/09/2017,24900,24900,-,24900,-,18500
190,26/09/2017,24600,24300,24600.0,24300,6500,18100
191,27/09/2017,24500,24500,24500.0,24500,300,18200
192,28/09/2017,24500,24500,-,24500,-,18200
193,29/09/2017,24500,24500,-,24500,-,18200
194,02/10/2017,28000,25000,25000.0,28000,2100,20800
195,03/10/2017,25100,25100,-,25100,-,18700
196,04/10/2017,25100,25100,-,25100,-,18700
197,05/10/2017,24200,24200,24200.0,24200,500,18000
198,06/10/2017,24200,24200,-,24200,-,18000
199,09/10/2017,24300,24300,24300.0,24300,530,18100
200,10/10/2017,24300,24300,-,24300,-,18100
201,11/10/2017,24300,24300,-,24300,-,18100
202,12/10/2017,24500,24500,-,24500,-,18200
203,13/10/2017,24400,24400,24400.0,24400,500,18100
204,16/10/2017,24500,24500,24500.0,24500,1000,18200
205,17/10/2017,24400,24400,24400.0,24400,900,18100
206,18/10/2017,24400,24400,24400.0,24400,1000,18100
207,19/10/2017,24400,24400,-,24400,-,18100
208,20/10/2017,24400,24400,24400.0,24400,300,18100
209,23/10/2017,24400,24400,-,24400,-,18100
210,24/10/2017,24400,24400,-,24400,-,18100
211,25/10/2017,24400,24400,-,24400,-,18100
212,26/10/2017,24400,24400,-,24400,-,18100
213,27/10/2017,24400,24400,-,24400,-,18100
214,30/10/2017,24400,24400,24400.0,24400,1000,18100
215,31/10/2017,24400,24400,-,24400,-,18100
