,Date,High,Low,Open,Close,Volume,Adj Close
1515,19/11/2015,11500,11500,11500.0,11500,-,5400
1514,20/11/2015,11500,11500,11500.0,11500,-,5400
1513,23/11/2015,11500,11500,11500.0,11500,-,5400
1512,24/11/2015,11500,11500,11500.0,11500,-,5400
1511,25/11/2015,11500,11500,11500.0,11500,-,5400
1510,26/11/2015,11500,11500,11500.0,11500,-,5400
1509,27/11/2015,11500,11500,11500.0,11500,-,5400
1508,30/11/2015,11500,11500,11500.0,11500,-,5400
1507,01/12/2015,11500,11500,11500.0,11500,-,5400
1506,02/12/2015,11500,11500,11500.0,11500,-,5400
1505,03/12/2015,11500,11500,11500.0,11500,-,5400
1504,04/12/2015,11500,11500,11500.0,11500,-,5400
1503,07/12/2015,11500,11500,11500.0,11500,-,5400
1502,08/12/2015,11500,11500,11500.0,11500,-,5400
1501,09/12/2015,11500,11500,11500.0,11500,-,5400
1500,10/12/2015,11500,11500,11500.0,11500,-,5400
1499,11/12/2015,11500,11500,11500.0,11500,-,5400
1498,14/12/2015,11500,11500,11500.0,11500,-,5400
1497,15/12/2015,11500,11500,11500.0,11500,-,5400
1496,16/12/2015,11500,11500,11500.0,11500,17700,5400
1495,17/12/2015,11500,11500,11500.0,11500,50,5400
1494,18/12/2015,11500,11500,11500.0,11500,-,5400
1493,21/12/2015,11500,11500,11500.0,11500,-,5400
1492,22/12/2015,11500,11500,11500.0,11500,-,5400
1491,23/12/2015,11500,11500,11500.0,11500,-,5400
1490,24/12/2015,11500,11500,11500.0,11500,-,5400
1489,25/12/2015,11500,11500,11500.0,11500,-,5400
1488,28/12/2015,11500,11500,11500.0,11500,-,5400
1487,29/12/2015,11500,11500,11500.0,11500,-,5400
1486,30/12/2015,11500,11500,11500.0,11500,-,5400
1485,31/12/2015,11500,11500,11500.0,11500,-,5400
1484,04/01/2016,11500,11500,11500.0,11500,-,5400
1483,05/01/2016,11500,11500,11500.0,11500,-,5400
1482,06/01/2016,11500,11500,11500.0,11500,-,5400
1481,07/01/2016,11500,11500,11500.0,11500,-,5400
1480,08/01/2016,11500,11500,11500.0,11500,-,5400
1479,11/01/2016,11500,11500,11500.0,11500,-,5400
1478,12/01/2016,11500,11500,11500.0,11500,-,5400
1477,13/01/2016,11500,11500,11500.0,11500,-,5400
1476,14/01/2016,11500,11500,11500.0,11500,-,5400
1475,15/01/2016,11500,11500,11500.0,11500,-,5400
1474,18/01/2016,11500,11500,11500.0,11500,-,5400
1473,19/01/2016,11500,11500,11500.0,11500,-,5400
1472,20/01/2016,11500,11500,11500.0,11500,-,5400
1471,21/01/2016,11500,11500,11500.0,11500,-,5400
1470,22/01/2016,11500,11500,11500.0,11500,-,5400
1469,25/01/2016,11500,11500,11500.0,11500,-,5400
1468,26/01/2016,11500,11500,11500.0,11500,-,5400
