Date,High,Low,Open,Close,Volume,Adj Close
07/01/2021,50000,50000,50000,50000,-,47300
08/01/2021,50000,50000,50000,50000,-,47300
11/01/2021,50000,50000,50000,50000,-,47300
12/01/2021,70000,70000,70000,70000,100,66300
13/01/2021,70000,70000,70000,70000,-,66300
14/01/2021,70000,70000,70000,70000,-,66300
15/01/2021,70000,70000,70000,70000,100,66300
18/01/2021,70000,70000,70000,70000,-,66300
19/01/2021,70000,70000,70000,70000,-,66300
20/01/2021,70000,70000,70000,70000,-,66300
21/01/2021,70000,70000,70000,70000,-,66300
22/01/2021,70000,70000,70000,70000,-,66300
25/01/2021,70000,70000,70000,70000,-,66300
26/01/2021,70000,70000,70000,70000,-,66300
27/01/2021,70000,70000,70000,70000,-,66300
28/01/2021,59500,59500,59500,59500,100,56300
29/01/2021,59500,59500,59500,59500,-,56300
01/02/2021,50600,50600,50600,50600,200,47900
02/02/2021,50600,50600,50600,50600,-,47900
03/02/2021,50600,50600,50600,50600,350,47900
04/02/2021,50600,50600,50600,50600,100,47900
05/02/2021,50600,50600,50600,50600,-,47900
08/02/2021,50600,50600,50600,50600,-,47900
09/02/2021,50600,50600,50600,50600,-,47900
17/02/2021,50600,50600,50600,50600,-,47900
18/02/2021,50600,50600,50600,50600,-,47900
19/02/2021,50600,50600,50600,50600,-,47900
22/02/2021,50600,50600,50600,50600,-,47900
23/02/2021,50600,50600,50600,50600,-,47900
24/02/2021,50600,50600,50600,50600,-,47900
25/02/2021,50600,50600,50600,50600,-,47900
26/02/2021,50600,50600,50600,50600,-,47900
01/03/2021,50600,50600,50600,50600,-,47900
02/03/2021,50600,50600,50600,50600,-,47900
03/03/2021,50600,50600,50600,50600,-,47900
04/03/2021,50600,50600,50600,50600,90000,47900
05/03/2021,50600,50600,50600,50600,-,47900
08/03/2021,50600,50600,50600,50600,-,47900
09/03/2021,50600,50600,50600,50600,-,47900
10/03/2021,50600,50600,50600,50600,-,47900
11/03/2021,50600,50600,50600,50600,-,47900
12/03/2021,50600,50600,50600,50600,-,47900
15/03/2021,50600,50600,50600,50600,-,47900
16/03/2021,50600,50600,50600,50600,-,47900
17/03/2021,50600,50600,50600,50600,-,47900
18/03/2021,50600,50600,50600,50600,-,47900
19/03/2021,50600,50600,50600,50600,-,47900
22/03/2021,50600,50600,50600,50600,100,47900
23/03/2021,50600,50600,50600,50600,-,47900
24/03/2021,50600,50600,50600,50600,-,47900
25/03/2021,50600,50600,50600,50600,-,47900
26/03/2021,50600,50600,50600,50600,-,47900
29/03/2021,50600,50600,50600,50600,-,47900
30/03/2021,50600,50600,50600,50600,6000000,47900
31/03/2021,50600,50600,50600,50600,-,47900
01/04/2021,50600,50600,50600,50600,-,47900
02/04/2021,50600,50600,50600,50600,-,47900
05/04/2021,50600,50600,50600,50600,-,47900
06/04/2021,50600,50600,50600,50600,-,47900
07/04/2021,50600,50600,50600,50600,-,47900
08/04/2021,50600,50600,50600,50600,-,47900
09/04/2021,50600,50600,50600,50600,-,47900
12/04/2021,50600,50600,50600,50600,-,47900
13/04/2021,50600,50600,50600,50600,-,47900
14/04/2021,50600,50600,50600,50600,-,47900
15/04/2021,50600,50600,50600,50600,-,47900
16/04/2021,50600,50600,50600,50600,-,47900
19/04/2021,50600,50600,50600,50600,-,47900
20/04/2021,50600,50600,50600,50600,-,47900
22/04/2021,50600,50600,50600,50600,-,47900
23/04/2021,50600,50600,50600,50600,-,47900
26/04/2021,50600,50600,50600,50600,-,47900
27/04/2021,50600,50600,50600,50600,-,47900
28/04/2021,50600,50600,50600,50600,-,47900
29/04/2021,50600,50600,50600,50600,-,47900
04/05/2021,50600,50600,50600,50600,-,47900
05/05/2021,50600,50600,50600,50600,-,47900
06/05/2021,50600,50600,50600,50600,-,47900
07/05/2021,50600,50600,50600,50600,-,47900
10/05/2021,50600,50600,50600,50600,-,47900
11/05/2021,70800,70800,70800,70800,100,67000
12/05/2021,70800,70800,70800,70800,-,67000
13/05/2021,70800,70800,70800,70800,-,67000
14/05/2021,70800,70800,70800,70800,-,67000
17/05/2021,70800,70800,70800,70800,-,67000
18/05/2021,70800,70800,70800,70800,-,67000
19/05/2021,70800,70800,70800,70800,-,67000
20/05/2021,70800,70800,70800,70800,-,67000
21/05/2021,70800,70800,70800,70800,-,67000
24/05/2021,70800,70800,70800,70800,-,67000
25/05/2021,70800,70800,70800,70800,-,67000
26/05/2021,70800,70800,70800,70800,-,67000
27/05/2021,70800,70800,70800,70800,-,67000
28/05/2021,70800,70800,70800,70800,-,67000
31/05/2021,70800,70800,70800,70800,-,67000
01/06/2021,70800,70800,70800,70800,-,67000
02/06/2021,70800,70800,70800,70800,-,67000
03/06/2021,70800,70800,70800,70800,-,67000
04/06/2021,70800,70800,70800,70800,-,67000
07/06/2021,70800,70800,70800,70800,-,67000
08/06/2021,70800,70800,70800,70800,-,67000
09/06/2021,70800,70800,70800,70800,-,67000
10/06/2021,70800,70800,70800,70800,-,67000
11/06/2021,81400,81400,81400,81400,100,77100
14/06/2021,81400,81400,81400,81400,-,77100
15/06/2021,81400,81400,81400,81400,-,77100
16/06/2021,81400,81400,81400,81400,-,77100
17/06/2021,81400,81400,81400,81400,-,77100
18/06/2021,93600,93600,93600,93600,100,88600
21/06/2021,93600,93600,93600,93600,-,88600
22/06/2021,93600,93600,93600,93600,-,88600
23/06/2021,93600,93600,93600,93600,-,88600
24/06/2021,93600,93600,93600,93600,-,88600
25/06/2021,93600,93600,93600,93600,-,88600
28/06/2021,93600,93600,93600,93600,-,88600
29/06/2021,93600,93600,93600,93600,-,88600
30/06/2021,93600,93600,93600,93600,-,88600
01/07/2021,93600,93600,93600,93600,-,88600
02/07/2021,93600,93600,93600,93600,-,88600
05/07/2021,93600,93600,93600,93600,-,88600
06/07/2021,93600,93600,93600,93600,-,88600
07/07/2021,93600,93600,93600,93600,-,88600
08/07/2021,93600,93600,93600,93600,-,88600
09/07/2021,93600,93600,93600,93600,-,88600
12/07/2021,93600,93600,93600,93600,-,88600
13/07/2021,93600,93600,93600,93600,-,88600
14/07/2021,93600,93600,93600,93600,-,88600
15/07/2021,93600,93600,93600,93600,-,88600
16/07/2021,93600,93600,93600,93600,-,88600
19/07/2021,101800,101800,101800,101800,100,101800
20/07/2021,101800,101800,101800,101800,-,101800
21/07/2021,101800,101800,101800,101800,-,101800
22/07/2021,101800,101800,101800,101800,-,101800
23/07/2021,101800,101800,101800,101800,-,101800
26/07/2021,101800,101800,101800,101800,-,101800
27/07/2021,101800,101800,101800,101800,-,101800
28/07/2021,101800,101800,101800,101800,-,101800
29/07/2021,101800,101800,101800,101800,-,101800
30/07/2021,101800,101800,101800,101800,-,101800
02/08/2021,101800,101800,101800,101800,-,101800
03/08/2021,101800,101800,101800,101800,-,101800
04/08/2021,101800,101800,101800,101800,-,101800
05/08/2021,101800,101800,101800,101800,-,101800
06/08/2021,101800,101800,101800,101800,-,101800
09/08/2021,101800,101800,101800,101800,-,101800
10/08/2021,101800,101800,101800,101800,-,101800
11/08/2021,101800,101800,101800,101800,-,101800
12/08/2021,101800,101800,101800,101800,-,101800
13/08/2021,101800,101800,101800,101800,-,101800
16/08/2021,101800,101800,101800,101800,-,101800
17/08/2021,101800,101800,101800,101800,-,101800
18/08/2021,101800,101800,101800,101800,-,101800
19/08/2021,101800,101800,101800,101800,-,101800
20/08/2021,101800,101800,101800,101800,-,101800
23/08/2021,101800,101800,101800,101800,-,101800
24/08/2021,101800,101800,101800,101800,-,101800
25/08/2021,101800,101800,101800,101800,-,101800
26/08/2021,101800,101800,101800,101800,-,101800
27/08/2021,101800,101800,101800,101800,-,101800
30/08/2021,101800,101800,101800,101800,-,101800
31/08/2021,101800,101800,101800,101800,-,101800
01/09/2021,101800,101800,101800,101800,-,101800
06/09/2021,101800,101800,101800,101800,-,101800
07/09/2021,101800,101800,101800,101800,-,101800
08/09/2021,101800,101800,101800,101800,-,101800
09/09/2021,101800,101800,101800,101800,-,101800
10/09/2021,101800,101800,101800,101800,-,101800
13/09/2021,142500,61200,142500,61200,300,61200
14/09/2021,101800,101800,101800,101800,943300,101800
15/09/2021,101800,101800,101800,101800,-,101800
16/09/2021,101800,101800,101800,101800,8,101800
17/09/2021,101800,101800,101800,101800,-,101800
20/09/2021,101800,101800,101800,101800,-,101800
21/09/2021,101800,101800,101800,101800,-,101800
22/09/2021,101800,101800,101800,101800,-,101800
23/09/2021,101800,101800,101800,101800,-,101800
24/09/2021,117000,115000,117000,117000,4000,117000
27/09/2021,116600,116600,116600,116600,-,116600
28/09/2021,116600,116600,116600,116600,-,116600
29/09/2021,134000,134000,134000,134000,100,134000
30/09/2021,154100,154100,154100,154100,800,154100
01/10/2021,165000,154000,154000,160000,600,160000
04/10/2021,159000,159000,159000,159000,46100,159000
05/10/2021,159000,135200,135200,159000,200,159000
