,Date,High,Low,Open,Close,Volume,Adj Close
0,03/10/2018,10000,10000,-,10000,-,8400
1,04/10/2018,10000,10000,-,10000,-,8400
2,05/10/2018,10000,10000,-,10000,-,8400
3,08/10/2018,10000,10000,-,10000,-,8400
4,09/10/2018,10000,10000,-,10000,-,8400
5,10/10/2018,10000,10000,-,10000,-,8400
6,11/10/2018,10000,10000,-,10000,-,8400
7,12/10/2018,10000,10000,-,10000,-,8400
8,15/10/2018,10000,10000,-,10000,-,8400
9,16/10/2018,10000,10000,-,10000,-,8400
10,17/10/2018,10000,10000,-,10000,-,8400
11,18/10/2018,10000,10000,-,10000,-,8400
12,19/10/2018,10000,10000,-,10000,-,8400
13,22/10/2018,10000,10000,-,10000,-,8400
14,23/10/2018,10000,10000,-,10000,-,8400
15,24/10/2018,10000,10000,10000.0,10000,-,8400
16,25/10/2018,10000,10000,10000.0,10000,-,8400
17,26/10/2018,10000,10000,10000.0,10000,-,-
18,29/10/2018,10000,10000,10000.0,10000,-,-
19,30/10/2018,10000,10000,10000.0,10000,-,-
20,31/10/2018,10000,10000,10000.0,10000,-,8400
21,01/11/2018,10000,10000,10000.0,10000,-,-
22,02/11/2018,10000,10000,-,10000,-,8400
23,05/11/2018,10000,10000,10000.0,10000,-,-
24,06/11/2018,10000,10000,10000.0,10000,-,-
25,07/11/2018,10000,10000,10000.0,10000,-,-
26,08/11/2018,10000,10000,10000.0,10000,-,-
27,09/11/2018,10000,10000,10000.0,10000,-,-
28,12/11/2018,10000,10000,10000.0,10000,-,-
29,13/11/2018,10000,10000,10000.0,10000,-,-
30,14/11/2018,10000,10000,10000.0,10000,-,-
31,15/11/2018,10000,10000,10000.0,10000,-,-
32,16/11/2018,10000,10000,10000.0,10000,-,-
33,19/11/2018,10000,10000,10000.0,10000,-,-
34,20/11/2018,10000,10000,10000.0,10000,-,-
35,21/11/2018,10000,10000,10000.0,10000,-,-
36,22/11/2018,10000,10000,10000.0,10000,-,-
37,23/11/2018,10000,10000,10000.0,10000,-,-
38,26/11/2018,10000,10000,10000.0,10000,-,8400
39,27/11/2018,10000,10000,10000.0,10000,-,8400
40,28/11/2018,10000,10000,10000.0,10000,-,8400
41,29/11/2018,10000,10000,10000.0,10000,-,8400
42,30/11/2018,10000,10000,10000.0,10000,-,8400
43,03/12/2018,10000,10000,10000.0,10000,-,8400
44,04/12/2018,10000,10000,10000.0,10000,-,8400
45,05/12/2018,10000,10000,10000.0,10000,-,8400
46,06/12/2018,10000,10000,10000.0,10000,-,8400
47,07/12/2018,10000,10000,10000.0,10000,-,8400
48,10/12/2018,10000,10000,10000.0,10000,-,8400
49,11/12/2018,10000,10000,10000.0,10000,-,8400
50,12/12/2018,10000,10000,10000.0,10000,-,8400
51,13/12/2018,10000,10000,10000.0,10000,-,8400
52,14/12/2018,10000,10000,10000.0,10000,-,8400
53,17/12/2018,10000,10000,10000.0,10000,-,8400
54,18/12/2018,10000,10000,10000.0,10000,-,8400
55,19/12/2018,10000,10000,10000.0,10000,-,8400
56,20/12/2018,10000,10000,10000.0,10000,-,8400
