Date,High,Low,Open,Close,Volume,Adj Close
22/06/2018,42000,42000,42000.0,42000,100,17800
25/06/2018,42000,42000,42000.0,42000,200,17800
26/06/2018,42000,39500,42000.0,39500,2133,16700
27/06/2018,39500,39500,39500.0,39500,235,16700
28/06/2018,34700,33900,33900.0,34700,600,14700
29/06/2018,31100,31100,31100.0,31100,200,13200
02/07/2018,31100,31100,,31100,-,13200
03/07/2018,35500,32600,35000.0,33400,1900,14100
04/07/2018,34100,34100,34100.0,34100,400,14400
05/07/2018,36100,36100,36100.0,36100,200,15300
06/07/2018,41000,35300,35300.0,41000,1200,17400
09/07/2018,35200,35200,35200.0,35200,500,14900
10/07/2018,40000,30700,36000.0,40000,4400,16900
11/07/2018,41700,36800,39000.0,40900,2200,17300
12/07/2018,36900,36100,36900.0,36100,1400,15300
13/07/2018,35600,35600,35600.0,35600,400,15100
16/07/2018,36500,35100,35100.0,36500,9700,15400
17/07/2018,38200,36100,36100.0,36600,5900,15500
18/07/2018,38400,36500,38300.0,38400,400,16300
19/07/2018,36500,31800,34000.0,35000,5450,14200
20/07/2018,38900,33000,38900.0,34000,3600,14400
23/07/2018,36500,33500,36500.0,34200,10300,14500
24/07/2018,35000,33600,33600.0,34700,6000,14700
25/07/2018,35400,33100,35400.0,34200,12300,14500
26/07/2018,33000,31700,32000.0,32000,5600,13400
27/07/2018,32400,28200,28200.0,30100,5000,12100
30/07/2018,32900,28600,28600.0,31000,9600,13100
31/07/2018,31000,29100,29100.0,31000,5500,13100
01/08/2018,33300,25600,25600.0,30200,500,12800
02/08/2018,31000,28600,30100.0,29400,12100,12400
03/08/2018,30500,29100,29100.0,29500,2600,12500
06/08/2018,30900,28100,28100.0,30500,1400,13000
07/08/2018,31000,29000,29000.0,31000,9420,13100
08/08/2018,32800,31400,32000.0,31400,6900,13300
09/08/2018,30500,30500,30500.0,30500,1000,12900
10/08/2018,31700,30300,31700.0,30300,3700,12800
13/08/2018,31400,27600,27600.0,30500,4210,12900
14/08/2018,30000,30000,30000.0,30000,1200,12700
15/08/2018,32000,30100,32000.0,30200,3900,12800
16/08/2018,31900,29100,30100.0,30700,6000,13000
17/08/2018,30600,29600,29600.0,30600,2400,13000
20/08/2018,31000,30500,30500.0,31000,2800,13100
21/08/2018,32200,31900,31900.0,32000,4400,13500
22/08/2018,32000,32000,32000.0,32000,1100,13500
23/08/2018,33500,31200,32000.0,31200,2700,13200
24/08/2018,32900,30600,30600.0,31700,3100,13400
27/08/2018,36100,31000,31000.0,36100,24420,15300
28/08/2018,40200,38000,40000.0,38000,2000,16100
29/08/2018,37000,33000,33600.0,37000,4910,15700
30/08/2018,37000,35000,35000.0,37000,1700,15700
31/08/2018,37000,30700,30700.0,37000,6100,15700
04/09/2018,35500,31000,32000.0,35500,1600,15000
