,Date,High,Low,Open,Close,Volume,Adj Close
2385,09/04/2012,20000,20000,20000.0,20000,-,3700
2384,10/04/2012,18000,18000,18000.0,18000,3400,3300
2383,11/04/2012,17100,17100,17100.0,17100,3600,3100
2382,12/04/2012,16400,16400,16400.0,16400,3800,3300
2381,13/04/2012,17900,15700,15700.0,17900,7900,3300
2380,16/04/2012,17900,17900,17900.0,17900,200,3300
2379,17/04/2012,17900,16200,16200.0,17900,7800,3300
2378,18/04/2012,16200,16100,16200.0,16100,7300,2900
2377,19/04/2012,17700,17700,17700.0,17700,300,3200
2376,20/04/2012,19000,19000,19000.0,19000,300,3500
2375,23/04/2012,19000,19000,19000.0,19000,-,3500
2374,24/04/2012,17100,17100,17100.0,17100,1000,3100
2373,25/04/2012,18000,15400,16100.0,15400,21800,2800
2372,26/04/2012,15400,15400,15400.0,15400,15100,2800
2371,27/04/2012,15400,15400,15400.0,15400,-,2800
2370,02/05/2012,15400,15400,15400.0,15400,-,2800
2369,03/05/2012,15500,15400,15500.0,15400,5500,2800
2368,04/05/2012,16900,16900,16900.0,16900,600,3100
2367,07/05/2012,16900,16900,16900.0,16900,-,3100
2366,08/05/2012,15500,15500,15500.0,15500,100,2800
2365,09/05/2012,15500,15500,15500.0,15500,-,2800
2364,10/05/2012,15500,15500,15500.0,15500,-,2800
2363,11/05/2012,15500,15500,15500.0,15500,-,2800
2362,14/05/2012,15500,15500,15500.0,15500,-,2800
2361,15/05/2012,15500,15500,15500.0,15500,-,2800
2360,16/05/2012,15500,15500,15500.0,15500,-,2800
2359,17/05/2012,15500,15500,15500.0,15500,-,2800
2358,18/05/2012,14500,14500,14500.0,14500,-,2800
2357,21/05/2012,13700,13700,13700.0,13700,100,2700
2356,22/05/2012,13200,13200,13200.0,13200,100,2600
2355,23/05/2012,13200,13200,13200.0,13200,-,2600
2354,24/05/2012,13200,13200,13200.0,13200,-,2600
2353,25/05/2012,13200,13200,13200.0,13200,-,2600
2352,28/05/2012,13200,13200,13200.0,13200,-,2600
2351,29/05/2012,13200,13200,13200.0,13200,-,2600
2350,30/05/2012,13200,13200,13200.0,13200,-,2600
2349,31/05/2012,14500,14500,14500.0,14500,3000,2800
2348,01/06/2012,14500,14500,14500.0,14500,-,2800
2347,04/06/2012,14500,14500,14500.0,14500,-,2800
2346,05/06/2012,14500,14500,14500.0,14500,-,2800
2345,06/06/2012,14500,14500,14500.0,14500,-,2800
2344,07/06/2012,14500,14500,14500.0,14500,-,2800
2343,08/06/2012,15900,13200,13200.0,15900,200,3100
2342,11/06/2012,13300,13300,13300.0,13300,200,2600
2341,12/06/2012,13300,13300,13300.0,13300,-,2600
2340,13/06/2012,13300,13300,13300.0,13300,-,2600
2339,14/06/2012,14600,14600,14600.0,14600,100,2800
2338,15/06/2012,14600,14600,14600.0,14600,-,2800
2337,18/06/2012,15700,14700,15500.0,14700,2600,2900
2336,19/06/2012,16000,14700,14700.0,14700,3200,2900
2335,20/06/2012,16000,14700,14700.0,15000,2300,2900
2334,21/06/2012,13900,13900,13900.0,13900,200,2700
2333,22/06/2012,13900,13900,13900.0,13900,-,2700
2332,25/06/2012,15200,15200,15200.0,15200,100,3000
2331,26/06/2012,15200,15200,15200.0,15200,-,3000
2330,27/06/2012,15000,15000,15000.0,15000,200,2900
2329,28/06/2012,15000,15000,15000.0,15000,-,2900
2328,29/06/2012,16000,14600,16000.0,14700,1500,2900
2327,02/07/2012,15500,15500,15500.0,15500,-,3000
2326,03/07/2012,14100,14100,14100.0,14100,100,2800
2325,04/07/2012,14100,14100,14100.0,14100,-,2800
2324,05/07/2012,14100,14100,14100.0,14100,-,2800
2323,06/07/2012,15500,15500,15500.0,15500,100,3000
2322,09/07/2012,16000,14100,16000.0,14100,800,2800
2321,10/07/2012,15300,15300,15300.0,15300,-,3000
2320,11/07/2012,15300,15300,15300.0,15300,-,3000
2319,12/07/2012,15300,15300,15300.0,15300,-,3000
2318,13/07/2012,16000,16000,16000.0,16000,600,3100
2317,16/07/2012,16200,14800,14800.0,16000,2400,3100
2316,17/07/2012,14700,14700,14700.0,14700,100,2900
2315,18/07/2012,16000,16000,16000.0,16000,1000,3100
2314,19/07/2012,14700,14700,14700.0,14700,200,2900
2313,20/07/2012,14700,14700,14700.0,14700,-,2900
2312,23/07/2012,14700,14700,14700.0,14700,-,2900
2311,24/07/2012,16100,16100,16100.0,16100,500,3100
2310,25/07/2012,16100,16100,16100.0,16100,-,3100
2309,26/07/2012,16100,16100,14800.0,16100,-,2900
2308,27/07/2012,14800,14800,14800.0,14800,-,2900
2307,30/07/2012,14800,14800,14800.0,14800,-,2900
2306,31/07/2012,14800,14800,14800.0,14800,-,2900
2305,01/08/2012,14800,14800,14800.0,14800,-,2900
2304,02/08/2012,14800,14800,14800.0,14800,-,2900
2303,03/08/2012,14800,14800,14800.0,14800,-,2900
2302,06/08/2012,16200,16200,16200.0,16200,100,3200
2301,07/08/2012,14700,14700,14700.0,14700,2200,2900
2300,08/08/2012,13000,13000,13000.0,13000,-,3200
2299,09/08/2012,13000,13000,13000.0,13000,-,3200
2298,10/08/2012,13000,13000,13000.0,13000,-,3200
2297,13/08/2012,13000,13000,13000.0,13000,-,3200
2296,14/08/2012,13000,13000,13000.0,13000,-,3200
2295,15/08/2012,13000,13000,13000.0,13000,-,3200
2294,16/08/2012,13200,13200,13200.0,13200,900,3200
2293,17/08/2012,12000,12000,12000.0,12000,500,2900
2292,20/08/2012,12000,12000,12000.0,12000,-,2900
2291,21/08/2012,12000,12000,12000.0,12000,-,2900
2290,22/08/2012,12000,12000,12000.0,12000,-,2900
2289,23/08/2012,12000,12000,12000.0,12000,-,2900
2288,24/08/2012,12000,12000,12000.0,12000,-,2900
2287,27/08/2012,12000,12000,12000.0,12000,-,2900
2286,28/08/2012,11000,11000,11000.0,11000,200,2700
2285,29/08/2012,11000,11000,11000.0,11000,-,2700
2284,30/08/2012,11000,11000,11000.0,11000,-,2700
2283,31/08/2012,11000,11000,11000.0,11000,-,2700
2282,04/09/2012,11000,11000,11000.0,11000,-,2700
2281,05/09/2012,11000,11000,11000.0,11000,-,2700
2280,06/09/2012,12000,10100,12000.0,10100,2300,2500
2279,07/09/2012,10900,10900,10900.0,10900,-,2700
2278,10/09/2012,10900,10900,10900.0,10900,-,2700
2277,11/09/2012,10900,10900,10900.0,10900,-,2700
2276,12/09/2012,10900,10900,10900.0,10900,-,2700
2275,13/09/2012,10900,10900,10900.0,10900,-,2700
2274,14/09/2012,11900,11900,11900.0,11900,100,2900
2273,17/09/2012,10900,10900,10900.0,10900,100,2700
2272,18/09/2012,10900,10900,10900.0,10900,-,2700
2271,19/09/2012,11900,11900,11900.0,11900,900,2900
2270,20/09/2012,13000,13000,13000.0,13000,700,3200
2269,21/09/2012,13000,13000,13000.0,13000,-,3200
2268,24/09/2012,13000,12000,12000.0,13000,5100,3200
2267,25/09/2012,13000,11700,11700.0,13000,6100,3200
2266,26/09/2012,13500,13000,13000.0,13500,11400,3300
2265,27/09/2012,12300,12300,12300.0,12300,200,3000
2264,28/09/2012,11200,11200,11200.0,11200,200,2700
2263,01/10/2012,12300,12300,12300.0,12300,100,3000
2262,02/10/2012,13400,13300,13300.0,13400,4000,3300
2261,03/10/2012,13400,13400,13400.0,13400,-,3300
2260,04/10/2012,12200,12200,12200.0,12200,500,3000
2259,05/10/2012,13400,13400,13400.0,13400,500,3300
2258,08/10/2012,13400,13400,13400.0,13400,-,3300
2257,09/10/2012,13400,13400,13400.0,13400,-,3300
2256,10/10/2012,13400,13400,13400.0,13400,-,3300
2255,11/10/2012,13400,13400,13400.0,13400,-,3300
2254,12/10/2012,13400,13400,13400.0,13400,-,3300
2253,15/10/2012,13400,13400,13400.0,13400,-,3300
2252,16/10/2012,14000,12800,14000.0,12800,600,3100
2251,17/10/2012,12000,12000,12000.0,12000,100,2900
2250,18/10/2012,12000,12000,12000.0,12000,-,2900
2249,19/10/2012,13200,13200,13200.0,13200,100,3200
2248,22/10/2012,13200,13000,13200.0,13000,2000,3200
2247,23/10/2012,13100,13100,13100.0,13100,-,3200
2246,24/10/2012,13100,13100,13100.0,13100,-,3200
2245,25/10/2012,13100,13100,13100.0,13100,-,3200
2244,26/10/2012,13100,13100,13100.0,13100,-,3200
2243,29/10/2012,13100,13100,13100.0,13100,-,3200
2242,30/10/2012,13100,13100,13100.0,13100,-,3200
2241,31/10/2012,13100,13100,13100.0,13100,-,3200
2240,01/11/2012,13100,13100,13100.0,13100,-,3200
2239,02/11/2012,13100,13100,13100.0,13100,-,3200
2238,05/11/2012,14400,14000,14000.0,14400,4600,3500
2237,06/11/2012,13000,13000,13000.0,13000,200,3200
2236,07/11/2012,13000,13000,13000.0,13000,-,3200
2235,08/11/2012,11800,11800,11800.0,11800,100,2900
2234,09/11/2012,11800,11800,11800.0,11800,-,2900
2233,12/11/2012,11800,11800,11800.0,11800,-,2900
2232,13/11/2012,11800,11800,11800.0,11800,-,2900
2231,14/11/2012,11800,11800,11800.0,11800,-,2900
2230,15/11/2012,11800,11800,11800.0,11800,-,2900
