Date,High,Low,Open,Close,Volume,Adj Close
20/04/2017,10200,10200,,10200,-,9700
21/04/2017,10200,10200,,10200,-,9700
24/04/2017,10200,10200,,10200,-,9700
25/04/2017,10200,10200,,10200,-,9700
26/04/2017,10200,10200,,10200,-,9700
27/04/2017,10200,10200,,10200,-,9700
28/04/2017,10200,10200,,10200,-,9700
03/05/2017,10200,10200,,10200,-,9700
04/05/2017,10200,10200,,10200,-,9700
05/05/2017,10200,10200,,10200,-,9700
08/05/2017,10200,10200,,10200,-,9700
09/05/2017,10200,10200,,10200,-,9700
10/05/2017,10200,10200,,10200,-,9700
11/05/2017,10200,10200,,10200,-,9700
12/05/2017,10200,10200,,10200,-,9700
15/05/2017,10200,10200,,10200,-,9700
16/05/2017,10200,10200,,10200,-,9700
17/05/2017,10200,10200,,10200,-,9700
18/05/2017,10200,10200,,10200,-,9700
19/05/2017,10200,10200,,10200,-,9700
22/05/2017,10200,10200,,10200,-,9700
23/05/2017,10200,10200,,10200,-,9700
24/05/2017,10200,10200,,10200,-,9700
25/05/2017,10200,10200,,10200,-,9700
26/05/2017,10200,10200,,10200,-,9700
29/05/2017,10200,10200,,10200,-,9700
30/05/2017,10200,10200,,10200,-,9700
31/05/2017,10200,10200,,10200,-,9700
01/06/2017,10200,10200,,10200,-,9700
02/06/2017,10200,10200,,10200,-,9700
05/06/2017,10200,10200,,10200,-,9700
06/06/2017,10200,10200,,10200,-,9700
07/06/2017,6200,6200,6200.0,6200,100,5900
08/06/2017,6200,6200,,6200,-,5900
09/06/2017,6200,6200,,6200,-,5900
12/06/2017,5300,5300,5300.0,5300,100,5000
13/06/2017,5300,5300,,5300,-,5000
14/06/2017,5200,5200,,5200,100,5000
15/06/2017,5900,5200,,5900,4300,4900
16/06/2017,5200,5200,,5200,-,4900
19/06/2017,5200,5200,,5200,1000,4900
20/06/2017,5900,5900,5900.0,5900,100,5600
21/06/2017,5900,5900,,5900,-,5600
22/06/2017,5900,5900,,5900,-,5600
23/06/2017,5900,5900,,5900,-,5600
26/06/2017,5900,5900,,5900,-,5600
27/06/2017,5900,5900,,5900,-,5600
28/06/2017,6700,6700,6700.0,6700,100,6400
29/06/2017,6700,6700,,6700,-,6400
30/06/2017,6700,6700,,6700,-,6400
03/07/2017,5700,5700,5700.0,5700,100,5400
04/07/2017,4900,4900,4900.0,4900,100,4700
05/07/2017,4300,4300,4300.0,4300,600,4100
06/07/2017,4900,4900,4900.0,4900,100,4700
07/07/2017,4400,4300,4400.0,4300,200,4100
10/07/2017,4400,4400,,4400,-,4200
11/07/2017,4000,4000,4000.0,4000,2000,3800
12/07/2017,4000,4000,,4000,-,3800
13/07/2017,4000,4000,,4000,-,3800
14/07/2017,4000,4000,,4000,-,3800
17/07/2017,4000,4000,,4000,-,3800
18/07/2017,4000,4000,,4000,-,3800
19/07/2017,4000,4000,,4000,-,3800
20/07/2017,4600,4600,4600.0,4600,100,4400
21/07/2017,4900,4900,4900.0,4900,100,4700
24/07/2017,4900,4900,,4900,-,4700
25/07/2017,4500,4500,4500.0,4500,100,4300
26/07/2017,4500,4500,,4500,-,4300
27/07/2017,4500,4500,,4500,-,4300
28/07/2017,4500,4500,4500.0,4500,5500,4300
31/07/2017,4500,4500,4500.0,4500,3300,4300
01/08/2017,4500,4500,,4500,-,4300
02/08/2017,4500,4500,,4500,-,4300
03/08/2017,5100,5100,5100.0,5100,100,4900
04/08/2017,5100,5100,,5100,-,4900
07/08/2017,5100,5100,5100.0,5100,1100,4900
08/08/2017,5100,5100,,5100,-,4900
09/08/2017,5100,5100,,5100,-,4900
10/08/2017,5100,5100,,5100,-,4900
11/08/2017,5100,5100,,5100,-,4900
14/08/2017,5100,5100,,5100,-,4900
15/08/2017,5100,5100,,5100,-,4900
16/08/2017,5100,5100,5100.0,5100,1600,4900
17/08/2017,5100,5100,,5100,-,4900
18/08/2017,5100,5100,,5100,-,4900
21/08/2017,5100,5100,,5100,-,4900
22/08/2017,5100,5100,,5100,-,4900
23/08/2017,5100,5100,,5100,-,4900
24/08/2017,4500,4400,4400.0,4500,2200,4200
25/08/2017,4500,4500,,4500,-,4300
28/08/2017,4500,4500,,4500,-,4300
29/08/2017,4500,4500,,4500,-,4300
30/08/2017,4500,4500,,4500,-,4300
31/08/2017,4500,4500,,4500,-,4300
01/09/2017,4500,4500,,4500,-,4300
05/09/2017,4500,4500,,4500,-,4300
06/09/2017,4500,4500,,4500,-,4300
07/09/2017,4500,4500,,4500,-,4300
08/09/2017,4500,4500,,4500,-,4300
11/09/2017,4500,4500,,4500,-,4300
12/09/2017,4500,4500,,4500,-,4300
