Date,High,Low,Open,Close,Volume,Adj Close
22/05/2018,7500,7500,,7500,-,7500
23/05/2018,7500,7500,,7500,-,7500
24/05/2018,7500,7500,,7500,-,7500
25/05/2018,7500,7500,,7500,-,7500
28/05/2018,7500,7500,,7500,-,7500
29/05/2018,7500,7500,,7500,-,7500
30/05/2018,7500,7500,,7500,-,7500
31/05/2018,7500,7500,,7500,-,7500
01/06/2018,7500,7500,,7500,-,7500
04/06/2018,7500,7500,,7500,-,7500
05/06/2018,7500,7500,,7500,-,7500
06/06/2018,7500,7500,,7500,-,7500
07/06/2018,7500,7500,7500.0,7500,-,7500
08/06/2018,7500,7500,,7500,-,7500
11/06/2018,7500,7500,,7500,-,7500
12/06/2018,7500,7500,7500.0,7500,-,7500
13/06/2018,6500,6500,6500.0,6500,100,6500
14/06/2018,6500,6500,,6500,-,6500
15/06/2018,6500,6500,6500.0,6500,-,6500
18/06/2018,6500,6500,6500.0,6500,-,6500
19/06/2018,6500,6500,,6500,-,6500
20/06/2018,6500,6500,,6500,-,6500
21/06/2018,6500,6500,,6500,-,6500
22/06/2018,6500,6500,,6500,-,6500
25/06/2018,6500,6500,6500.0,6500,-,6500
26/06/2018,6500,6500,,6500,-,6500
27/06/2018,6500,6500,,6500,-,6500
28/06/2018,6500,6500,6500.0,6500,-,6500
29/06/2018,6500,6500,,6500,-,6500
02/07/2018,6500,6500,,6500,-,6500
03/07/2018,6000,6000,6000.0,6000,100,6000
04/07/2018,6000,6000,,6000,-,6000
05/07/2018,6000,6000,,6000,-,6000
06/07/2018,6000,6000,,6000,-,6000
09/07/2018,6000,6000,,6000,-,6000
10/07/2018,6000,6000,,6000,-,6000
11/07/2018,6000,6000,,6000,-,6000
12/07/2018,6000,6000,6000.0,6000,-,6000
13/07/2018,6000,6000,,6000,-,6000
16/07/2018,6000,6000,,6000,-,6000
17/07/2018,6000,6000,,6000,-,6000
18/07/2018,6000,6000,,6000,-,6000
19/07/2018,6000,6000,6000.0,6000,-,6000
20/07/2018,6000,6000,,6000,-,6000
23/07/2018,5100,5100,5100.0,5100,100,5100
24/07/2018,5100,5100,,5100,-,5100
25/07/2018,5100,5100,,5100,-,5100
26/07/2018,4600,4600,4600.0,4600,100,5100
27/07/2018,4600,4600,4600.0,4600,-,4600
30/07/2018,4600,4600,,4600,-,4600
31/07/2018,4600,4600,,4600,-,4600
01/08/2018,4600,4600,,4600,-,4600
02/08/2018,4600,4600,,4600,-,4600
03/08/2018,4600,4600,,4600,-,4600
06/08/2018,4600,4600,4600.0,4600,-,4600
07/08/2018,4200,4200,4200.0,4200,100,4200
08/08/2018,4200,4200,,4200,-,4200
09/08/2018,4500,4500,4500.0,4500,500,4500
10/08/2018,4500,4500,,4500,-,4500
13/08/2018,4600,4600,4600.0,4600,300,4600
14/08/2018,4600,4000,4000.0,4600,200,4600
15/08/2018,4300,4300,,4300,-,4300
16/08/2018,4300,4300,4300.0,4300,-,4300
17/08/2018,4300,4300,,4300,-,4300
20/08/2018,4300,4300,,4300,-,4300
21/08/2018,4300,4300,4300.0,4300,-,4300
22/08/2018,4300,4300,,4300,-,4300
23/08/2018,4300,4300,,4300,-,4300
24/08/2018,4300,4300,,4300,-,4300
27/08/2018,4300,4300,,4300,-,4300
28/08/2018,4300,4300,,4300,-,4300
29/08/2018,4300,4300,,4300,-,4300
30/08/2018,4300,4300,,4300,-,4300
31/08/2018,4000,4000,4000.0,4000,100,4000
04/09/2018,4000,4000,4000.0,4000,-,4000
05/09/2018,4000,4000,,4000,-,4000
06/09/2018,4000,4000,,4000,-,4000
07/09/2018,4000,4000,,4000,-,4000
10/09/2018,4000,4000,,4000,-,4000
11/09/2018,4000,4000,,4000,-,4000
12/09/2018,4000,4000,,4000,-,4000
13/09/2018,4000,4000,,4000,-,4000
14/09/2018,4000,4000,,4000,-,4000
17/09/2018,4000,4000,,4000,-,4000
18/09/2018,4000,4000,,4000,-,4000
19/09/2018,4000,4000,,4000,-,4000
20/09/2018,3800,3800,3800.0,3800,500,3800
21/09/2018,3800,3600,3800.0,3600,2100,3600
24/09/2018,3700,3700,,3700,-,3700
25/09/2018,3700,3700,3700.0,3700,1000,3700
26/09/2018,3700,3700,,3700,-,3700
27/09/2018,3700,3700,,3700,-,3700
28/09/2018,3700,3700,3700.0,3700,2000,3700
01/10/2018,3700,3700,,3700,-,3700
02/10/2018,3700,3700,3700.0,3700,4000,3700
03/10/2018,3700,3700,,3700,-,3700
04/10/2018,3700,3700,,3700,-,3700
05/10/2018,3700,3700,,3700,-,3700
08/10/2018,3700,3700,,3700,-,3700
09/10/2018,3700,3700,,3700,-,3700
10/10/2018,3700,3700,,3700,-,3700
11/10/2018,3700,3700,,3700,-,3700
12/10/2018,3700,3700,,3700,-,3700
15/10/2018,3700,3700,,3700,-,3700
16/10/2018,3700,3700,,3700,-,3700
17/10/2018,3700,3700,,3700,-,3700
18/10/2018,3700,3700,,3700,-,3700
19/10/2018,3700,3700,,3700,-,3700
22/10/2018,3700,3700,,3700,-,3700
23/10/2018,3700,3700,,3700,-,3700
24/10/2018,3700,3700,3700.0,3700,-,3700
25/10/2018,3700,3700,3700.0,3700,-,3700
26/10/2018,3700,3700,3700.0,3700,-,3700
29/10/2018,3700,3700,3700.0,3700,-,3700
30/10/2018,3700,3700,3700.0,3700,-,3700
31/10/2018,3700,3700,3700.0,3700,-,3700
01/11/2018,3700,3700,3700.0,3700,-,3700
02/11/2018,3700,3700,,3700,-,3700
05/11/2018,3700,3700,3700.0,3700,-,3700
06/11/2018,3700,3700,3700.0,3700,-,3700
07/11/2018,3700,3700,3700.0,3700,-,3700
08/11/2018,3700,3700,3700.0,3700,-,3700
09/11/2018,3700,3700,3700.0,3700,-,3700
12/11/2018,3700,3700,3700.0,3700,-,3700
13/11/2018,3700,3700,3700.0,3700,-,3700
14/11/2018,3700,3700,3700.0,3700,-,3700
15/11/2018,3700,3700,3700.0,3700,-,3700
16/11/2018,3700,3700,3700.0,3700,-,3700
19/11/2018,3700,3700,3700.0,3700,-,3700
20/11/2018,3700,3700,3700.0,3700,-,3700
21/11/2018,3700,3700,3700.0,3700,-,3700
22/11/2018,3700,3700,3700.0,3700,-,3700
23/11/2018,3700,3700,3700.0,3700,-,3700
26/11/2018,3700,3700,3700.0,3700,-,3700
27/11/2018,3700,3700,3700.0,3700,-,3700
28/11/2018,3700,3700,3700.0,3700,-,3700
29/11/2018,3700,3700,3700.0,3700,-,3700
30/11/2018,3700,3700,3700.0,3700,-,3700
03/12/2018,3700,3700,3700.0,3700,-,3700
04/12/2018,3700,3700,3700.0,3700,-,3700
05/12/2018,3700,3700,3700.0,3700,-,3700
06/12/2018,3700,3700,3700.0,3700,-,3700
07/12/2018,3700,3700,3700.0,3700,-,3700
10/12/2018,3700,3700,3700.0,3700,-,3700
11/12/2018,3700,3700,3700.0,3700,-,3700
12/12/2018,3700,3700,3700.0,3700,-,3700
13/12/2018,3700,3700,3700.0,3700,-,3700
14/12/2018,3700,3700,3700.0,3700,-,3700
17/12/2018,3700,3700,3700.0,3700,-,3700
18/12/2018,3700,3700,3700.0,3700,-,3700
19/12/2018,3700,3700,3700.0,3700,-,3700
20/12/2018,3700,3700,3700.0,3700,-,3700
21/12/2018,3700,3700,3700.0,3700,-,3700
24/12/2018,3700,3700,3700.0,3700,-,3700
25/12/2018,3700,3700,3700.0,3700,-,3700
26/12/2018,3700,3700,3700.0,3700,-,3700
27/12/2018,3700,3700,3700.0,3700,-,3700
28/12/2018,3700,3700,3700.0,3700,-,3700
02/01/2019,3700,3700,3700.0,3700,-,3700
03/01/2019,3700,3700,3700.0,3700,-,3700
04/01/2019,3700,3700,3700.0,3700,-,3700
07/01/2019,3700,3700,3700.0,3700,-,3700
08/01/2019,3700,3700,3700.0,3700,-,3700
09/01/2019,3700,3700,3700.0,3700,-,3700
10/01/2019,3700,3700,3700.0,3700,-,3700
11/01/2019,3700,3700,3700.0,3700,-,3700
14/01/2019,3700,3700,3700.0,3700,-,3700
15/01/2019,3700,3700,3700.0,3700,-,3700
16/01/2019,3700,3700,3700.0,3700,-,3700
17/01/2019,3700,3700,3700.0,3700,-,3700
18/01/2019,3700,3700,3700.0,3700,-,3700
21/01/2019,3700,3700,3700.0,3700,-,3700
22/01/2019,3700,3700,3700.0,3700,-,3700
23/01/2019,3700,3700,3700.0,3700,-,3700
24/01/2019,3700,3700,3700.0,3700,-,3700
25/01/2019,3700,3700,3700.0,3700,-,3700
28/01/2019,3700,3700,3700.0,3700,-,3700
29/01/2019,3700,3700,3700.0,3700,-,3700
30/01/2019,3700,3700,3700.0,3700,-,3700
31/01/2019,3700,3700,3700.0,3700,-,3700
01/02/2019,3700,3700,3700.0,3700,-,3700
11/02/2019,3700,3700,3700.0,3700,-,3700
12/02/2019,3700,3700,3700.0,3700,-,3700
13/02/2019,3700,3700,3700.0,3700,-,3700
14/02/2019,3700,3700,3700.0,3700,-,3700
15/02/2019,3700,3700,3700.0,3700,-,3700
18/02/2019,3700,3700,3700.0,3700,-,3700
19/02/2019,3700,3700,3700.0,3700,-,3700
20/02/2019,3700,3700,3700.0,3700,-,3700
21/02/2019,3700,3700,3700.0,3700,-,3700
22/02/2019,3700,3700,3700.0,3700,-,3700
25/02/2019,3700,3700,3700.0,3700,-,3700
26/02/2019,3700,3700,3700.0,3700,-,3700
27/02/2019,3700,3700,3700.0,3700,-,3700
28/02/2019,3700,3700,3700.0,3700,-,3700
01/03/2019,3700,3700,3700.0,3700,-,3700
04/03/2019,3700,3700,3700.0,3700,-,3700
05/03/2019,3700,3700,3700.0,3700,-,3700
06/03/2019,3700,3700,3700.0,3700,-,3700
07/03/2019,3700,3700,3700.0,3700,-,3700
08/03/2019,3700,3700,3700.0,3700,-,3700
11/03/2019,3700,3700,3700.0,3700,-,3700
12/03/2019,3700,3700,3700.0,3700,-,3700
13/03/2019,3700,3700,3700.0,3700,-,3700
14/03/2019,3700,3700,3700.0,3700,-,3700
15/03/2019,3700,3700,3700.0,3700,-,3700
18/03/2019,3700,3700,3700.0,3700,-,3700
19/03/2019,3700,3700,3700.0,3700,-,3700
20/03/2019,3700,3700,3700.0,3700,-,3700
21/03/2019,3700,3700,3700.0,3700,-,3700
22/03/2019,3700,3700,3700.0,3700,-,3700
25/03/2019,3700,3700,3700.0,3700,-,3700
26/03/2019,3700,3700,3700.0,3700,-,3700
27/03/2019,3700,3700,3700.0,3700,-,3700
28/03/2019,3700,3700,3700.0,3700,-,3700
29/03/2019,3700,3700,3700.0,3700,-,3700
01/04/2019,3700,3700,3700.0,3700,-,3700
02/04/2019,3700,3700,3700.0,3700,-,3700
03/04/2019,3700,3700,3700.0,3700,-,3700
04/04/2019,3700,3700,3700.0,3700,-,3700
05/04/2019,3700,3700,3700.0,3700,-,3700
08/04/2019,3700,3700,3700.0,3700,-,3700
09/04/2019,3700,3700,3700.0,3700,-,3700
10/04/2019,3700,3700,3700.0,3700,-,3700
11/04/2019,3700,3700,3700.0,3700,-,3700
12/04/2019,3700,3700,3700.0,3700,-,3700
16/04/2019,3700,3700,3700.0,3700,-,3700
17/04/2019,3700,3700,3700.0,3700,-,3700
18/04/2019,3700,3700,3700.0,3700,-,3700
19/04/2019,3700,3700,3700.0,3700,-,3700
22/04/2019,3700,3700,3700.0,3700,-,3700
23/04/2019,3700,3700,3700.0,3700,-,3700
24/04/2019,3700,3700,3700.0,3700,-,3700
25/04/2019,3700,3700,3700.0,3700,-,3700
26/04/2019,3700,3700,3700.0,3700,-,3700
02/05/2019,3700,3700,3700.0,3700,-,3700
03/05/2019,3700,3700,3700.0,3700,-,3700
06/05/2019,3700,3700,3700.0,3700,-,3700
07/05/2019,3700,3700,3700.0,3700,-,3700
08/05/2019,3700,3700,3700.0,3700,-,3700
09/05/2019,3700,3700,3700.0,3700,-,3700
10/05/2019,3700,3700,3700.0,3700,-,3700
13/05/2019,3700,3700,3700.0,3700,-,3700
14/05/2019,3700,3700,3700.0,3700,-,3700
15/05/2019,3700,3700,3700.0,3700,-,3700
16/05/2019,3700,3700,3700.0,3700,-,3700
17/05/2019,3700,3700,3700.0,3700,-,3700
20/05/2019,3700,3700,3700.0,3700,-,3700
21/05/2019,3700,3700,3700.0,3700,-,3700
22/05/2019,3700,3700,3700.0,3700,-,3700
23/05/2019,3700,3700,3700.0,3700,-,3700
24/05/2019,3700,3700,3700.0,3700,-,3700
27/05/2019,3700,3700,3700.0,3700,-,3700
28/05/2019,3700,3700,3700.0,3700,-,3700
29/05/2019,3700,3700,3700.0,3700,-,3700
30/05/2019,3700,3700,3700.0,3700,-,3700
31/05/2019,3700,3700,3700.0,3700,-,3700
03/06/2019,3700,3700,3700.0,3700,-,3700
04/06/2019,3700,3700,3700.0,3700,-,3700
05/06/2019,3700,3700,3700.0,3700,-,3700
06/06/2019,3700,3700,3700.0,3700,-,3700
07/06/2019,3700,3700,3700.0,3700,-,3700
10/06/2019,3700,3700,3700.0,3700,-,3700
11/06/2019,3700,3700,3700.0,3700,-,3700
12/06/2019,3700,3700,3700.0,3700,-,3700
13/06/2019,3700,3700,3700.0,3700,-,3700
14/06/2019,3700,3700,3700.0,3700,-,3700
17/06/2019,3700,3700,3700.0,3700,-,3700
18/06/2019,3700,3700,3700.0,3700,-,3700
19/06/2019,3700,3700,3700.0,3700,-,3700
20/06/2019,3700,3700,3700.0,3700,-,3700
21/06/2019,3700,3700,3700.0,3700,-,3700
24/06/2019,3700,3700,3700.0,3700,-,3700
25/06/2019,3700,3700,3700.0,3700,-,3700
26/06/2019,3700,3700,3700.0,3700,-,3700
27/06/2019,3700,3700,3700.0,3700,-,3700
28/06/2019,3700,3700,3700.0,3700,-,3700
01/07/2019,3700,3700,3700.0,3700,-,3700
02/07/2019,3700,3700,3700.0,3700,-,3700
03/07/2019,2300,2300,2300.0,2300,15700,2300
04/07/2019,2300,2300,2300.0,2300,80,2300
05/07/2019,2300,2300,2300.0,2300,-,2300
08/07/2019,2300,2300,2300.0,2300,-,2300
09/07/2019,2300,2300,2300.0,2300,-,2300
10/07/2019,2300,2300,2300.0,2300,-,2300
11/07/2019,2300,2300,2300.0,2300,-,2300
12/07/2019,2300,2300,2300.0,2300,-,2300
15/07/2019,2300,2300,2300.0,2300,-,2300
16/07/2019,2300,2300,2300.0,2300,-,2300
17/07/2019,2300,2300,2300.0,2300,-,2300
18/07/2019,2300,2300,2300.0,2300,-,2300
19/07/2019,2300,2300,2300.0,2300,-,2300
22/07/2019,2300,2300,2300.0,2300,-,2300
23/07/2019,2300,2300,2300.0,2300,-,2300
24/07/2019,2300,2300,2300.0,2300,-,2300
25/07/2019,2300,2300,2300.0,2300,-,2300
26/07/2019,2300,2300,2300.0,2300,-,2300
29/07/2019,2300,2300,2300.0,2300,-,2300
30/07/2019,2300,2300,2300.0,2300,-,2300
31/07/2019,2300,2300,2300.0,2300,-,2300
01/08/2019,2300,2300,2300.0,2300,-,2300
02/08/2019,2300,2300,2300.0,2300,-,2300
05/08/2019,2300,2300,2300.0,2300,-,2300
06/08/2019,2300,2300,2300.0,2300,-,2300
07/08/2019,2300,2300,2300.0,2300,-,2300
08/08/2019,2300,2300,2300.0,2300,-,2300
09/08/2019,2300,2300,2300.0,2300,-,2300
12/08/2019,2300,2300,2300.0,2300,-,2300
13/08/2019,2300,2300,2300.0,2300,-,2300
14/08/2019,2300,2300,2300.0,2300,-,2300
15/08/2019,2300,2300,2300.0,2300,-,2300
16/08/2019,2300,2300,2300.0,2300,-,2300
19/08/2019,2300,2300,2300.0,2300,-,2300
20/08/2019,2300,2300,2300.0,2300,-,2300
21/08/2019,2300,2300,2300.0,2300,-,2300
22/08/2019,2300,2300,2300.0,2300,-,2300
23/08/2019,2300,2300,2300.0,2300,-,2300
26/08/2019,2300,2300,2300.0,2300,-,2300
27/08/2019,2300,2300,2300.0,2300,-,2300
28/08/2019,2300,2300,2300.0,2300,-,2300
29/08/2019,2300,2300,2300.0,2300,-,2300
30/08/2019,2300,2300,2300.0,2300,-,2300
03/09/2019,2300,2300,2300.0,2300,-,2300
04/09/2019,2300,2300,2300.0,2300,-,2300
05/09/2019,2300,2300,2300.0,2300,-,2300
