,Date,High,Low,Open,Close,Volume,Adj Close
0,28/11/2008,17500,14800,14800.0,17500,59000,15500
1,01/12/2008,17000,15000,17000.0,16100,21500,14300
2,02/12/2008,16000,14600,16000.0,14600,2500,13000
3,03/12/2008,15000,13700,15000.0,13700,7300,12200
4,04/12/2008,13000,13000,13000.0,13000,10400,11500
5,05/12/2008,12300,12100,12300.0,12100,5100,10700
6,08/12/2008,12900,11300,11300.0,11300,15100,10000
7,09/12/2008,11000,10700,10900.0,10700,22800,9500
8,10/12/2008,11400,11400,11400.0,11400,500,10100
9,11/12/2008,12000,10700,12000.0,10700,3300,9500
10,12/12/2008,11500,11400,11400.0,11500,8000,10200
11,15/12/2008,12200,11100,12200.0,11100,6100,9800
12,16/12/2008,10800,10800,10800.0,10800,5700,9600
13,17/12/2008,11500,10600,11500.0,11300,4600,10000
14,18/12/2008,11500,11000,11200.0,11500,11200,10200
15,19/12/2008,11500,11000,11000.0,11300,3400,10000
16,22/12/2008,11800,11200,11800.0,11400,1200,10100
17,23/12/2008,11400,10700,11300.0,10700,2200,9500
18,24/12/2008,11400,10300,11400.0,10300,6000,9100
19,25/12/2008,10900,10100,10200.0,10900,4000,9700
20,26/12/2008,10700,10700,10700.0,10700,500,9500
21,29/12/2008,11200,11200,11200.0,11200,100,9900
22,30/12/2008,11500,11500,11500.0,11500,100,10200
23,31/12/2008,11300,10700,11300.0,10700,2200,9500
24,02/01/2009,11100,11100,11100.0,11100,100,9800
25,05/01/2009,11100,10400,11100.0,11100,700,9800
26,06/01/2009,11000,10800,11000.0,11000,2000,9800
27,07/01/2009,11400,10200,11400.0,11300,2000,10000
28,08/01/2009,11200,10500,11200.0,10800,500,9600
29,09/01/2009,11400,10700,11400.0,10700,9300,9500
30,12/01/2009,11800,11000,11800.0,11100,6300,9800
31,13/01/2009,11700,11300,11500.0,11300,15200,10000
32,14/01/2009,11700,11700,11700.0,11700,1000,10400
33,15/01/2009,12500,11400,12500.0,11400,1200,10100
34,16/01/2009,11800,11200,11800.0,11200,3800,9900
35,19/01/2009,11400,10600,11000.0,10600,5600,9400
36,20/01/2009,10500,10100,10300.0,10500,2800,9300
37,21/01/2009,11000,11000,11000.0,11000,100,9800
38,22/01/2009,11600,11600,11600.0,11600,100,10300
39,23/01/2009,11000,10800,10800.0,11000,500,9800
40,02/02/2009,11000,11000,11000.0,11000,100,9800
41,03/02/2009,11200,11200,11200.0,11200,100,9900
42,04/02/2009,11200,10500,11200.0,10500,300,9300
43,05/02/2009,10000,10000,10000.0,10000,1200,8900
44,06/02/2009,10700,10000,10700.0,10000,600,8900
45,09/02/2009,10800,10500,10700.0,10700,4500,9500
46,10/02/2009,10700,10000,10700.0,10000,2600,8900
47,11/02/2009,10800,10800,10800.0,10800,100,9600
48,12/02/2009,11100,10700,11100.0,10700,1100,9500
49,13/02/2009,10500,10200,10500.0,10200,4300,9000
50,16/02/2009,10800,9500,10800.0,9500,2400,8400
51,17/02/2009,9900,9100,9900.0,9100,1700,8100
52,18/02/2009,8900,8800,8800.0,8900,3300,7900
53,19/02/2009,9300,9000,9300.0,9200,6600,8200
54,20/02/2009,9500,9200,9500.0,9300,1600,8200
55,23/02/2009,9600,8600,9600.0,8600,6500,7600
56,24/02/2009,9200,8100,9200.0,8100,1500,7200
57,25/02/2009,8900,8800,8900.0,8900,5600,7900
58,26/02/2009,9500,9000,9000.0,9500,4100,8400
59,27/02/2009,9800,9200,9800.0,9200,6600,8200
60,02/03/2009,10000,9900,10000.0,9900,500,8800
61,03/03/2009,9300,9300,9300.0,9300,200,8200
62,04/03/2009,9900,9400,9500.0,9900,1300,8800
63,05/03/2009,9700,9700,9700.0,9700,4100,8600
64,06/03/2009,9700,9700,9700.0,9700,-,8600
65,09/03/2009,9900,9900,9900.0,9900,400,8800
66,10/03/2009,10500,10200,10500.0,10200,700,9000
67,11/03/2009,10900,9800,10900.0,10100,7000,9000
68,12/03/2009,10200,9500,10200.0,9600,4600,8500
69,13/03/2009,10300,10000,10000.0,10000,4300,8900
70,16/03/2009,10700,10700,10700.0,10700,100,9500
71,17/03/2009,10600,10000,10400.0,10500,9900,9300
72,18/03/2009,10900,10300,10800.0,10800,43900,9600
73,19/03/2009,11200,10100,10800.0,10600,15600,9400
74,20/03/2009,11300,10100,11300.0,10900,12900,9700
75,23/03/2009,10500,10200,10200.0,10300,4800,9100
76,24/03/2009,11000,10600,10800.0,10600,33000,9400
77,25/03/2009,10900,10500,10500.0,10800,3400,9600
78,26/03/2009,11200,10600,10800.0,10600,8000,9400
79,27/03/2009,10800,10400,10800.0,10500,6700,9300
80,30/03/2009,10200,10000,10000.0,10200,1800,9000
81,31/03/2009,10100,9500,9900.0,10100,12500,9000
82,01/04/2009,10300,10000,10300.0,10300,6800,9100
83,02/04/2009,10900,10700,10900.0,10900,28800,9700
84,03/04/2009,11600,11600,11600.0,11600,21600,10300
85,07/04/2009,12400,11600,11700.0,12400,27600,11000
86,08/04/2009,12200,11500,12200.0,11800,20800,10500
87,09/04/2009,12900,11300,12800.0,12100,11300,10700
88,10/04/2009,13000,12700,12900.0,13000,44400,11500
89,13/04/2009,13900,13800,13900.0,13900,29500,12300
90,14/04/2009,14800,14000,14800.0,14300,27100,12700
91,15/04/2009,14500,13400,14500.0,13400,16600,11900
92,16/04/2009,14000,12700,14000.0,13000,10200,11500
93,17/04/2009,13200,12300,13200.0,12300,7500,10900
94,20/04/2009,11500,11500,11500.0,11500,6000,10200
95,21/04/2009,11000,10700,10700.0,11000,23300,9800
96,22/04/2009,11400,11400,11400.0,11400,7900,10100
97,23/04/2009,12100,11800,12100.0,11800,1300,10500
98,24/04/2009,12000,11200,12000.0,11200,5300,9900
99,27/04/2009,11400,10900,11400.0,11000,15800,9800
100,28/04/2009,11000,10600,10900.0,10600,4300,9400
101,29/04/2009,11000,10900,10900.0,10900,5800,9700
102,04/05/2009,11600,11200,11200.0,11600,22600,10300
103,05/05/2009,12400,12000,12400.0,12000,30600,10600
104,06/05/2009,11700,11600,11600.0,11600,7600,10300
105,07/05/2009,12400,11900,12400.0,12300,10900,10900
106,08/05/2009,12200,11500,12200.0,11700,11000,10400
107,11/05/2009,12400,11400,12400.0,11400,500,10100
108,12/05/2009,12000,11400,11400.0,12000,5500,10600
109,13/05/2009,12100,11600,12100.0,11800,6400,10500
110,14/05/2009,12000,11000,11000.0,12000,7100,10600
111,15/05/2009,12300,11600,12300.0,12200,20500,10800
112,18/05/2009,12100,11700,11800.0,12100,14400,10700
113,19/05/2009,12700,11800,12200.0,12700,41600,11300
114,20/05/2009,13200,13000,13200.0,13200,34800,11700
115,21/05/2009,14100,14000,14100.0,14100,35600,12500
116,22/05/2009,15000,14800,14800.0,15000,138400,13300
117,25/05/2009,16000,15700,15700.0,16000,69800,14200
118,26/05/2009,16800,16000,16800.0,16600,41300,14700
119,27/05/2009,16900,15300,16900.0,15500,32700,13700
120,28/05/2009,14700,14700,14700.0,14700,7700,13000
121,29/05/2009,15300,13700,15300.0,13800,73700,12200
122,01/06/2009,14700,14100,14600.0,14700,38900,13000
123,02/06/2009,15600,14900,15600.0,15000,35400,13300
124,03/06/2009,15700,14200,15700.0,14400,20200,12800
125,04/06/2009,15000,14000,14000.0,14800,46600,13100
126,05/06/2009,15900,15000,15400.0,15900,176800,14100
127,08/06/2009,16900,16900,16900.0,16900,39100,15000
