Date,High,Low,Open,Close,Volume,Adj Close
11/10/2016,8200,8200,8200.0,8200,2500,8200
12/10/2016,8200,8200,8200.0,8200,-,8200
13/10/2016,8200,8200,8200.0,8200,-,8200
14/10/2016,8200,8200,8200.0,8200,-,8200
17/10/2016,8200,8200,,8200,-,8200
18/10/2016,8200,8200,8200.0,8200,-,8200
19/10/2016,8200,8200,8200.0,8200,-,8200
20/10/2016,8200,8200,8200.0,8200,-,8200
21/10/2016,8200,8200,8200.0,8200,-,8200
24/10/2016,8200,8200,8200.0,8200,-,8200
25/10/2016,8200,8200,8200.0,8200,-,8200
26/10/2016,8200,8200,8200.0,8200,-,8200
27/10/2016,8200,8200,8200.0,8200,-,8200
28/10/2016,8200,8200,8200.0,8200,-,8200
31/10/2016,8200,8200,8200.0,8200,-,8200
01/11/2016,8200,8200,8200.0,8200,-,8200
02/11/2016,8200,8200,8200.0,8200,-,8200
03/11/2016,8200,8200,8200.0,8200,-,8200
04/11/2016,8200,8200,8200.0,8200,-,8200
07/11/2016,8200,8200,8200.0,8200,-,8200
08/11/2016,8200,8200,8200.0,8200,-,8200
09/11/2016,8200,8200,8200.0,8200,-,8200
10/11/2016,8200,8200,8200.0,8200,-,8200
11/11/2016,8200,8200,8200.0,8200,-,8200
14/11/2016,8200,8200,8200.0,8200,-,8200
15/11/2016,8200,8200,8200.0,8200,-,8200
16/11/2016,8200,8200,8200.0,8200,-,8200
17/11/2016,8200,8200,8200.0,8200,-,8200
18/11/2016,8200,8200,8200.0,8200,-,8200
21/11/2016,8200,8200,8200.0,8200,-,8200
22/11/2016,8200,8200,8200.0,8200,-,8200
23/11/2016,8200,8200,8200.0,8200,-,8200
24/11/2016,8200,8200,8200.0,8200,-,8200
25/11/2016,8200,8200,8200.0,8200,-,8200
28/11/2016,8200,8200,8200.0,8200,-,8200
29/11/2016,8200,8200,8200.0,8200,-,8200
30/11/2016,8200,8200,8200.0,8200,-,8200
01/12/2016,8200,8200,8200.0,8200,-,8200
02/12/2016,8200,8200,8200.0,8200,-,8200
05/12/2016,8200,8200,,8200,-,8200
06/12/2016,8200,8200,,8200,-,8200
07/12/2016,8200,8200,,8200,-,8200
08/12/2016,8200,8200,,8200,-,8200
09/12/2016,8200,8200,,8200,-,8200
12/12/2016,8200,8200,,8200,-,8200
13/12/2016,8200,8200,,8200,-,8200
14/12/2016,8200,8200,,8200,-,8200
15/12/2016,8200,8200,,8200,-,8200
16/12/2016,8200,8200,,8200,-,8200
19/12/2016,8200,8200,,8200,-,8200
20/12/2016,8200,8200,,8200,-,8200
21/12/2016,8200,8200,,8200,-,8200
22/12/2016,8200,8200,,8200,-,8200
23/12/2016,8200,8200,,8200,-,8200
26/12/2016,8200,8200,,8200,-,8200
27/12/2016,8200,8200,,8200,-,8200
28/12/2016,8200,8200,,8200,-,8200
29/12/2016,8200,8200,,8200,-,8200
30/12/2016,8200,8200,,8200,-,8200
03/01/2017,8200,8200,8200.0,8200,-,8200
04/01/2017,8200,8200,8200.0,8200,-,8200
05/01/2017,8200,8200,8200.0,8200,-,8200
06/01/2017,8200,8200,,8200,-,8200
09/01/2017,8200,8200,,8200,-,8200
10/01/2017,8200,8200,,8200,-,8200
11/01/2017,8200,8200,,8200,-,8200
12/01/2017,8200,8200,,8200,-,8200
13/01/2017,8200,8200,,8200,-,8200
16/01/2017,8200,8200,,8200,-,8200
17/01/2017,8200,8200,,8200,-,8200
18/01/2017,8200,8200,,8200,-,8200
19/01/2017,8200,8200,,8200,-,8200
20/01/2017,8200,8200,,8200,-,8200
23/01/2017,8200,8200,,8200,-,8200
24/01/2017,8200,8200,,8200,-,8200
25/01/2017,8200,8200,,8200,-,8200
02/02/2017,8200,8200,,8200,-,8200
03/02/2017,8200,8200,,8200,-,8200
06/02/2017,8200,8200,,8200,-,8200
07/02/2017,8200,8200,,8200,-,8200
08/02/2017,8200,8200,,8200,-,8200
09/02/2017,8200,8200,,8200,-,8200
10/02/2017,8200,8200,,8200,-,8200
13/02/2017,8200,8200,,8200,-,8200
14/02/2017,8200,8200,,8200,-,8200
15/02/2017,8200,8200,,8200,-,8200
16/02/2017,8200,8200,,8200,-,8200
17/02/2017,8200,8200,,8200,-,8200
20/02/2017,8200,8200,,8200,-,8200
21/02/2017,8200,8200,,8200,-,8200
22/02/2017,8200,8200,,8200,-,8200
23/02/2017,8200,8200,,8200,-,8200
24/02/2017,8200,8200,,8200,-,8200
27/02/2017,8200,8200,,8200,-,8200
28/02/2017,8200,8200,,8200,-,8200
01/03/2017,8200,8200,,8200,-,8200
02/03/2017,8200,8200,,8200,-,8200
03/03/2017,8200,8200,,8200,-,8200
06/03/2017,8200,8200,,8200,-,8200
07/03/2017,8200,8200,,8200,-,8200
08/03/2017,5000,5000,5000.0,5000,900,5000
09/03/2017,5000,5000,,5000,-,5000
10/03/2017,5000,5000,,5000,-,5000
13/03/2017,5000,5000,,5000,-,5000
14/03/2017,5000,5000,,5000,-,5000
15/03/2017,5000,5000,,5000,-,5000
16/03/2017,5000,5000,,5000,-,5000
17/03/2017,5000,5000,,5000,-,5000
20/03/2017,5000,5000,,5000,-,5000
21/03/2017,5000,5000,,5000,-,5000
22/03/2017,5000,5000,,5000,-,5000
23/03/2017,5000,5000,,5000,-,5000
24/03/2017,5000,5000,,5000,-,5000
27/03/2017,5000,5000,,5000,-,5000
28/03/2017,5000,5000,,5000,-,5000
29/03/2017,5000,5000,,5000,-,5000
30/03/2017,5000,5000,,5000,-,5000
31/03/2017,5000,5000,,5000,-,5000
03/04/2017,5000,5000,,5000,-,5000
04/04/2017,5000,5000,,5000,-,5000
05/04/2017,5000,5000,,5000,-,5000
07/04/2017,5000,5000,,5000,-,5000
10/04/2017,5000,5000,,5000,-,5000
11/04/2017,5000,5000,,5000,-,5000
12/04/2017,5000,5000,,5000,-,5000
13/04/2017,5000,5000,,5000,-,5000
14/04/2017,5000,5000,,5000,-,5000
17/04/2017,5000,5000,,5000,-,5000
18/04/2017,5000,5000,,5000,-,5000
19/04/2017,5000,5000,,5000,-,5000
20/04/2017,5000,5000,,5000,-,5000
21/04/2017,5000,5000,,5000,-,5000
24/04/2017,5000,5000,,5000,-,5000
25/04/2017,5000,5000,,5000,-,5000
26/04/2017,5000,5000,,5000,-,5000
27/04/2017,5000,5000,,5000,-,5000
28/04/2017,5000,5000,,5000,-,5000
03/05/2017,5000,5000,,5000,-,5000
04/05/2017,5000,5000,,5000,-,5000
05/05/2017,5000,5000,,5000,-,5000
08/05/2017,5000,5000,,5000,-,5000
09/05/2017,5000,5000,,5000,-,5000
10/05/2017,5000,5000,,5000,-,5000
11/05/2017,5000,5000,,5000,-,5000
12/05/2017,5000,5000,,5000,-,5000
15/05/2017,5000,5000,,5000,-,5000
16/05/2017,5000,5000,,5000,-,5000
17/05/2017,5000,5000,,5000,-,5000
18/05/2017,5000,5000,,5000,-,5000
19/05/2017,5000,5000,,5000,-,5000
22/05/2017,5000,5000,,5000,-,5000
23/05/2017,5000,5000,,5000,-,5000
24/05/2017,5000,5000,,5000,-,5000
25/05/2017,5000,5000,,5000,-,5000
26/05/2017,5000,5000,,5000,-,5000
29/05/2017,5000,5000,,5000,-,5000
30/05/2017,5000,5000,,5000,-,5000
31/05/2017,5000,5000,,5000,-,5000
01/06/2017,5000,5000,,5000,-,5000
02/06/2017,5000,5000,,5000,-,5000
05/06/2017,5000,5000,,5000,-,5000
06/06/2017,5000,5000,,5000,-,5000
07/06/2017,5000,5000,,5000,-,5000
08/06/2017,5000,5000,,5000,-,5000
09/06/2017,5000,5000,,5000,-,5000
12/06/2017,5000,5000,,5000,-,5000
13/06/2017,5000,5000,,5000,-,5000
14/06/2017,4500,4500,4500.0,4500,1600,4500
15/06/2017,4500,4500,,4500,-,4500
16/06/2017,4500,4500,,4500,-,4500
19/06/2017,4500,4500,,4500,-,4500
20/06/2017,4500,4500,,4500,-,4500
21/06/2017,4500,4500,,4500,-,4500
22/06/2017,4500,4500,,4500,-,4500
23/06/2017,4500,4500,,4500,-,4500
26/06/2017,4500,4500,,4500,-,4500
27/06/2017,4500,4500,,4500,-,4500
28/06/2017,4500,4500,,4500,-,4500
29/06/2017,4500,4500,,4500,-,4500
30/06/2017,4500,4500,,4500,-,4500
03/07/2017,4500,4500,,4500,-,4500
04/07/2017,5000,5000,5000.0,5000,1610,5000
05/07/2017,5000,5000,,5000,-,5000
06/07/2017,5000,5000,,5000,-,5000
07/07/2017,5000,5000,,5000,-,5000
10/07/2017,5000,5000,,5000,-,5000
11/07/2017,5000,5000,,5000,-,5000
12/07/2017,5000,5000,,5000,-,5000
13/07/2017,5000,5000,,5000,-,5000
14/07/2017,5000,5000,,5000,-,5000
17/07/2017,5000,5000,,5000,-,5000
18/07/2017,5000,5000,,5000,-,5000
19/07/2017,5000,5000,,5000,-,5000
20/07/2017,5000,5000,,5000,-,5000
21/07/2017,5000,5000,,5000,-,5000
