,Date,High,Low,Open,Close,Volume,Adj Close
0,19/04/2017,7500,7500,7500.0,7500,300,4700
1,20/04/2017,7500,7500,-,7500,-,4700
2,21/04/2017,7500,7500,-,7500,-,4700
3,24/04/2017,7500,7500,-,7500,-,4700
4,25/04/2017,7500,7500,-,7500,-,4700
5,26/04/2017,7500,7500,-,7500,-,4700
6,27/04/2017,8600,7500,8600.0,7500,1100,4700
7,28/04/2017,8500,8500,-,8500,-,5300
8,03/05/2017,8500,8500,-,8500,-,5300
9,04/05/2017,9300,9300,9300.0,9300,300,5800
10,05/05/2017,9300,9300,-,9300,-,5800
11,08/05/2017,9300,9300,-,9300,-,5800
12,09/05/2017,9300,9300,-,9300,-,5800
13,10/05/2017,9300,9300,-,9300,-,5800
14,11/05/2017,9300,9300,-,9300,-,5800
15,12/05/2017,9300,9300,-,9300,-,5800
16,15/05/2017,9300,9300,-,9300,-,5800
17,16/05/2017,9000,9000,9000.0,9000,1300,5600
18,17/05/2017,7700,7700,7700.0,7700,5100,4800
19,18/05/2017,7700,7700,-,7700,-,4800
20,19/05/2017,7700,7700,-,7700,-,4800
21,22/05/2017,7700,7700,-,7700,-,4800
22,23/05/2017,7700,7700,-,7700,-,4800
23,24/05/2017,7700,7700,-,7700,-,4800
24,25/05/2017,7700,7700,-,7700,-,4800
25,26/05/2017,7700,7700,-,7700,-,4800
26,29/05/2017,7700,7700,-,7700,-,4800
27,30/05/2017,7700,7700,-,7700,-,4800
28,31/05/2017,7700,7700,-,7700,-,4800
29,01/06/2017,7700,7700,-,7700,-,4800
30,02/06/2017,7700,7700,-,7700,-,4800
31,05/06/2017,6700,6700,6700.0,6700,100,4200
32,06/06/2017,6700,6700,-,6700,-,4200
33,07/06/2017,6300,6300,6300.0,6300,100,3900
34,08/06/2017,6200,6200,6200.0,6200,100,3900
35,09/06/2017,6000,6000,6000.0,6000,200,3700
36,12/06/2017,5400,5400,5400.0,5400,100,3400
37,13/06/2017,6200,4700,6200.0,5400,5900,3400
38,14/06/2017,5500,5500,5500.0,5500,300,3400
39,15/06/2017,6200,5500,6200.0,5500,900,3400
40,16/06/2017,6200,4900,6200.0,6000,6000,3700
41,19/06/2017,5600,5600,5600.0,5600,100,3500
42,20/06/2017,6400,5600,6400.0,5600,500,3500
43,21/06/2017,5100,5000,5000.0,5000,1400,3100
44,22/06/2017,5800,5800,5800.0,5800,100,3600
45,23/06/2017,6600,5000,6600.0,5000,400,3100
46,26/06/2017,5500,4600,4700.0,5500,5200,3400
47,27/06/2017,5900,5900,5900.0,5900,100,3700
48,28/06/2017,6700,6700,6700.0,6700,100,4200
49,29/06/2017,6700,6700,-,6700,-,4200
50,30/06/2017,6700,6700,-,6700,-,4200
51,03/07/2017,7700,5700,7700.0,5700,8200,3600
52,04/07/2017,5000,5000,5000.0,5000,800,3100
53,05/07/2017,5700,5000,5700.0,5200,4000,3200
54,06/07/2017,5000,4800,-,4800,200,3400
55,07/07/2017,5400,5400,5400.0,5400,100,3400
56,10/07/2017,5300,4600,5100.0,4600,4900,3300
57,11/07/2017,5000,4200,5000.0,5000,500,3100
58,12/07/2017,4600,4600,4600.0,4600,700,2900
59,13/07/2017,4500,4100,4400.0,4500,5000,2800
60,14/07/2017,4500,4100,4100.0,4500,400,2800
61,17/07/2017,4500,4200,4300.0,4500,5000,2800
62,18/07/2017,4600,4600,4600.0,4600,100,2900
63,19/07/2017,4600,4600,-,4600,-,2900
64,20/07/2017,4900,4200,4900.0,4200,1800,2600
65,21/07/2017,4200,4200,-,4200,-,2600
66,24/07/2017,4200,4200,4200.0,4200,200,2600
67,25/07/2017,4100,4100,4100.0,4100,6100,2600
68,26/07/2017,4100,4100,-,4100,-,2600
69,27/07/2017,4100,4100,4100.0,4100,800,2600
70,28/07/2017,4700,4600,4600.0,4700,3000,2900
71,31/07/2017,4700,4700,-,4700,-,2900
72,01/08/2017,4700,4700,-,4700,-,2900
73,02/08/2017,4100,4100,4100.0,4100,3200,2600
74,03/08/2017,4600,4600,4600.0,4600,3000,2900
75,04/08/2017,4600,4600,-,4600,-,2900
76,07/08/2017,4600,4600,4600.0,4600,2000,2900
77,08/08/2017,4200,4200,4200.0,4200,500,2600
78,09/08/2017,4500,4500,4500.0,4500,4200,2800
79,10/08/2017,4500,4500,-,4500,-,2800
80,11/08/2017,5000,4900,4900.0,5000,5100,3100
81,14/08/2017,5000,5000,-,5000,-,3100
82,15/08/2017,4500,4500,4500.0,4500,11800,2800
83,16/08/2017,4300,4300,4300.0,4300,200,2700
84,17/08/2017,4300,4300,-,4300,-,2700
85,18/08/2017,4300,4300,-,4300,-,2700
86,21/08/2017,4300,4300,-,4300,-,2700
87,22/08/2017,4600,4600,4600.0,4600,100,2900
88,23/08/2017,4600,4600,-,4600,-,2900
89,24/08/2017,4500,4500,4500.0,4500,2200,2800
90,25/08/2017,5000,4300,4300.0,5000,4700,3100
91,28/08/2017,4800,4800,4800.0,4800,120,3000
92,29/08/2017,4300,4300,4300.0,4300,2000,2700
93,30/08/2017,4300,4300,4300.0,4300,5700,2700
94,31/08/2017,4300,4200,4300.0,4200,8300,2600
95,01/09/2017,4700,4700,4700.0,4700,100,2900
96,05/09/2017,4700,4700,-,4700,-,2900
97,06/09/2017,4700,4700,-,4700,-,2900
98,07/09/2017,4700,4700,-,4700,-,2900
99,08/09/2017,4600,4200,4600.0,4200,2100,2600
100,11/09/2017,4200,4200,4200.0,4200,3500,2600
101,12/09/2017,4500,4500,4500.0,4500,100,2800
102,13/09/2017,4600,4400,4400.0,4600,8100,2900
103,14/09/2017,4500,4500,-,4500,-,2800
104,15/09/2017,4600,4600,4600.0,4600,2000,2900
105,18/09/2017,4600,4600,-,4600,-,2900
106,19/09/2017,5000,4800,4800.0,5000,2900,3100
107,20/09/2017,4900,4900,-,4900,20,3100
108,21/09/2017,5200,5200,5200.0,5200,2000,3200
109,22/09/2017,5200,5200,-,5200,-,3200
110,25/09/2017,4700,4700,4700.0,4700,400,2900
111,26/09/2017,4700,4700,-,4700,-,2900
112,27/09/2017,4700,4700,-,4700,-,2900
113,28/09/2017,5000,5000,5000.0,5000,100,3100
114,29/09/2017,5200,5200,5200.0,5200,100,3200
115,02/10/2017,4900,4700,4700.0,4900,1710,3100
116,03/10/2017,4800,4800,-,4800,-,3000
117,04/10/2017,4500,4500,4500.0,4500,300,2800
118,05/10/2017,4500,4500,-,4500,-,2800
119,06/10/2017,4500,4500,-,4500,-,2800
120,09/10/2017,4500,4500,-,4500,-,2800
121,10/10/2017,4500,4500,4500.0,4500,900,2800
122,11/10/2017,4500,4500,-,4500,-,2800
123,12/10/2017,4300,4300,4300.0,4300,100,2700
124,13/10/2017,4300,4300,4300.0,4300,1900,2700
125,16/10/2017,4300,4300,4300.0,4300,5000,2700
126,17/10/2017,4300,4300,-,4300,-,2700
127,18/10/2017,4300,4200,4300.0,4200,5000,2600
128,19/10/2017,4200,4200,-,4200,-,2600
129,20/10/2017,4200,4200,-,4200,-,2600
130,23/10/2017,4200,4200,-,4200,-,2600
131,24/10/2017,4200,4200,-,4200,-,2600
132,25/10/2017,4200,4200,-,4200,-,2600
133,26/10/2017,4200,4200,-,4200,-,2600
134,27/10/2017,4200,4200,4200.0,4200,10000,2600
135,30/10/2017,4200,4200,4200.0,4200,5000,2600
136,31/10/2017,4200,4200,4200.0,4200,1200,2600
137,01/11/2017,4200,4200,4200.0,4200,10000,2600
138,02/11/2017,4200,4200,-,4200,-,2600
139,03/11/2017,4200,4200,4200.0,4200,3000,2600
140,06/11/2017,4700,4700,4700.0,4700,2000,2900
141,07/11/2017,4500,4500,-,4500,100,2900
142,08/11/2017,4400,4400,4400.0,4400,1900,2700
143,09/11/2017,4400,4400,4400.0,4400,500,2700
144,10/11/2017,4400,4400,-,4400,-,2700
145,13/11/2017,4500,4300,4500.0,4300,5000,2700
146,14/11/2017,4400,4400,-,4400,-,2700
147,15/11/2017,4700,4700,-,4700,2000,2700
148,16/11/2017,4600,4500,4500.0,4500,2800,2900
149,17/11/2017,4700,4500,4500.0,4700,1400,2800
150,20/11/2017,4700,4600,4600.0,4700,1100,2900
151,21/11/2017,4600,4600,-,4600,-,2900
152,22/11/2017,4700,4600,4600.0,4700,600,2900
153,23/11/2017,5000,5000,5000.0,5000,2000,3100
154,24/11/2017,5000,5000,-,5000,-,3100
155,27/11/2017,4800,4800,-,4800,500,3100
156,28/11/2017,4800,4800,-,4800,-,3000
157,29/11/2017,4900,4900,4900.0,4900,2000,3100
158,30/11/2017,4900,4900,-,4900,-,3100
159,01/12/2017,5200,5200,5200.0,5200,500,3200
160,04/12/2017,5200,5200,-,5200,-,3200
161,05/12/2017,5300,5300,5300.0,5300,2000,3300
